"","x","y","stem.dens","basal.area","biomass","diam"
"323",141000,1486000,29.280424156497,0.582699526205734,2.70863331388826,15.24
"324",149000,1486000,121.26976240738,2.21694262388729,15.9558976925936,18.6266666666667
"325",157000,1486000,29.7228781957545,0.0941300292630795,0.600671378235563,8.89
"618",133000,1478000,10.8933779573706,0.0993556095054395,0.670781306784469,15.24
"619",141000,1478000,131.018247434246,2.16703754953201,11.1552453184529,16.4109219858156
"620",149000,1478000,188.263475118554,4.74596127723928,27.7465443792798,18.8819117647059
"621",157000,1478000,30.3704169490831,0.419241155199229,3.2008627469613,15.875
"895",-19000,1470000,4.13104037962643,0.0485521141093601,0.46574586940229,17.78
"896",-11000,1470000,0,0,0,NA
"897",-3000,1470000,0,0,0,NA
"898",5000,1470000,0,0,0,NA
"914",133000,1470000,133.736787308874,2.06756369354781,11.7121256769385,20.0377777777778
"915",141000,1470000,134.738197066693,1.67725251905955,9.75290508452977,15.4976811594203
"916",149000,1470000,154.182513724755,1.92936248687329,10.0391816784264,14.8045714285714
"917",157000,1470000,8.81840111882761,0.0357467984047335,0.233862214643491,10.16
"1191",-19000,1462000,2.53677128407983,0.0541589984616159,0.715007082449639,27.7706666666667
"1192",-11000,1462000,0,0,0,NA
"1193",-3000,1462000,0,0,0,NA
"1194",5000,1462000,2.02153106778589,0.0439106475447974,0.391015502140053,23.9485714285714
"1195",13000,1462000,6.69151100306255,0.120139557624813,0.871427225515442,20.6067741935484
"1196",21000,1462000,7.64154279337039,0.163858233629734,1.4699595981956,21.844
"1197",29000,1462000,20.889258238901,0.617068349800446,3.84768272048693,20.828
"1198",37000,1462000,1.68291865712766,0.0260668924737257,0.199118134668896,18.6266666666667
"1199",45000,1462000,7.91705828743543,0.13546753763522,0.647968819569952,18.542
"1200",53000,1462000,5.59932561042971,0.133209574388844,0.5623549432527,24.13
"1210",133000,1462000,0,0,0,Inf
"1211",141000,1462000,101.690693830944,2.75908204261039,12.5403411948036,16.8486666666667
"1212",149000,1462000,86.8879056414751,1.45599288810743,11.743952193208,18.0975
"1213",157000,1462000,67.5238534909194,2.38208815336734,26.812525710299,26.67
"1487",-19000,1454000,2.32253791426584,0.0829361521864862,1.00026212620502,26.67
"1488",-11000,1454000,0,0,0,NA
