"","x","y","stem.dens","basal.area","biomass","diam"
"323",141000,1486000,29.280424156497,2.33079810482294,2.78251488796165,15.24
"324",149000,1486000,121.26976240738,8.86777049554915,17.4539975341674,18.6266666666667
"325",157000,1486000,29.7228781957545,0.376520117052318,0.682811664297847,8.89
"618",133000,1478000,10.8933779573706,0.397422438021758,0.670781306784469,15.24
"619",141000,1478000,131.019380622338,8.66815019812803,11.570468365649,16.4109219858156
"620",149000,1478000,188.263475118554,18.9838451089571,28.8187927329931,18.8819117647059
"621",157000,1478000,31.4431753992088,1.7563265313687,3.35272568729085,15.7691666666667
"895",-19000,1470000,4.2047438244007,0.196486567726285,0.470182937623446,16.7341176470588
"896",-11000,1470000,0,0,0,NA
"897",-3000,1470000,0,0,0,NA
"898",5000,1470000,0,0,0,NA
"914",133000,1470000,141.029967921361,8.53633143390968,12.6578290706944,18.034
"915",141000,1470000,134.896222992676,6.72182174321216,10.2853861266132,15.3861870503597
"916",149000,1470000,154.182513724755,7.71744994749314,10.3995697745755,14.8045714285714
"917",157000,1470000,8.81840111882761,0.142987193618934,0.233862214643491,10.16
"1191",-19000,1462000,2.53677128407983,0.216635993846464,0.715007082449639,27.7706666666667
"1192",-11000,1462000,0,0,0,NA
"1193",-3000,1462000,0,0,0,NA
"1194",5000,1462000,2.02153106778589,0.17564259017919,0.391015502140053,23.9485714285714
"1195",13000,1462000,8.2462392586644,0.521523437123292,0.949840012003382,19.9628125
"1196",21000,1462000,7.64154279337039,0.655432934518938,1.4699595981956,21.844
"1197",29000,1462000,20.889258238901,2.46827339920179,3.84768272048693,20.828
"1198",37000,1462000,1.68291865712766,0.104267569894903,0.199118134668896,18.6266666666667
"1199",45000,1462000,7.91705828743543,0.541870150540879,0.647968819569952,18.542
"1200",53000,1462000,5.59932561042971,0.532838297555377,0.5623549432527,24.13
"1210",133000,1462000,9.48412114940922,0.158029323648303,0.267210668205703,11.43
"1211",141000,1462000,101.690693830944,11.0363281704416,12.6528339196613,16.8486666666667
"1212",149000,1462000,86.8879056414751,5.82397155242973,11.8565167115367,18.0975
"1213",157000,1462000,67.5238534909194,9.52835261346937,26.812525710299,26.67
"1487",-19000,1454000,2.32253791426584,0.331744608745945,1.00026212620502,26.67
"1488",-11000,1454000,0,0,0,NA
"1489",-3000,1454000,2.78961305136026,0.186919017388322,0.282232998484343,19.8966666666667
"1490",5000,1454000,0.0170066215917033,0.000861738235469706,0.00235629529751259,22.86
"1491",13000,1454000,19.2680242033216,1.70208728353315,3.153383321184,21.2164705882353
"1492",21000,1454000,15.6070075562462,2.92610637309272,3.38602539997012,21.8319047619048
"1493",29000,1454000,0.888104723929757,0.108611861416531,0.147292498259718,32.1733333333333
"1494",37000,1454000,0,0,0,NA
"1495",45000,1454000,22.7710177655543,2.157858554509,1.47047315070947,20.4611111111111
"1496",53000,1454000,2.6173993854035,0.129890943065549,0.170333798846752,16.129
"1497",61000,1454000,12.27093790072,0.718867260373617,0.794615798344767,14.4638888888889
"1498",69000,1454000,101.486504107622,9.71215853054104,17.3628480122718,19.8521052631579
"1499",77000,1454000,92.7143242915655,3.39484957642927,5.72614857078695,14.9639130434783
"1500",85000,1454000,96.0769056331412,3.86849923305388,4.54208737459403,15.3358490566038
"1501",93000,1454000,166.214786127456,5.06674347256797,6.90782701134743,11.5047058823529
"1502",101000,1454000,101.023809836172,7.30136236306022,15.4652172965601,18.0975
"1783",-19000,1446000,2.05665146893076,0.38540561498524,0.62621290956887,27.0933333333333
"1784",-11000,1446000,5.80188934223097,0.0902230176029799,0.212438418348639,20.32
"1785",-3000,1446000,0.652142512160782,0.156745752983437,0.498094306328328,26.67
"1786",5000,1446000,2.00896333289211,0.289626277427439,0.754698701296952,21.7714285714286
"1787",13000,1446000,9.97441453565242,0.468824841419203,0.375849780777645,15.24
"1788",21000,1446000,1.38269357209126,0.118880494267089,0.277770257598573,18.796
"1789",29000,1446000,18.8679577063203,1.90682264689074,2.25273955033389,19.4128571428571
"1790",37000,1446000,53.1065005796868,3.66048356859234,3.46272943456675,16.4683606557377
"1791",45000,1446000,22.6433471046889,1.9116384339593,2.45166766396954,18.3444444444444
"1792",53000,1446000,13.5398686406653,1.0021619661856,2.18846483485533,18.6103846153846
"1793",61000,1446000,9.180018605755,0.912709107776214,1.23028975965346,16.0215384615385
"1794",69000,1446000,7.11530128342139,0.271829408396719,0.472395314791173,14.8771428571429
"1795",77000,1446000,5.56982600382049,0.257446790020185,0.47752741591595,17.2155555555556
"1796",85000,1446000,35.5342070233573,1.48576154082792,1.38219977271825,12.9478048780488
"1797",93000,1446000,111.431607713158,3.97816824370572,5.37581176338114,13.208
"1798",101000,1446000,151.985051620246,10.3354102532441,19.0185113972476,19.8556989247312
"1799",109000,1446000,71.016705274003,3.99048863791098,5.88562220893699,16.7159459459459
"1800",117000,1446000,224.3682396824,20.325117472285,32.0749188413057,18.7207407407407
"1803",141000,1446000,0,0,0,NA
"2079",-19000,1438000,0,0,0,NA
"2080",-11000,1438000,0.0100470980567795,0.00162910071315075,0.00656370598702647,32.1733333333333
"2081",-3000,1438000,0.205182604854077,0.0413302666641294,0.168011896018624,30.48
"2082",5000,1438000,34.5732361039524,3.49194754412334,5.02249743076101,19.8581818181818
"2083",13000,1438000,4.23765929885884,0.209630670324725,0.410135664314237,16.0866666666667
"2084",21000,1438000,5.6834824508456,0.250060340253432,0.476379046448076,19.7427272727273
"2085",29000,1438000,11.670459998606,0.851144675040734,1.40620662670388,19.4840506329114
