"","x","y","two_trees","one_tree","no_trees"
"4604",57387.0868217777,1428272.48576168,67,0,58
"4605",63807.0868217777,1428272.48576168,66,0,41
"4606",70227.0868217777,1428272.48576168,71,1,64
"4607",76647.0868217777,1428272.48576168,66,0,54
"4608",83067.0868217777,1428272.48576168,69,0,51
"4609",89487.0868217777,1428272.48576168,58,0,12
"4610",95907.0868217777,1428272.48576168,65,0,8
"4611",102327.086821778,1428272.48576168,68,0,2
"4612",108747.086821778,1428272.48576168,69,0,15
"4613",115167.086821778,1428272.48576168,68,0,32
"4614",121587.086821778,1428272.48576168,68,0,18
"4615",128007.086821778,1428272.48576168,70,0,0
"4616",134427.086821778,1428272.48576168,72,2,0
"4617",140847.086821778,1428272.48576168,70,0,0
"4618",147267.086821778,1428272.48576168,68,0,0
"4619",153687.086821778,1428272.48576168,32,1,0
"4620",160107.086821778,1428272.48576168,10,0,0
"4799",-19652.9131782223,1419032.48576168,49,2,40
"4800",-13232.9131782223,1419032.48576168,77,0,56
"4801",-6812.91317822225,1419032.48576168,68,0,47
"4802",-392.913178222254,1419032.48576168,69,0,67
"4803",6027.08682177775,1419032.48576168,77,0,77
"4804",12447.0868217777,1419032.48576168,68,1,63
"4805",18867.0868217777,1419032.48576168,68,0,51
"4806",25287.0868217777,1419032.48576168,71,0,32
"4807",31707.0868217777,1419032.48576168,68,0,20
"4808",38127.0868217777,1419032.48576168,72,1,40
"4809",44547.0868217777,1419032.48576168,70,4,26
"4810",50967.0868217777,1419032.48576168,67,0,39
"4811",57387.0868217777,1419032.48576168,67,0,45
"4812",63807.0868217777,1419032.48576168,69,1,29
"4813",70227.0868217777,1419032.48576168,68,0,43
"4814",76647.0868217777,1419032.48576168,70,0,41
"4815",83067.0868217777,1419032.48576168,64,0,27
"4816",89487.0868217777,1419032.48576168,66,0,11
"4817",95907.0868217777,1419032.48576168,69,2,13
"4818",102327.086821778,1419032.48576168,69,0,9
"4819",108747.086821778,1419032.48576168,71,0,22
"4820",115167.086821778,1419032.48576168,67,0,28
"4821",121587.086821778,1419032.48576168,61,0,5
"4822",128007.086821778,1419032.48576168,62,0,0
"4823",134427.086821778,1419032.48576168,75,0,0
"4824",140847.086821778,1419032.48576168,68,0,0
"4825",147267.086821778,1419032.48576168,70,0,0
"4826",153687.086821778,1419032.48576168,67,1,0
"4827",160107.086821778,1419032.48576168,57,0,0
"4828",166527.086821778,1419032.48576168,1,0,0
"5006",-19652.9131782223,1409792.48576168,44,1,36
"5007",-13232.9131782223,1409792.48576168,68,0,50
"5008",-6812.91317822225,1409792.48576168,70,0,42
"5009",-392.913178222254,1409792.48576168,67,0,66
"5010",6027.08682177775,1409792.48576168,69,0,69
"5011",12447.0868217777,1409792.48576168,72,0,69
"5012",18867.0868217777,1409792.48576168,70,0,62
"5013",25287.0868217777,1409792.48576168,67,2,33
"5014",31707.0868217777,1409792.48576168,74,0,41
"5015",38127.0868217777,1409792.48576168,72,2,60
"5016",44547.0868217777,1409792.48576168,69,1,37
"5017",50967.0868217777,1409792.48576168,74,4,38
"5018",57387.0868217777,1409792.48576168,70,0,9
"5019",63807.0868217777,1409792.48576168,73,1,2
"5020",70227.0868217777,1409792.48576168,68,2,7
"5021",76647.0868217777,1409792.48576168,68,0,9
"5022",83067.0868217777,1409792.48576168,70,0,13
"5023",89487.0868217777,1409792.48576168,67,0,2
"5024",95907.0868217777,1409792.48576168,67,0,0
"5025",102327.086821778,1409792.48576168,71,1,4
"5026",108747.086821778,1409792.48576168,67,1,1
"5027",115167.086821778,1409792.48576168,73,0,6
"5028",121587.086821778,1409792.48576168,72,2,1
"5029",128007.086821778,1409792.48576168,66,9,1
"5030",134427.086821778,1409792.48576168,64,0,1
"5031",140847.086821778,1409792.48576168,65,1,0
"5032",147267.086821778,1409792.48576168,76,0,2
"5033",153687.086821778,1409792.48576168,71,2,1
"5034",160107.086821778,1409792.48576168,65,1,0
"5035",166527.086821778,1409792.48576168,38,0,0
"5036",172947.086821778,1409792.48576168,14,0,1
"5037",179367.086821778,1409792.48576168,7,0,0
"5038",185787.086821778,1409792.48576168,2,0,0
"5212",-26072.9131782223,1400552.48576168,8,0,0
"5213",-19652.9131782223,1400552.48576168,60,3,37
"5214",-13232.9131782223,1400552.48576168,66,0,46
"5215",-6812.91317822225,1400552.48576168,67,0,65
"5216",-392.913178222254,1400552.48576168,70,0,63
"5217",6027.08682177775,1400552.48576168,69,0,67
"5218",12447.0868217777,1400552.48576168,66,1,63
"5219",18867.0868217777,1400552.48576168,70,1,47
"5220",25287.0868217777,1400552.48576168,65,3,25
"5221",31707.0868217777,1400552.48576168,67,5,17
"5222",38127.0868217777,1400552.48576168,68,1,9
"5223",44547.0868217777,1400552.48576168,67,0,5
"5224",50967.0868217777,1400552.48576168,68,1,1
"5225",57387.0868217777,1400552.48576168,69,1,3
"5226",63807.0868217777,1400552.48576168,64,0,20
"5227",70227.0868217777,1400552.48576168,45,0,16
"5228",76647.0868217777,1400552.48576168,68,0,3
"5229",83067.0868217777,1400552.48576168,73,0,2
"5230",89487.0868217777,1400552.48576168,74,0,0
"5231",95907.0868217777,1400552.48576168,69,2,3
"5232",102327.086821778,1400552.48576168,68,1,3
"5233",108747.086821778,1400552.48576168,75,0,2
"5234",115167.086821778,1400552.48576168,69,0,0
"5235",121587.086821778,1400552.48576168,71,1,0
"5236",128007.086821778,1400552.48576168,70,3,2
"5237",134427.086821778,1400552.48576168,67,0,1
"5238",140847.086821778,1400552.48576168,71,0,0
"5239",147267.086821778,1400552.48576168,68,0,1
"5240",153687.086821778,1400552.48576168,71,0,0
"5241",160107.086821778,1400552.48576168,68,0,0
"5242",166527.086821778,1400552.48576168,66,0,0
"5243",172947.086821778,1400552.48576168,70,0,0
"5244",179367.086821778,1400552.48576168,72,0,0
"5245",185787.086821778,1400552.48576168,64,0,0
"5246",192207.086821778,1400552.48576168,37,0,0
"5247",198627.086821778,1400552.48576168,9,0,0
"5248",205047.086821778,1400552.48576168,2,0,0
"5419",-26072.9131782223,1391312.48576168,11,0,5
"5420",-19652.9131782223,1391312.48576168,68,0,60
"5421",-13232.9131782223,1391312.48576168,68,0,68
"5422",-6812.91317822225,1391312.48576168,67,0,67
"5423",-392.913178222254,1391312.48576168,68,0,63
"5424",6027.08682177775,1391312.48576168,67,0,62
"5425",12447.0868217777,1391312.48576168,68,0,64
"5426",18867.0868217777,1391312.48576168,66,0,61
"5427",25287.0868217777,1391312.48576168,70,2,49
"5428",31707.0868217777,1391312.48576168,68,5,35
"5429",38127.0868217777,1391312.48576168,68,1,22
"5430",44547.0868217777,1391312.48576168,69,1,30
"5431",50967.0868217777,1391312.48576168,73,4,16
"5432",57387.0868217777,1391312.48576168,69,0,10
"5433",63807.0868217777,1391312.48576168,68,0,22
"5434",70227.0868217777,1391312.48576168,68,0,57
"5435",76647.0868217777,1391312.48576168,68,0,61
"5436",83067.0868217777,1391312.48576168,71,1,19
"5437",89487.0868217777,1391312.48576168,68,0,6
"5438",95907.0868217777,1391312.48576168,70,0,0
"5439",102327.086821778,1391312.48576168,69,0,1
"5440",108747.086821778,1391312.48576168,68,0,0
"5441",115167.086821778,1391312.48576168,71,0,0
"5442",121587.086821778,1391312.48576168,69,0,0
"5443",128007.086821778,1391312.48576168,71,0,0
"5444",134427.086821778,1391312.48576168,69,1,1
"5445",140847.086821778,1391312.48576168,67,0,1
"5446",147267.086821778,1391312.48576168,70,0,3
"5447",153687.086821778,1391312.48576168,67,0,4
"5448",160107.086821778,1391312.48576168,71,2,4
"5449",166527.086821778,1391312.48576168,68,0,0
"5450",172947.086821778,1391312.48576168,69,0,0
"5451",179367.086821778,1391312.48576168,74,0,2
"5452",185787.086821778,1391312.48576168,69,0,0
"5453",192207.086821778,1391312.48576168,70,0,0
"5454",198627.086821778,1391312.48576168,65,0,0
"5455",205047.086821778,1391312.48576168,69,0,0
"5456",211467.086821778,1391312.48576168,55,0,0
"5457",217887.086821778,1391312.48576168,47,0,0
"5458",224307.086821778,1391312.48576168,11,0,0
"5626",-26072.9131782223,1382072.48576168,35,0,27
"5627",-19652.9131782223,1382072.48576168,68,1,58
"5628",-13232.9131782223,1382072.48576168,68,0,62
"5629",-6812.91317822225,1382072.48576168,70,0,70
"5630",-392.913178222254,1382072.48576168,69,0,67
"5631",6027.08682177775,1382072.48576168,68,0,66
"5632",12447.0868217777,1382072.48576168,70,0,66
"5633",18867.0868217777,1382072.48576168,68,0,60
"5634",25287.0868217777,1382072.48576168,67,0,63
"5635",31707.0868217777,1382072.48576168,68,0,53
"5636",38127.0868217777,1382072.48576168,67,0,45
"5637",44547.0868217777,1382072.48576168,67,0,46
"5638",50967.0868217777,1382072.48576168,65,1,39
"5639",57387.0868217777,1382072.48576168,62,0,18
"5640",63807.0868217777,1382072.48576168,55,0,11
"5641",70227.0868217777,1382072.48576168,70,0,27
"5642",76647.0868217777,1382072.48576168,69,0,35
"5643",83067.0868217777,1382072.48576168,74,0,44
"5644",89487.0868217777,1382072.48576168,72,0,39
"5645",95907.0868217777,1382072.48576168,72,0,33
"5646",102327.086821778,1382072.48576168,71,0,10
"5647",108747.086821778,1382072.48576168,74,0,6
"5648",115167.086821778,1382072.48576168,73,0,0
"5649",121587.086821778,1382072.48576168,70,0,0
"5650",128007.086821778,1382072.48576168,69,0,0
"5651",134427.086821778,1382072.48576168,70,0,0
"5652",140847.086821778,1382072.48576168,71,0,0
"5653",147267.086821778,1382072.48576168,70,0,0
"5654",153687.086821778,1382072.48576168,69,0,0
"5655",160107.086821778,1382072.48576168,68,0,1
"5656",166527.086821778,1382072.48576168,68,0,0
"5657",172947.086821778,1382072.48576168,73,0,2
"5658",179367.086821778,1382072.48576168,77,0,0
"5659",185787.086821778,1382072.48576168,67,0,0
"5660",192207.086821778,1382072.48576168,70,0,0
"5661",198627.086821778,1382072.48576168,68,0,0
"5662",205047.086821778,1382072.48576168,70,0,0
"5663",211467.086821778,1382072.48576168,68,0,0
"5664",217887.086821778,1382072.48576168,68,0,0
"5665",224307.086821778,1382072.48576168,27,0,0
"5666",230727.086821778,1382072.48576168,3,0,0
"5667",237147.086821778,1382072.48576168,8,0,0
"5668",243567.086821778,1382072.48576168,8,0,0
"5669",249987.086821778,1382072.48576168,46,0,0
"5670",256407.086821778,1382072.48576168,64,0,0
"5671",262827.086821778,1382072.48576168,59,0,3
"5672",269247.086821778,1382072.48576168,46,0,4
"5673",275667.086821778,1382072.48576168,56,0,0
"5674",282087.086821778,1382072.48576168,31,1,2
"5675",288507.086821778,1382072.48576168,11,0,1
"5833",-26072.9131782223,1372832.48576168,26,0,23
"5834",-19652.9131782223,1372832.48576168,60,0,55
"5835",-13232.9131782223,1372832.48576168,67,0,51
"5836",-6812.91317822225,1372832.48576168,68,0,66
"5837",-392.913178222254,1372832.48576168,70,0,68
"5838",6027.08682177775,1372832.48576168,68,0,68
"5839",12447.0868217777,1372832.48576168,67,0,67
"5840",18867.0868217777,1372832.48576168,73,0,73
"5841",25287.0868217777,1372832.48576168,66,0,63
"5842",31707.0868217777,1372832.48576168,66,0,43
"5843",38127.0868217777,1372832.48576168,68,2,45
"5844",44547.0868217777,1372832.48576168,60,0,42
"5845",50967.0868217777,1372832.48576168,65,1,21
"5846",57387.0868217777,1372832.48576168,65,0,8
"5847",63807.0868217777,1372832.48576168,67,0,13
"5848",70227.0868217777,1372832.48576168,68,0,25
"5849",76647.0868217777,1372832.48576168,69,0,42
"5850",83067.0868217777,1372832.48576168,69,0,26
"5851",89487.0868217777,1372832.48576168,78,0,66
"5852",95907.0868217777,1372832.48576168,67,0,51
"5853",102327.086821778,1372832.48576168,69,0,30
"5854",108747.086821778,1372832.48576168,70,0,36
"5855",115167.086821778,1372832.48576168,75,0,17
"5856",121587.086821778,1372832.48576168,70,0,3
"5857",128007.086821778,1372832.48576168,70,0,0
"5858",134427.086821778,1372832.48576168,72,0,0
"5859",140847.086821778,1372832.48576168,70,0,1
"5860",147267.086821778,1372832.48576168,69,0,1
"5861",153687.086821778,1372832.48576168,71,2,2
"5862",160107.086821778,1372832.48576168,68,0,4
"5863",166527.086821778,1372832.48576168,71,4,1
"5864",172947.086821778,1372832.48576168,74,1,2
"5865",179367.086821778,1372832.48576168,69,0,0
"5866",185787.086821778,1372832.48576168,69,0,0
"5867",192207.086821778,1372832.48576168,69,0,0
"5868",198627.086821778,1372832.48576168,69,1,0
"5869",205047.086821778,1372832.48576168,67,0,0
"5870",211467.086821778,1372832.48576168,69,0,0
"5871",217887.086821778,1372832.48576168,65,1,0
"5872",224307.086821778,1372832.48576168,74,0,0
"5873",230727.086821778,1372832.48576168,69,0,0
"5874",237147.086821778,1372832.48576168,67,0,0
"5875",243567.086821778,1372832.48576168,71,0,0
"5876",249987.086821778,1372832.48576168,69,0,0
"5877",256407.086821778,1372832.48576168,72,0,0
"5878",262827.086821778,1372832.48576168,68,0,1
"5879",269247.086821778,1372832.48576168,70,0,0
"5880",275667.086821778,1372832.48576168,70,1,6
"5881",282087.086821778,1372832.48576168,60,1,3
"5882",288507.086821778,1372832.48576168,61,0,3
"5883",294927.086821778,1372832.48576168,34,1,0
"5884",301347.086821778,1372832.48576168,19,0,0
"5885",307767.086821778,1372832.48576168,11,0,0
"6040",-26072.9131782223,1363592.48576168,5,0,4
"6041",-19652.9131782223,1363592.48576168,45,0,45
"6042",-13232.9131782223,1363592.48576168,68,0,68
"6043",-6812.91317822225,1363592.48576168,69,0,68
"6044",-392.913178222254,1363592.48576168,68,0,66
"6045",6027.08682177775,1363592.48576168,71,0,71
"6046",12447.0868217777,1363592.48576168,68,0,63
"6047",18867.0868217777,1363592.48576168,74,0,73
"6048",25287.0868217777,1363592.48576168,70,0,67
"6049",31707.0868217777,1363592.48576168,68,3,41
"6050",38127.0868217777,1363592.48576168,67,1,58
"6051",44547.0868217777,1363592.48576168,69,0,42
"6052",50967.0868217777,1363592.48576168,70,2,61
"6053",57387.0868217777,1363592.48576168,67,0,61
"6054",63807.0868217777,1363592.48576168,71,0,69
"6055",70227.0868217777,1363592.48576168,69,0,54
"6056",76647.0868217777,1363592.48576168,69,0,50
"6057",83067.0868217777,1363592.48576168,71,0,32
"6058",89487.0868217777,1363592.48576168,73,0,59
"6059",95907.0868217777,1363592.48576168,72,0,45
"6060",102327.086821778,1363592.48576168,66,0,12
"6061",108747.086821778,1363592.48576168,69,0,23
"6062",115167.086821778,1363592.48576168,68,0,1
"6063",121587.086821778,1363592.48576168,69,0,0
"6064",128007.086821778,1363592.48576168,70,2,1
"6065",134427.086821778,1363592.48576168,69,1,0
"6066",140847.086821778,1363592.48576168,69,1,0
"6067",147267.086821778,1363592.48576168,68,2,0
"6068",153687.086821778,1363592.48576168,64,5,5
"6069",160107.086821778,1363592.48576168,72,7,13
"6070",166527.086821778,1363592.48576168,68,9,7
"6071",172947.086821778,1363592.48576168,79,6,24
"6072",179367.086821778,1363592.48576168,66,0,0
"6073",185787.086821778,1363592.48576168,72,0,0
"6074",192207.086821778,1363592.48576168,72,0,1
"6075",198627.086821778,1363592.48576168,63,0,0
"6076",205047.086821778,1363592.48576168,67,0,0
"6077",211467.086821778,1363592.48576168,70,0,0
"6078",217887.086821778,1363592.48576168,68,0,0
"6079",224307.086821778,1363592.48576168,79,0,0
"6080",230727.086821778,1363592.48576168,70,0,0
"6081",237147.086821778,1363592.48576168,70,0,0
"6082",243567.086821778,1363592.48576168,69,1,0
"6083",249987.086821778,1363592.48576168,68,0,0
"6084",256407.086821778,1363592.48576168,69,0,0
"6085",262827.086821778,1363592.48576168,70,0,0
"6086",269247.086821778,1363592.48576168,69,1,0
"6087",275667.086821778,1363592.48576168,71,0,7
"6088",282087.086821778,1363592.48576168,40,0,6
"6089",288507.086821778,1363592.48576168,61,1,5
"6090",294927.086821778,1363592.48576168,64,2,6
"6091",301347.086821778,1363592.48576168,49,2,6
"6092",307767.086821778,1363592.48576168,5,0,0
"6247",-26072.9131782223,1354352.48576168,20,0,15
"6248",-19652.9131782223,1354352.48576168,67,0,66
"6249",-13232.9131782223,1354352.48576168,70,0,70
"6250",-6812.91317822225,1354352.48576168,69,0,69
"6251",-392.913178222254,1354352.48576168,70,0,70
"6252",6027.08682177775,1354352.48576168,67,0,67
"6253",12447.0868217777,1354352.48576168,69,0,68
"6254",18867.0868217777,1354352.48576168,73,0,65
"6255",25287.0868217777,1354352.48576168,68,0,62
"6256",31707.0868217777,1354352.48576168,70,2,33
"6257",38127.0868217777,1354352.48576168,69,3,49
"6258",44547.0868217777,1354352.48576168,67,2,32
"6259",50967.0868217777,1354352.48576168,69,0,18
"6260",57387.0868217777,1354352.48576168,69,0,47
"6261",63807.0868217777,1354352.48576168,67,0,41
"6262",70227.0868217777,1354352.48576168,69,0,52
"6263",76647.0868217777,1354352.48576168,68,0,38
"6264",83067.0868217777,1354352.48576168,74,3,41
"6265",89487.0868217777,1354352.48576168,68,1,61
"6266",95907.0868217777,1354352.48576168,68,0,30
"6267",102327.086821778,1354352.48576168,71,2,1
"6268",108747.086821778,1354352.48576168,68,2,0
"6269",115167.086821778,1354352.48576168,71,0,0
"6270",121587.086821778,1354352.48576168,68,0,0
"6271",128007.086821778,1354352.48576168,68,0,0
"6272",134427.086821778,1354352.48576168,70,0,0
"6273",140847.086821778,1354352.48576168,68,0,0
"6274",147267.086821778,1354352.48576168,38,1,0
"6275",153687.086821778,1354352.48576168,42,1,1
"6276",160107.086821778,1354352.48576168,51,3,7
"6277",166527.086821778,1354352.48576168,68,4,12
"6278",172947.086821778,1354352.48576168,72,8,3
"6279",179367.086821778,1354352.48576168,70,0,0
"6280",185787.086821778,1354352.48576168,68,0,0
"6281",192207.086821778,1354352.48576168,71,0,0
"6282",198627.086821778,1354352.48576168,67,0,0
"6283",205047.086821778,1354352.48576168,69,0,0
"6284",211467.086821778,1354352.48576168,67,1,1
"6285",217887.086821778,1354352.48576168,71,0,0
"6286",224307.086821778,1354352.48576168,77,0,0
"6287",230727.086821778,1354352.48576168,69,0,0
"6288",237147.086821778,1354352.48576168,68,0,1
"6289",243567.086821778,1354352.48576168,69,0,0
"6290",249987.086821778,1354352.48576168,67,0,0
"6291",256407.086821778,1354352.48576168,68,0,0
"6292",262827.086821778,1354352.48576168,70,0,0
"6293",269247.086821778,1354352.48576168,72,0,0
"6294",275667.086821778,1354352.48576168,72,0,0
"6295",282087.086821778,1354352.48576168,58,0,0
"6296",288507.086821778,1354352.48576168,68,0,0
"6297",294927.086821778,1354352.48576168,81,0,7
"6298",301347.086821778,1354352.48576168,66,0,2
"6299",307767.086821778,1354352.48576168,69,2,1
"6300",314187.086821778,1354352.48576168,50,0,1
"6301",320607.086821778,1354352.48576168,5,0,0
"6454",-26072.9131782223,1345112.48576168,5,0,2
"6455",-19652.9131782223,1345112.48576168,68,2,34
"6456",-13232.9131782223,1345112.48576168,69,0,65
"6457",-6812.91317822225,1345112.48576168,68,0,68
"6458",-392.913178222254,1345112.48576168,71,0,71
"6459",6027.08682177775,1345112.48576168,69,0,69
"6460",12447.0868217777,1345112.48576168,67,1,66
"6461",18867.0868217777,1345112.48576168,81,0,77
"6462",25287.0868217777,1345112.48576168,72,0,63
"6463",31707.0868217777,1345112.48576168,72,0,67
"6464",38127.0868217777,1345112.48576168,75,1,17
"6465",44547.0868217777,1345112.48576168,74,1,13
"6466",50967.0868217777,1345112.48576168,73,2,41
"6467",57387.0868217777,1345112.48576168,76,0,51
"6468",63807.0868217777,1345112.48576168,74,0,58
"6469",70227.0868217777,1345112.48576168,70,0,45
"6470",76647.0868217777,1345112.48576168,69,0,34
"6471",83067.0868217777,1345112.48576168,71,0,31
"6472",89487.0868217777,1345112.48576168,62,0,49
"6473",95907.0868217777,1345112.48576168,70,1,11
"6474",102327.086821778,1345112.48576168,67,2,1
"6475",108747.086821778,1345112.48576168,70,0,0
"6476",115167.086821778,1345112.48576168,68,1,0
"6477",121587.086821778,1345112.48576168,69,0,0
"6478",128007.086821778,1345112.48576168,67,0,0
"6479",134427.086821778,1345112.48576168,68,0,0
"6480",140847.086821778,1345112.48576168,52,0,0
"6483",160107.086821778,1345112.48576168,11,1,0
"6484",166527.086821778,1345112.48576168,69,6,1
"6485",172947.086821778,1345112.48576168,77,2,2
"6486",179367.086821778,1345112.48576168,69,0,3
"6487",185787.086821778,1345112.48576168,68,0,0
"6488",192207.086821778,1345112.48576168,70,0,0
"6489",198627.086821778,1345112.48576168,68,0,0
"6490",205047.086821778,1345112.48576168,70,0,0
"6491",211467.086821778,1345112.48576168,70,0,0
"6492",217887.086821778,1345112.48576168,77,1,0
"6493",224307.086821778,1345112.48576168,64,0,0
"6494",230727.086821778,1345112.48576168,65,0,0
"6495",237147.086821778,1345112.48576168,69,0,0
"6496",243567.086821778,1345112.48576168,69,0,0
"6497",249987.086821778,1345112.48576168,69,0,1
"6498",256407.086821778,1345112.48576168,77,0,0
"6499",262827.086821778,1345112.48576168,67,1,0
"6500",269247.086821778,1345112.48576168,72,1,0
"6501",275667.086821778,1345112.48576168,66,0,1
"6502",282087.086821778,1345112.48576168,71,0,0
"6503",288507.086821778,1345112.48576168,77,0,1
"6504",294927.086821778,1345112.48576168,69,0,3
"6505",301347.086821778,1345112.48576168,70,2,3
"6506",307767.086821778,1345112.48576168,69,1,0
"6507",314187.086821778,1345112.48576168,65,0,0
"6508",320607.086821778,1345112.48576168,25,0,0
"6510",333447.086821778,1345112.48576168,33,0,0
"6511",339867.086821778,1345112.48576168,36,0,0
"6512",346287.086821778,1345112.48576168,29,0,2
"6513",352707.086821778,1345112.48576168,5,0,0
"6662",-19652.9131782223,1335872.48576168,56,0,30
"6663",-13232.9131782223,1335872.48576168,69,0,57
"6664",-6812.91317822225,1335872.48576168,69,0,60
"6665",-392.913178222254,1335872.48576168,68,0,68
"6666",6027.08682177775,1335872.48576168,69,0,69
"6667",12447.0868217777,1335872.48576168,69,0,69
"6668",18867.0868217777,1335872.48576168,68,1,53
"6669",25287.0868217777,1335872.48576168,67,0,51
"6670",31707.0868217777,1335872.48576168,70,1,37
"6671",38127.0868217777,1335872.48576168,68,6,2
"6672",44547.0868217777,1335872.48576168,70,9,10
"6673",50967.0868217777,1335872.48576168,67,4,33
