"","x","y","two_trees","one_tree","no_trees"
"3374",134427.086821778,1483712.48576168,1,0,0
"3375",140847.086821778,1483712.48576168,48,1,1
"3376",147267.086821778,1483712.48576168,33,0,2
"3377",153687.086821778,1483712.48576168,18,0,1
"3557",-19652.9131782223,1474472.48576168,1,0,1
"3558",-13232.9131782223,1474472.48576168,1,0,1
"3581",134427.086821778,1474472.48576168,12,0,0
"3582",140847.086821778,1474472.48576168,69,0,0
"3583",147267.086821778,1474472.48576168,69,2,0
"3584",153687.086821778,1474472.48576168,19,0,0
"3585",160107.086821778,1474472.48576168,22,0,0
"3764",-19652.9131782223,1465232.48576168,24,5,8
"3765",-13232.9131782223,1465232.48576168,69,1,68
"3766",-6812.91317822225,1465232.48576168,62,0,62
"3767",-392.913178222254,1465232.48576168,53,0,53
"3768",6027.08682177775,1465232.48576168,44,1,40
"3769",12447.0868217777,1465232.48576168,39,7,20
"3770",18867.0868217777,1465232.48576168,28,3,4
"3771",25287.0868217777,1465232.48576168,21,2,12
"3772",31707.0868217777,1465232.48576168,13,3,5
"3773",38127.0868217777,1465232.48576168,3,1,1
"3788",134427.086821778,1465232.48576168,18,0,1
"3789",140847.086821778,1465232.48576168,46,0,2
"3790",147267.086821778,1465232.48576168,37,0,1
"3791",153687.086821778,1465232.48576168,3,0,0
"3792",160107.086821778,1465232.48576168,1,0,0
"3971",-19652.9131782223,1455992.48576168,11,0,6
"3972",-13232.9131782223,1455992.48576168,67,0,65
"3973",-6812.91317822225,1455992.48576168,70,0,70
"3974",-392.913178222254,1455992.48576168,70,0,69
"3975",6027.08682177775,1455992.48576168,67,2,64
"3976",12447.0868217777,1455992.48576168,69,13,28
"3977",18867.0868217777,1455992.48576168,71,14,17
"3978",25287.0868217777,1455992.48576168,66,3,37
"3979",31707.0868217777,1455992.48576168,70,1,56
"3980",38127.0868217777,1455992.48576168,69,1,56
"3981",44547.0868217777,1455992.48576168,63,0,21
"3982",50967.0868217777,1455992.48576168,56,0,19
"3983",57387.0868217777,1455992.48576168,48,0,15
"3984",63807.0868217777,1455992.48576168,42,1,5
"3985",70227.0868217777,1455992.48576168,36,0,17
"3986",76647.0868217777,1455992.48576168,20,0,4
"3987",83067.0868217777,1455992.48576168,16,1,0
"3988",89487.0868217777,1455992.48576168,9,0,0
"3989",95907.0868217777,1455992.48576168,1,0,1
"4178",-19652.9131782223,1446752.48576168,5,0,3
"4179",-13232.9131782223,1446752.48576168,68,1,62
"4180",-6812.91317822225,1446752.48576168,69,0,65
"4181",-392.913178222254,1446752.48576168,68,0,65
"4182",6027.08682177775,1446752.48576168,70,1,65
"4183",12447.0868217777,1446752.48576168,70,2,55
"4184",18867.0868217777,1446752.48576168,67,0,50
"4185",25287.0868217777,1446752.48576168,72,1,44
"4186",31707.0868217777,1446752.48576168,67,0,19
"4187",38127.0868217777,1446752.48576168,72,0,21
"4188",44547.0868217777,1446752.48576168,68,0,16
"4189",50967.0868217777,1446752.48576168,67,0,2
"4190",57387.0868217777,1446752.48576168,67,1,10
"4191",63807.0868217777,1446752.48576168,68,0,45
"4192",70227.0868217777,1446752.48576168,69,0,61
"4193",76647.0868217777,1446752.48576168,67,0,39
"4194",83067.0868217777,1446752.48576168,51,1,9
"4195",89487.0868217777,1446752.48576168,63,1,6
"4196",95907.0868217777,1446752.48576168,68,3,16
"4197",102327.086821778,1446752.48576168,63,2,14
"4198",108747.086821778,1446752.48576168,54,2,13
"4199",115167.086821778,1446752.48576168,49,1,2
"4200",121587.086821778,1446752.48576168,11,0,0
"4204",147267.086821778,1446752.48576168,1,0,0
"4386",-13232.9131782223,1437512.48576168,58,1,55
"4387",-6812.91317822225,1437512.48576168,70,0,67
"4388",-392.913178222254,1437512.48576168,68,0,62
"4389",6027.08682177775,1437512.48576168,69,0,60
"4390",12447.0868217777,1437512.48576168,71,0,59
"4391",18867.0868217777,1437512.48576168,67,0,46
"4392",25287.0868217777,1437512.48576168,68,2,44
"4393",31707.0868217777,1437512.48576168,69,0,2
"4394",38127.0868217777,1437512.48576168,72,0,2
"4395",44547.0868217777,1437512.48576168,68,0,1
"4396",50967.0868217777,1437512.48576168,68,0,9
"4397",57387.0868217777,1437512.48576168,67,0,36
"4398",63807.0868217777,1437512.48576168,69,0,49
"4399",70227.0868217777,1437512.48576168,69,0,60
"4400",76647.0868217777,1437512.48576168,69,0,61
"4401",83067.0868217777,1437512.48576168,70,0,64
"4402",89487.0868217777,1437512.48576168,35,1,12
"4403",95907.0868217777,1437512.48576168,59,0,15
"4404",102327.086821778,1437512.48576168,70,0,4
"4405",108747.086821778,1437512.48576168,69,1,9
"4406",115167.086821778,1437512.48576168,67,0,15
"4407",121587.086821778,1437512.48576168,35,0,10
"4408",128007.086821778,1437512.48576168,16,0,1
"4409",134427.086821778,1437512.48576168,38,1,1
"4410",140847.086821778,1437512.48576168,63,0,0
"4411",147267.086821778,1437512.48576168,40,0,0
"4592",-19652.9131782223,1428272.48576168,16,0,11
"4593",-13232.9131782223,1428272.48576168,64,0,62
"4594",-6812.91317822225,1428272.48576168,69,0,66
"4595",-392.913178222254,1428272.48576168,69,0,67
"4596",6027.08682177775,1428272.48576168,63,0,63
"4597",12447.0868217777,1428272.48576168,69,0,65
"4598",18867.0868217777,1428272.48576168,70,0,58
"4599",25287.0868217777,1428272.48576168,68,1,46
"4600",31707.0868217777,1428272.48576168,69,0,36
"4601",38127.0868217777,1428272.48576168,71,0,50
"4602",44547.0868217777,1428272.48576168,70,0,54
"4603",50967.0868217777,1428272.48576168,72,0,50
