"","x","y","cell","plots"
"323",141000,1486000,323,28
"324",149000,1486000,324,11
"325",157000,1486000,325,1
"618",133000,1478000,618,1
"619",141000,1478000,619,71
"620",149000,1478000,620,68
"621",157000,1478000,621,12
"895",-19000,1470000,895,19
"896",-11000,1470000,896,33
"897",-3000,1470000,897,21
"898",5000,1470000,898,8
"914",133000,1470000,914,10
"915",141000,1470000,915,69
"916",149000,1470000,916,53
"917",157000,1470000,917,1
"1191",-19000,1462000,1191,31
"1192",-11000,1462000,1192,74
"1193",-3000,1462000,1193,74
"1194",5000,1462000,1194,74
"1195",13000,1462000,1195,70
"1196",21000,1462000,1196,48
"1197",29000,1462000,1197,33
"1198",37000,1462000,1198,26
"1199",45000,1462000,1199,17
"1200",53000,1462000,1200,5
"1210",133000,1462000,1210,3
"1211",141000,1462000,1211,17
"1212",149000,1462000,1212,5
"1213",157000,1462000,1213,2
"1487",-19000,1454000,1487,22
"1488",-11000,1454000,1488,73
"1489",-3000,1454000,1489,73
"1490",5000,1454000,1490,73
"1491",13000,1454000,1491,69
"1492",21000,1454000,1492,55
"1493",29000,1454000,1493,63
"1494",37000,1454000,1494,67
"1495",45000,1454000,1495,39
"1496",53000,1454000,1496,31
"1497",61000,1454000,1497,32
"1498",69000,1454000,1498,47
"1499",77000,1454000,1499,32
"1500",85000,1454000,1500,27
"1501",93000,1454000,1501,18
"1502",101000,1454000,1502,5
"1783",-19000,1446000,1783,14
"1784",-11000,1446000,1784,74
"1785",-3000,1446000,1785,76
"1786",5000,1446000,1786,74
"1787",13000,1446000,1787,71
"1788",21000,1446000,1788,58
"1789",29000,1446000,1789,54
"1790",37000,1446000,1790,75
"1791",45000,1446000,1791,27
"1792",53000,1446000,1792,29
"1793",61000,1446000,1793,46
"1794",69000,1446000,1794,71
"1795",77000,1446000,1795,54
"1796",85000,1446000,1796,31
"1797",93000,1446000,1797,46
"1798",101000,1446000,1798,67
"1799",109000,1446000,1799,54
"1800",117000,1446000,1800,41
"2079",-19000,1438000,2079,4
"2080",-11000,1438000,2080,73
"2081",-3000,1438000,2081,72
"2082",5000,1438000,2082,76
"2083",13000,1438000,2083,73
"2084",21000,1438000,2084,55
"2085",29000,1438000,2085,66
"2086",37000,1438000,2086,35
"2087",45000,1438000,2087,41
"2088",53000,1438000,2088,70
"2089",61000,1438000,2089,50
"2090",69000,1438000,2090,76
"2091",77000,1438000,2091,73
"2092",85000,1438000,2092,59
"2093",93000,1438000,2093,21
"2094",101000,1438000,2094,67
"2095",109000,1438000,2095,59
"2096",117000,1438000,2096,59
"2097",125000,1438000,2097,5
"2098",133000,1438000,2098,16
"2099",141000,1438000,2099,62
"2100",149000,1438000,2100,24
"2375",-19000,1430000,2375,11
"2376",-11000,1430000,2376,75
"2377",-3000,1430000,2377,72
"2378",5000,1430000,2378,67
"2379",13000,1430000,2379,72
"2380",21000,1430000,2380,70
"2381",29000,1430000,2381,56
"2382",37000,1430000,2382,59
"2383",45000,1430000,2383,74
"2384",53000,1430000,2384,76
"2385",61000,1430000,2385,59
"2386",69000,1430000,2386,72
"2387",77000,1430000,2387,74
"2388",85000,1430000,2388,65
"2389",93000,1430000,2389,49
"2390",101000,1430000,2390,74
"2391",109000,1430000,2391,64
"2392",117000,1430000,2392,61
"2393",125000,1430000,2393,72
"2394",133000,1430000,2394,77
"2395",141000,1430000,2395,73
"2396",149000,1430000,2396,51
"2397",157000,1430000,2397,5
"2671",-19000,1422000,2671,54
"2672",-11000,1422000,2672,65
"2673",-3000,1422000,2673,68
"2674",5000,1422000,2674,74
"2675",13000,1422000,2675,68
"2676",21000,1422000,2676,57
"2677",29000,1422000,2677,63
"2678",37000,1422000,2678,77
"2679",45000,1422000,2679,67
"2680",53000,1422000,2680,63
"2681",61000,1422000,2681,61
"2682",69000,1422000,2682,66
"2683",77000,1422000,2683,69
"2684",85000,1422000,2684,65
"2685",93000,1422000,2685,71
"2686",101000,1422000,2686,68
"2687",109000,1422000,2687,65
"2688",117000,1422000,2688,64
"2689",125000,1422000,2689,75
"2690",133000,1422000,2690,75
"2691",141000,1422000,2691,70
"2692",149000,1422000,2692,70
"2693",157000,1422000,2693,66
"2694",165000,1422000,2694,6
"2967",-19000,1414000,2967,53
"2968",-11000,1414000,2968,20
"2969",-3000,1414000,2969,58
"2970",5000,1414000,2970,78
"2971",13000,1414000,2971,73
"2972",21000,1414000,2972,49
"2973",29000,1414000,2973,54
"2974",37000,1414000,2974,76
"2975",45000,1414000,2975,73
"2976",53000,1414000,2976,73
"2977",61000,1414000,2977,65
"2978",69000,1414000,2978,66
"2979",77000,1414000,2979,65
"2980",85000,1414000,2980,72
"2981",93000,1414000,2981,72
"2982",101000,1414000,2982,72
"2983",109000,1414000,2983,55
"2984",117000,1414000,2984,62
"2985",125000,1414000,2985,48
"2986",133000,1414000,2986,62
"2987",141000,1414000,2987,64
"2988",149000,1414000,2988,82
"2989",157000,1414000,2989,71
"2990",165000,1414000,2990,26
"3262",-27000,1406000,3262,2
"3263",-19000,1406000,3263,49
"3264",-11000,1406000,3264,72
"3265",-3000,1406000,3265,74
"3266",5000,1406000,3266,74
"3267",13000,1406000,3267,75
"3268",21000,1406000,3268,70
"3269",29000,1406000,3269,71
"3270",37000,1406000,3270,67
"3271",45000,1406000,3271,66
"3272",53000,1406000,3272,78
"3273",61000,1406000,3273,70
"3274",69000,1406000,3274,64
"3275",77000,1406000,3275,63
"3276",85000,1406000,3276,71
"3277",93000,1406000,3277,72
"3278",101000,1406000,3278,72
"3279",109000,1406000,3279,75
"3280",117000,1406000,3280,69
"3281",125000,1406000,3281,66
"3282",133000,1406000,3282,71
"3283",141000,1406000,3283,72
"3284",149000,1406000,3284,74
"3285",157000,1406000,3285,73
"3286",165000,1406000,3286,64
"3287",173000,1406000,3287,45
"3288",181000,1406000,3288,38
"3289",189000,1406000,3289,21
"3558",-27000,1398000,3558,4
"3559",-19000,1398000,3559,64
"3560",-11000,1398000,3560,55
"3561",-3000,1398000,3561,72
"3562",5000,1398000,3562,73
"3563",13000,1398000,3563,72
"3564",21000,1398000,3564,70
"3565",29000,1398000,3565,70
"3566",37000,1398000,3566,66
"3567",45000,1398000,3567,70
"3568",53000,1398000,3568,69
"3569",61000,1398000,3569,68
"3570",69000,1398000,3570,40
"3571",77000,1398000,3571,60
"3572",85000,1398000,3572,75
"3573",93000,1398000,3573,76
"3574",101000,1398000,3574,70
"3575",109000,1398000,3575,75
"3576",117000,1398000,3576,72
"3577",125000,1398000,3577,74
"3578",133000,1398000,3578,72
"3579",141000,1398000,3579,73
"3580",149000,1398000,3580,72
"3581",157000,1398000,3581,73
"3582",165000,1398000,3582,71
"3583",173000,1398000,3583,73
"3584",181000,1398000,3584,77
"3585",189000,1398000,3585,65
"3586",197000,1398000,3586,30
"3587",205000,1398000,3587,19
"3588",213000,1398000,3588,3
"3854",-27000,1390000,3854,9
"3855",-19000,1390000,3855,73
"3856",-11000,1390000,3856,73
"3857",-3000,1390000,3857,73
"3858",5000,1390000,3858,71
"3859",13000,1390000,3859,71
"3860",21000,1390000,3860,70
"3861",29000,1390000,3861,69
"3862",37000,1390000,3862,71
"3863",45000,1390000,3863,64
"3864",53000,1390000,3864,50
"3865",61000,1390000,3865,36
"3866",69000,1390000,3866,68
"3867",77000,1390000,3867,69
"3868",85000,1390000,3868,67
"3869",93000,1390000,3869,65
"3870",101000,1390000,3870,71
"3871",109000,1390000,3871,72
"3872",117000,1390000,3872,77
"3873",125000,1390000,3873,69
"3874",133000,1390000,3874,74
"3875",141000,1390000,3875,72
"3876",149000,1390000,3876,67
"3877",157000,1390000,3877,71
"3878",165000,1390000,3878,74
"3879",173000,1390000,3879,75
"3880",181000,1390000,3880,80
"3881",189000,1390000,3881,76
"3882",197000,1390000,3882,73
"3883",205000,1390000,3883,75
"3884",213000,1390000,3884,70
"3885",221000,1390000,3885,41
"4150",-27000,1382000,4150,29
"4151",-19000,1382000,4151,69
"4152",-11000,1382000,4152,72
"4153",-3000,1382000,4153,75
"4154",5000,1382000,4154,71
"4155",13000,1382000,4155,68
"4156",21000,1382000,4156,70
"4157",29000,1382000,4157,68
"4158",37000,1382000,4158,56
"4159",45000,1382000,4159,67
"4160",53000,1382000,4160,48
"4161",61000,1382000,4161,20
"4162",69000,1382000,4162,32
"4163",77000,1382000,4163,44
"4164",85000,1382000,4164,64
"4165",93000,1382000,4165,66
"4166",101000,1382000,4166,54
"4167",109000,1382000,4167,59
"4168",117000,1382000,4168,74
"4169",125000,1382000,4169,67
"4170",133000,1382000,4170,72
"4171",141000,1382000,4171,74
"4172",149000,1382000,4172,73
"4173",157000,1382000,4173,71
"4174",165000,1382000,4174,72
"4175",173000,1382000,4175,80
"4176",181000,1382000,4176,74
"4177",189000,1382000,4177,71
"4178",197000,1382000,4178,74
"4179",205000,1382000,4179,73
"4180",213000,1382000,4180,73
"4181",221000,1382000,4181,57
"4182",229000,1382000,4182,3
"4183",237000,1382000,4183,3
"4184",245000,1382000,4184,7
"4185",253000,1382000,4185,72
"4186",261000,1382000,4186,67
"4187",269000,1382000,4187,41
"4188",277000,1382000,4188,44
"4189",285000,1382000,4189,15
"4446",-27000,1374000,4446,28
"4447",-19000,1374000,4447,57
"4448",-11000,1374000,4448,60
"4449",-3000,1374000,4449,76
"4450",5000,1374000,4450,71
"4451",13000,1374000,4451,73
