"","x","y","cell","Grass","TBDT","TNDT","TNET"
"1779",141000,1486000,323,0,0.422159107020114,0.861491380946035,1.04714761685679
"1860",149000,1486000,324,0,2.90705954191755,0.627357685803782,9.36415803853197
"1941",157000,1486000,325,0,0.188260058526159,0,0.188260058526159
"1698",133000,1478000,618,0,0,0.198711219010879,0.198711219010879
"1778",141000,1478000,619,0,1.45023608928538,4.56734996729661,2.65056414154604
"1859",149000,1478000,620,0,4.60680452040633,6.04406545311387,8.89132352099449
"1940",157000,1478000,621,0,2.53775367888807,0.0511059156251201,0.63107237966277
"212",-19000,1470000,895,0,0.196486567726285,0,0
"291",-11000,1470000,896,0,0,0,0
"370",-3000,1470000,897,0,0,0,0
"449",5000,1470000,898,0,0,0,0
"1697",133000,1470000,914,0,1.59013249924066,5.74456214422968,2.0552699338303
"1777",141000,1470000,915,0,0.519732500709445,3.35708406707257,2.94242288185351
"1858",149000,1470000,916,0,1.15238442280917,4.53661332794664,2.17406445989758
"1939",157000,1470000,917,0,1.00091035533254,0,0
"211",-19000,1462000,1191,0,0.216635993846464,0,0
"290",-11000,1462000,1192,0,0,0,0
"369",-3000,1462000,1193,0,0,0,0
"448",5000,1462000,1194,0,0.17564259017919,0,0
"527",13000,1462000,1195,0,0.528973771939339,0,0
"605",21000,1462000,1196,0,0.778326609741239,0,0
"683",29000,1462000,1197,0,1.80592988907109,1.48510130986462,0
"762",37000,1462000,1198,0,0.0597925631884724,0,0.0524955890060383
"841",45000,1462000,1199,0,0.497774526779971,0.02697581290316,0.0171198108577475
"920",53000,1462000,1200,0,0.402431111701196,0.13040718585418,0
"1696",133000,1462000,1210,0,0.316058647296606,0,0
"1776",141000,1462000,1211,0,3.14314779767133,10.9683145622446,0.82004045891678
"1857",149000,1462000,1212,0,2.59045627415744,1.65414280841798,2.74416678034026
"1938",157000,1462000,1213,0,9.52835261346937,0,0
"210",-19000,1454000,1487,0,0.331744608745945,0,0
"289",-11000,1454000,1488,0,0,0,0
"368",-3000,1454000,1489,0,0.186919017388322,0,0
"447",5000,1454000,1490,0,0.000861738235469706,0,0
"526",13000,1454000,1491,0,1.8500948734056,0,0
"604",21000,1454000,1492,0,3.88374118610488,0,0
"682",29000,1454000,1493,0,0.129299835019679,0,0
"761",37000,1454000,1494,0,0,0,0
"840",45000,1454000,1495,0,0.489646909325477,3.54942166706316,0
"919",53000,1454000,1496,0,0,0.30168219034579,0
"998",61000,1454000,1497,0,0,1.3770918188856,0.128036507521661
"1076",69000,1454000,1498,0,4.01035840305035,2.81192932059432,3.92307916120924
