"","x","y","cell","Grass","TBDT","TNDT","TNET"
"523",13000,1430000,2379,0,1.85903661433313,0,0
"601",21000,1430000,2380,0,6.64340894835468,0,0
"679",29000,1430000,2381,0,30.7022902360224,0,0
"758",37000,1430000,2382,0,6.71589450588905,0,0
"837",45000,1430000,2383,0,2.00617022955922,0,0
"916",53000,1430000,2384,0,1.85242465471168,0,0
"995",61000,1430000,2385,0,2.75840825679426,0.141943662688457,0
"1073",69000,1430000,2386,0,2.72441559577787,0,0
"1151",77000,1430000,2387,0,2.56457937585621,0.725216438023102,0.0399739462916491
"1229",85000,1430000,2388,0,17.1180490777752,31.223216417423,1.02692913303124
"1308",93000,1430000,2389,0,38.3441195965496,49.4017308355931,9.55730895178472
"1387",101000,1430000,2390,0,61.9587844334665,91.6880118953647,66.3152385848438
"1466",109000,1430000,2391,0,69.9463355834959,113.282594868728,10.9733579535925
"1542",117000,1430000,2392,0,52.8884601843053,18.0271813707877,3.30044673484291
"1618",125000,1430000,2393,0,76.3759268508057,78.4834085175578,49.9148090993496
"1694",133000,1430000,2394,0,177.073026015704,29.7329562214352,72.7571159493251
"1774",141000,1430000,2395,0,18.5369342853795,170.904004164911,107.355160076227
"1855",149000,1430000,2396,0,26.5655002758443,87.2574998787273,146.041913406978
"1937",157000,1430000,2397,0,323.768953264785,3.98880519274126,0
"206",-19000,1422000,2671,0,28.2903856131256,0,0
"285",-11000,1422000,2672,0,0,0,0
"364",-3000,1422000,2673,0,0,0,0
"443",5000,1422000,2674,0,0,0,0
"522",13000,1422000,2675,0,0.955810503322759,0,0
"600",21000,1422000,2676,0,5.88985139411689,0,0
"678",29000,1422000,2677,0,11.8452804617593,0,0
"757",37000,1422000,2678,0,25.7024007439044,0,0
"836",45000,1422000,2679,0,10.1369220276023,0,0
"915",53000,1422000,2680,0,7.79583239275765,0,0
"994",61000,1422000,2681,0,8.77509751036539,0.0295118301430139,0
"1072",69000,1422000,2682,0,4.53624838584619,0,0
"1150",77000,1422000,2683,0,26.1785905965907,1.53061813745511,0
"1228",85000,1422000,2684,0,39.2986731799425,2.16338273928704,2.2839584237013
"1307",93000,1422000,2685,0,29.1984974890516,31.7895300791066,7.8864402335656
"1386",101000,1422000,2686,0,18.3394797019779,75.9266917648636,18.8988226953642
"1465",109000,1422000,2687,0,1.54659033525367,53.9761024622804,17.432859871745
"1541",117000,1422000,2688,0,9.17939642844552,44.0610553482798,14.5004874287797
"1617",125000,1422000,2689,0,31.6101464842476,62.3247120680441,103.633670936196
"1693",133000,1422000,2690,0,153.803504495742,68.7480566634789,97.544980769027
"1773",141000,1422000,2691,0,34.3033800515017,134.147313133717,109.70388141846
"1854",149000,1422000,2692,0,6.73827726357744,215.915113279543,66.8472824249268
"1936",157000,1422000,2693,0,30.0865005031546,140.191476252793,83.4948087493235
"2017",165000,1422000,2694,0,53.5058068580285,60.2667096332233,0.648876049379694
"205",-19000,1414000,2967,0,1.9085696977448,0,0
"284",-11000,1414000,2968,0,0,0,0
"363",-3000,1414000,2969,0,0,0,0
"442",5000,1414000,2970,0,0,0,0
"521",13000,1414000,2971,0,0.416388302222157,0,0
"599",21000,1414000,2972,0,0,0,0
"677",29000,1414000,2973,0,3.90381803046256,0,0
"756",37000,1414000,2974,0,0.283979253165116,0,0
"835",45000,1414000,2975,0,4.11621481059789,0,0
"914",53000,1414000,2976,0,6.49186607179089,0.0377483052194755,0
"993",61000,1414000,2977,0,45.9350579690796,19.5103433056791,16.2816023648871
"1071",69000,1414000,2978,0,25.7743092301208,93.5298727444305,42.4897252062159
"1149",77000,1414000,2979,0,39.047417192327,36.2228517572722,5.70687817956007
"1227",85000,1414000,2980,0,18.5459229173021,72.8082979501842,0
"1306",93000,1414000,2981,0,80.1217269527895,70.6983125998665,88.1048462599354
"1385",101000,1414000,2982,0,3.17856820007246,28.6731200320233,48.1830853346709
"1464",109000,1414000,2983,0,4.36827930909808,40.7530749106084,50.895234994448
"1540",117000,1414000,2984,0,0.049179080303708,55.7482046027427,28.2126473533757
"1616",125000,1414000,2985,0,1.45421820442074,57.9205126361,50.833492435787
"1692",133000,1414000,2986,0,6.22792797468599,37.4443428335755,108.733996424071
"1772",141000,1414000,2987,0,9.3860681762698,20.7350591350968,85.0720902136574
"1853",149000,1414000,2988,0,18.2489342089213,35.4212238584434,97.6133175414634
"1935",157000,1414000,2989,0,67.5278784861094,140.506138986069,150.027186318661
"2016",165000,1414000,2990,0,66.2104636721523,48.5869958948378,152.325475725605
"133",-27000,1406000,3262,0,81.3730795750422,0,0
"204",-19000,1406000,3263,0,19.1543777666229,0,0
"283",-11000,1406000,3264,0,0,0,0
"362",-3000,1406000,3265,0,3.83007564672459,0,0
"441",5000,1406000,3266,0,0,0,0
"520",13000,1406000,3267,0,0,0,0
"598",21000,1406000,3268,0,41.7324900157074,0.81968822220382,0
"676",29000,1406000,3269,0,13.5459365836629,0.000662941570847252,0
"755",37000,1406000,3270,0,4.00580496661239,0.00219047152901612,0
"834",45000,1406000,3271,0,7.16967388900625,7.96316365757039,0.205449562109321
"913",53000,1406000,3272,0,16.5015891527823,25.1681155532132,0.497632659379863
"992",61000,1406000,3273,0,58.7064644713876,44.7604107006886,4.24815247512803
"1070",69000,1406000,3274,0,39.478371868473,68.6604680223242,0.423338983739801
"1148",77000,1406000,3275,0,43.3960296993895,129.108307579349,1.40653043526087
"1226",85000,1406000,3276,0,77.0326901253344,138.927766471088,12.0426014909745
"1305",93000,1406000,3277,0,44.5384438853571,120.232296407547,28.9787974099342
"1384",101000,1406000,3278,0,30.9369741002567,66.6451630033468,61.6681060855384
"1463",109000,1406000,3279,0,53.254975380497,23.3866456851274,48.841378211922
"1539",117000,1406000,3280,0,6.0161592486909,31.2092052029985,77.3456436272123
"1615",125000,1406000,3281,0,24.4854118584461,192.658923800588,86.0131014915876
"1691",133000,1406000,3282,0,1.01466611850344,203.344076615117,111.198257504183
"1771",141000,1406000,3283,0,11.4525230191423,93.5337085873112,83.1929705107284
"1852",149000,1406000,3284,0,13.0583832567645,83.3537541826768,84.9911407911203
"1934",157000,1406000,3285,0,23.3673911906013,143.792200015072,115.774123208641
"2015",165000,1406000,3286,0,18.1949609488813,96.0192067147289,225.473243378429
"2091",173000,1406000,3287,0,11.4408003266436,62.855507460837,179.547365567292
"2165",181000,1406000,3288,0,88.5020655314221,22.5879198983633,114.705481534348
"2239",189000,1406000,3289,0,16.6258153906374,27.9597954743388,113.879202269159
"132",-27000,1398000,3558,0,67.158167143167,0,0
"203",-19000,1398000,3559,0,11.0184352983344,0,0
"282",-11000,1398000,3560,0,1.34403311045743,0,0
"361",-3000,1398000,3561,0,0.80500620786822,0,0
"440",5000,1398000,3562,0,2.51069026433707,0,0
"519",13000,1398000,3563,0,0.444558476968915,0,0
"597",21000,1398000,3564,0,26.7344426617193,9.31839103560906,0
"675",29000,1398000,3565,0,9.07776230047428,0.00096652836473198,0
"754",37000,1398000,3566,0,34.3800492767751,10.8328315984185,0.000893563107405503
"833",45000,1398000,3567,0,18.8250815294911,10.1342954760836,11.4816449941993
"912",53000,1398000,3568,0,15.4756175237362,25.4398677116181,1.8355432450166
"991",61000,1398000,3569,0,13.1292816719399,31.6597129810633,17.4561330257987
"1069",69000,1398000,3570,0,5.47125754310317,12.690627928043,0
"1147",77000,1398000,3571,0,86.1498438402599,163.551596309026,7.73754089116578
"1225",85000,1398000,3572,0,35.9783571110024,183.847085711231,33.0408200934928
"1304",93000,1398000,3573,0,34.6197100536087,105.512945221582,42.1848739155052
"1383",101000,1398000,3574,0,24.9115233583117,107.813956615073,39.7394723956048
"1462",109000,1398000,3575,0,12.4962408518472,83.2734515946525,51.2214356943947
"1538",117000,1398000,3576,0,12.3389472840222,163.410120087059,35.3643957797236
"1614",125000,1398000,3577,0,9.48519886906851,165.802616896728,101.619883233243
"1690",133000,1398000,3578,0,22.7273699346508,117.395314686181,79.4309500176018
"1770",141000,1398000,3579,0,25.2289013476506,104.747304665403,192.440320841823
"1851",149000,1398000,3580,0,13.6962934779105,145.619989484772,98.8554554387226
"1933",157000,1398000,3581,0,32.8054498773909,260.07428880797,95.2448547204874
"2014",165000,1398000,3582,0,32.2769034259716,174.964013536495,59.4026770905877
"2090",173000,1398000,3583,0,10.6756857621701,134.760415428751,113.211572036383
"2164",181000,1398000,3584,0,15.6723158430207,29.3821974003432,107.527437094963
"2238",189000,1398000,3585,0,8.80040808735099,88.537325051017,81.6443861632626
"2311",197000,1398000,3586,0,22.0663128201941,50.6007984434204,228.535348596993
"2382",205000,1398000,3587,0,82.4790549972513,23.1020708251516,281.263396905081
"2456",213000,1398000,3588,0,166.89011259993,0,245.514885254199
"131",-27000,1390000,3854,0,137.070806127662,0,0
"202",-19000,1390000,3855,0,19.1364542295259,0,0
"281",-11000,1390000,3856,0,0,0,0
"360",-3000,1390000,3857,0,2.12209597983887,0,0
"439",5000,1390000,3858,0,3.49676104336094,0,0
"518",13000,1390000,3859,0,0,0,0
"596",21000,1390000,3860,0,3.34166280819249,0,0
"674",29000,1390000,3861,0,16.0293521223689,0,0
"753",37000,1390000,3862,0,16.7536956018457,5.54469474338293,0.036461489358821
"832",45000,1390000,3863,0,25.1669678841621,0,0
"911",53000,1390000,3864,0,28.6154998451069,0.697589496805273,0
"990",61000,1390000,3865,0,20.5037634326251,39.9910744864852,60.8653712526666
"1068",69000,1390000,3866,0,0.768134709866779,18.4305158499751,9.77368956349676
"1146",77000,1390000,3867,0,18.887361502167,12.963002246323,0.593333202760065
"1224",85000,1390000,3868,0,40.6774562690424,111.507008863057,5.66350173065479
"1303",93000,1390000,3869,0,22.762483284144,86.4476942578158,41.0311965099973
"1382",101000,1390000,3870,0,8.22888507885665,110.175081816997,25.6087266364311
"1461",109000,1390000,3871,0,28.8366852367119,208.707595851538,42.3279061648651
"1537",117000,1390000,3872,0,42.2408638649066,79.6400814568769,26.6862070614402
"1613",125000,1390000,3873,0,4.96616715394543,119.591223827759,27.1531598261147
"1689",133000,1390000,3874,0,19.1329440274577,80.7551545394271,56.3840709059247
"1769",141000,1390000,3875,0,17.5599037055335,62.7723914301074,84.1550717233277
"1850",149000,1390000,3876,0,12.189874167591,67.7052132259457,50.0968033147025
"1932",157000,1390000,3877,0,10.2511873420066,87.9232012554618,56.2266693007896
"2013",165000,1390000,3878,0,18.7894340491941,96.6799467562753,105.427883037853
"2089",173000,1390000,3879,0,37.8980269593596,54.4020511436891,127.101508964165
"2163",181000,1390000,3880,0,27.8936292717162,76.4036101829827,126.469573143852
"2237",189000,1390000,3881,0,7.04448724670777,77.2101268048912,70.0920628163717
"2310",197000,1390000,3882,0,59.0498192531516,56.488063757097,159.836430542216
"2381",205000,1390000,3883,0,34.8154949748565,151.136820917944,226.428049289487
"2455",213000,1390000,3884,0,8.83182852347248,60.4734093064954,255.677255066362
"2529",221000,1390000,3885,0,85.6322293418448,43.1403265213058,149.405357490479
"130",-27000,1382000,4150,0,10.9702190135311,0,0
"201",-19000,1382000,4151,0,9.8539321065322,0,0
"280",-11000,1382000,4152,0,0,0,0
"359",-3000,1382000,4153,0,0,0,0
"438",5000,1382000,4154,0,0,0,0
"517",13000,1382000,4155,0,0,0,0
"595",21000,1382000,4156,0,2.28481445208326,0,0
"673",29000,1382000,4157,0,9.80391384409668,0,0
"752",37000,1382000,4158,0,3.34587831062028,0,0
"831",45000,1382000,4159,0,22.5451156124027,0,0
"910",53000,1382000,4160,0,13.8695362695345,0,0
"989",61000,1382000,4161,0,9.86085146440861,55.5078677521952,24.9087082120884
"1067",69000,1382000,4162,0,0.398573972379127,69.1409336822592,0
"1145",77000,1382000,4163,0,15.3040545142023,7.83287046640008,0
"1223",85000,1382000,4164,0,5.01923298102369,9.53609157820354,0.0285288263692107
"1302",93000,1382000,4165,0,12.9197703606573,22.1963377760391,7.85903396539162
"1381",101000,1382000,4166,0,1.09446977010797,58.6165727398128,33.7682675047977
"1460",109000,1382000,4167,0,10.1835254897344,91.4587787199351,28.4734357393271
"1536",117000,1382000,4168,0,19.4918260275357,141.60586450494,29.0079792009407
"1612",125000,1382000,4169,0,1.14699890221083,89.9902505945038,27.6760820439666
"1688",133000,1382000,4170,0,1.8101572956936,70.1082665674031,89.8047387777463
"1768",141000,1382000,4171,0,11.8366353980726,61.6030079845998,58.2897833377449
"1849",149000,1382000,4172,0,2.16459957540365,59.1405967697734,33.3268676804317
"1931",157000,1382000,4173,0,43.4714699563666,56.5710876412801,77.0202490836346
"2012",165000,1382000,4174,0,20.4652869459664,170.847644358182,54.8895469488059
"2088",173000,1382000,4175,0,13.9834222717967,224.114753527518,80.1727457227389
"2162",181000,1382000,4176,0,22.178495440325,131.284681501718,192.653134743327
"2236",189000,1382000,4177,0,19.800519469815,79.3112248794155,122.52251367134
"2309",197000,1382000,4178,0,14.2671231016586,82.3601906401093,189.885775783193
"2380",205000,1382000,4179,0,2.85902836660524,151.687607325318,94.8939523504983
"2454",213000,1382000,4180,0,18.5451196025509,150.205405725795,170.78403916795
"2528",221000,1382000,4181,0,39.2170253520754,14.0275000900894,262.791268056578
"2601",229000,1382000,4182,0,185.591804071025,0,28.2355963142673
"2673",237000,1382000,4183,0,119.785464107982,0,0
"2745",245000,1382000,4184,0,204.577419220227,0,314.003042518012
"2817",253000,1382000,4185,0,251.318280467791,19.2293006078868,178.101776577417
"2889",261000,1382000,4186,0,92.5734929937165,75.1129343499835,193.347444608909
"2961",269000,1382000,4187,0,177.21424953887,3.56704847967031,132.655930769277
"3034",277000,1382000,4188,0,89.6702255971807,8.49155082647516,96.7827710677561
"3107",285000,1382000,4189,0,138.604868027413,0,18.8294038560242
"129",-27000,1374000,4446,0,7.59353016734117,0,0
"200",-19000,1374000,4447,0,0.67053469752303,0,0
"279",-11000,1374000,4448,0,0,0,0
"358",-3000,1374000,4449,0,0.0294632353297003,0,0
"437",5000,1374000,4450,0,0.783439787430087,0,0
"516",13000,1374000,4451,0,0,0,0
"594",21000,1374000,4452,0,0,0,0
"672",29000,1374000,4453,0,4.51691739255541,0,0
"751",37000,1374000,4454,0,14.3207736456351,0,0
"830",45000,1374000,4455,0,47.5059754136392,0,0
"909",53000,1374000,4456,0,41.1382599159105,0,0
"988",61000,1374000,4457,0,0,0,0
"1066",69000,1374000,4458,0,15.1112105835526,0,0
"1144",77000,1374000,4459,0,6.31862304597435,0,0
