"","x","y","cell","Grass","TBDT","TNDT","TNET"
"1779",141000,1486000,323,0,0.660274904660456,1.25027673446984,0.871963248831362
"1860",149000,1486000,324,0,6.24989524172648,0.85365771448185,18.2840798207624
"1941",157000,1486000,325,0,0.267590832730641,0,0.415220831567206
"1698",133000,1478000,618,0,0,0.335390653392234,0.335390653392234
"1778",141000,1478000,619,0,1.86423073544041,5.84086114036302,3.86537648984553
"1859",149000,1478000,620,0,9.72891880838721,7.19807276540098,12.7394127101753
"1940",157000,1478000,621,0,3.91032990442455,0.0915650123709173,2.14476884323776
"212",-19000,1470000,895,0,0.470182937623446,0,0
"291",-11000,1470000,896,0,0,0,0
"370",-3000,1470000,897,0,0,0,0
"449",5000,1470000,898,0,0,0,0
"1697",133000,1470000,914,0,3.22655654308933,7.05806125020428,3.63899418447024
"1777",141000,1470000,915,0,1.14718833136799,5.66496711487432,3.62229424742325
"1858",149000,1470000,916,0,1.59046290248229,5.0861803176696,3.91914485205715
"1939",157000,1470000,917,0,1.63703550250443,0,0
"211",-19000,1462000,1191,0,0.715007082449639,0,0
"290",-11000,1462000,1192,0,0,0,0
"369",-3000,1462000,1193,0,0,0,0
"448",5000,1462000,1194,0,0.391015502140053,0,0
"527",13000,1462000,1195,0,0.963409155032001,0,0
"605",21000,1462000,1196,0,1.74557702285727,0,0
"683",29000,1462000,1197,0,1.58933854288728,3.54090508442862,0
"762",37000,1462000,1198,0,0.111814962849548,0,0.102619951409263
"841",45000,1462000,1199,0,0.591016941595219,0.0308767628168667,0.0260751151578657
"920",53000,1462000,1200,0,0.369772469585656,0.192582473667043,0
"1696",133000,1462000,1210,0,0.534421336411407,0,0
"1776",141000,1462000,1211,0,5.59955270469528,10.4164774065564,1.10250989770183
"1857",149000,1462000,1212,0,5.82173205639041,2.70876383885493,5.69732415859868
"1938",157000,1462000,1213,0,26.812525710299,0,0
"210",-19000,1454000,1487,0,1.00026212620502,0,0
"289",-11000,1454000,1488,0,0,0,0
"368",-3000,1454000,1489,0,0.282232998484343,0,0
"447",5000,1454000,1490,0,0.00235629529751259,0,0
"526",13000,1454000,1491,0,3.42759056650435,0,0
"604",21000,1454000,1492,0,4.49417916723307,0,0
"682",29000,1454000,1493,0,0.17534821221395,0,0
"761",37000,1454000,1494,0,0,0,0
"840",45000,1454000,1495,0,0.554595314228052,2.19782878838198,0
"919",53000,1454000,1496,0,0,0.395613984418263,0
"998",61000,1454000,1497,0,0,1.3573799293672,0.306346898417159
"1076",69000,1454000,1498,0,6.66428503579532,4.84632302712687,7.69935144001683
"1154",77000,1454000,1499,0,0.968675269451915,4.49004872480636,0.983193147877042
"1232",85000,1454000,1500,0,0.0109389226929887,4.6509491629814,0.384875663874532
"1311",93000,1454000,1501,0,0.258430403482114,6.4507644354015,0.582400339760896
"1390",101000,1454000,1502,0,5.17001086268611,9.65290106258824,0.642305371285722
"209",-19000,1446000,1783,0,0.670942403109504,0,0
"288",-11000,1446000,1784,0,0.212438418348639,0,0
"367",-3000,1446000,1785,0,0.498094306328328,0,0
"446",5000,1446000,1786,0,0.754698701296952,0,0
"525",13000,1446000,1787,0,0.391730757430221,0,0
"603",21000,1446000,1788,0,0.3543965355568,0,0
"681",29000,1446000,1789,0,3.04537013285878,0,0
"760",37000,1446000,1790,0,3.5550688861552,0,0
"839",45000,1446000,1791,0,6.53778043725212,0,0
"918",53000,1446000,1792,0,5.5843585441136,0,0
"997",61000,1446000,1793,0,1.78260471336635,0.00933906699847414,0
"1075",69000,1446000,1794,0,0.492355680204885,0,0
"1153",77000,1446000,1795,0,0.232293437450031,0.395566683476496,0
"1231",85000,1446000,1796,0,0.00263393266438981,2.27130762890434,0
"1310",93000,1446000,1797,0,0.0701397354340744,6.16615921398765,2.41174606123489
"1389",101000,1446000,1798,0,5.64005473172349,4.646884261919,10.4347226779855
"1468",109000,1446000,1799,0,1.03374051374033,5.06486913466962,1.20392161082669
"1544",117000,1446000,1800,0,21.8461669021313,4.29905060746733,13.7528522686109
"208",-19000,1438000,2079,0,0,0,0
"287",-11000,1438000,2080,0,0.00665361976767067,0,0
"366",-3000,1438000,2081,0,0.172678893130252,0,0
"445",5000,1438000,2082,0,5.08858292327102,0,0
"524",13000,1438000,2083,0,0.410135664314237,0,0
"602",21000,1438000,2084,0,0.63228491619472,0,0
"680",29000,1438000,2085,0,1.59796207579986,0,0
"759",37000,1438000,2086,0,1.70278331914027,0,0
"838",45000,1438000,2087,0,2.38791380284036,0,0
"917",53000,1438000,2088,0,2.61554149291682,0,0
"996",61000,1438000,2089,0,0.204101666463141,0,0
"1074",69000,1438000,2090,0,0.305512191744536,0,0
"1152",77000,1438000,2091,0,0.975118515834217,0.0682451643859863,0
"1230",85000,1438000,2092,0,1.33236829359062,0,0
"1309",93000,1438000,2093,0,0.316910694812262,0.36733719871802,0
"1388",101000,1438000,2094,0,3.8579082646482,5.59936495849448,3.78684975628732
"1467",109000,1438000,2095,0,1.52320962140007,6.84377308158466,4.16135982955737
"1543",117000,1438000,2096,0,16.0191130477571,6.05535105969563,3.09157442112868
"1619",125000,1438000,2097,0,12.1426895819949,0,0
"1695",133000,1438000,2098,0,21.9855167516726,0.0558817780564095,3.97567670055988
"1775",141000,1438000,2099,0,21.8405118349074,3.11550480720905,7.3171144595672
"1856",149000,1438000,2100,0,21.2829795232824,0.697955511069787,6.69059412682578
"207",-19000,1430000,2375,0,246.964563844834,0,0
"286",-11000,1430000,2376,0,0.00807093676927688,0,0
"365",-3000,1430000,2377,0,0,0,0
"444",5000,1430000,2378,0,0,0,0
"523",13000,1430000,2379,0,0.208489050024652,0,0
"601",21000,1430000,2380,0,0.597054251631367,0,0
"679",29000,1430000,2381,0,0.827715343569424,0,0
"758",37000,1430000,2382,0,0.469075782251127,0,0
"837",45000,1430000,2383,0,0.240021637720188,0,0
"916",53000,1430000,2384,0,0.340115279761441,0,0
"995",61000,1430000,2385,0,0.138281846685874,0.00353276602874619,0
"1073",69000,1430000,2386,0,0.247309675301287,0,0
"1151",77000,1430000,2387,0,0.252146910047014,0.0656649690877403,0.00562454701428765
"1229",85000,1430000,2388,0,5.19012728894044,4.01333092030618,0.190175264671739
"1308",93000,1430000,2389,0,3.6690224728976,1.51657950841045,4.18242725692276
"1387",101000,1430000,2390,0,16.7907047297864,10.2780169451219,17.4305661617103
"1466",109000,1430000,2391,0,21.7872504868715,12.0179008115429,2.51444692479953
"1542",117000,1430000,2392,0,2.53558000525839,3.20074724290113,0.831913671213858
"1618",125000,1430000,2393,0,16.1656154696965,10.6271124989245,9.88334368298535
"1694",133000,1430000,2394,0,34.3164541481359,3.61166964370366,17.1965014969444
"1774",141000,1430000,2395,0,4.90868382553535,28.0919883647988,18.3093264240333
"1855",149000,1430000,2396,0,1.42875134143205,8.51397406929717,13.6650465706085
"1937",157000,1430000,2397,0,45.4185766580797,0.778864484252565,0
"206",-19000,1422000,2671,0,3.59620366646585,0,0
"285",-11000,1422000,2672,0,0,0,0
"364",-3000,1422000,2673,0,0,0,0
"443",5000,1422000,2674,0,0,0,0
"522",13000,1422000,2675,0,0.242705119488522,0,0
"600",21000,1422000,2676,0,0.927605784143046,0,0
"678",29000,1422000,2677,0,0.724883510446625,0,0
"757",37000,1422000,2678,0,2.86136977190838,0,0
"836",45000,1422000,2679,0,1.3522542083935,0,0
"915",53000,1422000,2680,0,0.554225079547773,0,0
"994",61000,1422000,2681,0,0.960980093998972,0.00181724934785154,0
"1072",69000,1422000,2682,0,0.342376133584183,0,0
"1150",77000,1422000,2683,0,2.35282366517351,0.0990969564620823,0
"1228",85000,1422000,2684,0,3.02554259962877,0.262954178199558,0.574364309721336
"1307",93000,1422000,2685,0,2.78178014404444,2.73480233005791,1.95507783635698
"1386",101000,1422000,2686,0,1.19591227923545,3.56952856847488,2.12955042302828
"1465",109000,1422000,2687,0,0.655396035764041,6.96757453108579,2.17544158430527
"1541",117000,1422000,2688,0,0.765004871459042,1.9020044997218,0.755355045633284
"1617",125000,1422000,2689,0,3.4483819253972,3.49615810830286,10.9112006048508
"1693",133000,1422000,2690,0,18.9610273786871,2.51520816620071,6.70311064202492
"1773",141000,1422000,2691,0,2.27662125416126,11.6028612504034,10.3261108019158
"1854",149000,1422000,2692,0,2.29082790790962,11.482252423092,8.12248901733423
"1936",157000,1422000,2693,0,3.94680513561591,7.40991454321625,11.0352261488407
"2017",165000,1422000,2694,0,1.12155271239282,1.46666593380475,1.96488354497526
"205",-19000,1414000,2967,0,1.55746371417282,0,0
"284",-11000,1414000,2968,0,0,0,0
"363",-3000,1414000,2969,0,0,0,0
"442",5000,1414000,2970,0,0,0,0
"521",13000,1414000,2971,0,0.0156310539532188,0,0
"599",21000,1414000,2972,0,0,0,0
"677",29000,1414000,2973,0,0.699124605546598,0,0
"756",37000,1414000,2974,0,0.0239757062105569,0,0
"835",45000,1414000,2975,0,1.10566466565251,0,0
"914",53000,1414000,2976,0,0.246867238150906,0.00262454639411431,0
"993",61000,1414000,2977,0,3.86637853581363,1.26092501976015,2.65943898455036
"1071",69000,1414000,2978,0,5.33236369006313,7.97323882577924,4.32433390320943
"1149",77000,1414000,2979,0,4.0956103692882,1.80285380298806,0.480174464667436
"1227",85000,1414000,2980,0,1.24542029215346,4.44213013199153,0
"1306",93000,1414000,2981,0,10.3682131907838,5.07685882586718,12.6519481916346
"1385",101000,1414000,2982,0,0.112930283983852,1.75230777366458,2.61103529887577
"1464",109000,1414000,2983,0,0.221457207664606,3.05111454211604,6.77550437591205
"1540",117000,1414000,2984,0,0.00136585119571955,2.36038982190223,1.93140050398395
"1616",125000,1414000,2985,0,0.0687410438666693,3.6702609948587,2.84760311021135
"1692",133000,1414000,2986,0,0.235742308082273,1.64572022650125,7.6742284321662
"1772",141000,1414000,2987,0,0.510555270342538,1.28690158518863,12.7794965964132
"1853",149000,1414000,2988,0,2.63861797198504,6.62549297244354,15.2279590305322
"1935",157000,1414000,2989,0,5.39701495277683,8.01847151967434,14.8316917012799
"2016",165000,1414000,2990,0,12.2342898131406,4.25412131167539,14.432996162005
"133",-27000,1406000,3262,0,27.1039843410251,0,0
"204",-19000,1406000,3263,0,9.92462491224245,0,0
"283",-11000,1406000,3264,0,0,0,0
"362",-3000,1406000,3265,0,1.60214356373164,0,0
"441",5000,1406000,3266,0,0,0,0
"520",13000,1406000,3267,0,0,0,0
"598",21000,1406000,3268,0,3.26685633149571,0.227780277031021,0
"676",29000,1406000,3269,0,0.528357588770711,6.80094708663558e-05,0
"755",37000,1406000,3270,0,0.783157141812749,9.4035181916129e-05,0
"834",45000,1406000,3271,0,0.959072904752106,1.59001740195755,0.0577949761825182
"913",53000,1406000,3272,0,0.718244210025553,2.17196599087335,0.0585235563360888
"992",61000,1406000,3273,0,6.08971663653977,3.04881171542815,0.457112141730927
"1070",69000,1406000,3274,0,11.6476016521086,5.26686004979169,0.0403222708844257
"1148",77000,1406000,3275,0,7.00094996620204,6.42661635864228,0.0335648147468198
"1226",85000,1406000,3276,0,15.5729633931638,11.0632259161992,1.13119069768775
"1305",93000,1406000,3277,0,4.83016141780378,11.1487196016528,3.31078027805817
"1384",101000,1406000,3278,0,2.17499297822832,2.34291497092245,6.58208682486809
"1463",109000,1406000,3279,0,7.05138884528336,1.27489780936073,2.00557193909905
"1539",117000,1406000,3280,0,0.523155224728228,3.0684274622752,7.65073596627417
"1615",125000,1406000,3281,0,4.88305420203583,19.9177788660741,8.20096264958672
"1691",133000,1406000,3282,0,0.135529993852274,23.8940794445178,16.2670536159679
"1771",141000,1406000,3283,0,1.07408504221898,14.781287290922,6.29293010446753
"1852",149000,1406000,3284,0,2.12722923685771,13.5791205361607,6.35103680271023
"1934",157000,1406000,3285,0,4.21002003907487,11.1948164645426,13.2331909825141
"2015",165000,1406000,3286,0,47.0543867557695,17.9822497796841,22.7077676544386
"2091",173000,1406000,3287,0,2.05599151330658,9.04503861552879,19.5382906384803
"2165",181000,1406000,3288,0,25.9408300415096,2.21987452990432,10.8463115438932
"2239",189000,1406000,3289,0,4.8362463346737,3.21499665148137,10.9941342515775
"132",-27000,1398000,3558,0,73.9312779542572,0,0
"203",-19000,1398000,3559,0,8.62330059471283,0,0
"282",-11000,1398000,3560,0,0.171206291176033,0,0
"361",-3000,1398000,3561,0,0.207803783047758,0,0
"440",5000,1398000,3562,0,1.23984230873567,0,0
"519",13000,1398000,3563,0,0.0955636148747621,0,0
"597",21000,1398000,3564,0,2.699947044092,1.24780782138991,0
"675",29000,1398000,3565,0,1.13345986458626,2.38126435122e-05,0
"754",37000,1398000,3566,0,6.11491581460912,1.40335678975424,0.000168650734717043
"833",45000,1398000,3567,0,4.3176628836469,2.7056300056766,2.17079520281371
"912",53000,1398000,3568,0,1.27162950387301,1.79297082395077,0.44411971484083
"991",61000,1398000,3569,0,0.842020880491286,1.82743453910832,1.26152795836335
"1069",69000,1398000,3570,0,0.39180176411361,1.0691646665183,0
"1147",77000,1398000,3571,0,7.14940858627959,13.1379310438331,0.36963379450456
"1225",85000,1398000,3572,0,3.51203612092515,9.79051456155836,1.32319604457663
"1304",93000,1398000,3573,0,3.00150462910513,4.76284409530743,2.34140804429284
"1383",101000,1398000,3574,0,2.46877140942271,5.81336421124325,2.37425405595868
"1462",109000,1398000,3575,0,1.01440071201036,3.91929615085629,2.81582601278735
"1538",117000,1398000,3576,0,1.89317904700837,11.1837150618153,3.31694924623182
"1614",125000,1398000,3577,0,0.571024524052911,14.6126460990056,9.60888774786608
"1690",133000,1398000,3578,0,6.56914285204137,8.45864890497092,10.5532737011583
"1770",141000,1398000,3579,0,0.893899843337139,10.3259423359135,10.4390045557644
"1851",149000,1398000,3580,0,0.41968029188228,15.3706129400511,7.74243760487543
"1933",157000,1398000,3581,0,1.56885188900599,9.57450857940248,15.1798988130612
"2014",165000,1398000,3582,0,10.8235229588199,14.4226514222402,7.01567202689016
"2090",173000,1398000,3583,0,3.57674472479085,11.7721376908645,10.0175161281464
"2164",181000,1398000,3584,0,2.19178059153158,3.88750943985524,6.09554563872528
"2238",189000,1398000,3585,0,1.16649573175021,5.2768791666945,3.39101816323255
"2311",197000,1398000,3586,0,14.9752941424784,5.20023560743569,27.1288705445677
"2382",205000,1398000,3587,0,7.65768312093597,7.09504436997119,23.9300930963514
"2456",213000,1398000,3588,0,94.5829101603424,0,25.7734979375237
"131",-27000,1390000,3854,0,37.618799234531,0,0
"202",-19000,1390000,3855,0,21.2860277116461,0,0
"281",-11000,1390000,3856,0,0,0,0
"360",-3000,1390000,3857,0,1.02758170377448,0,0
"439",5000,1390000,3858,0,1.46306407133563,0,0
"518",13000,1390000,3859,0,0,0,0
"596",21000,1390000,3860,0,0.18602362465041,0,0
"674",29000,1390000,3861,0,1.81655139656926,0,0
"753",37000,1390000,3862,0,2.92652749292924,0.953012654178468,0.00319952991166081
"832",45000,1390000,3863,0,7.27346758176007,0,0
"911",53000,1390000,3864,0,1.69495815721267,0.0357043572155561,0
"990",61000,1390000,3865,0,0.543018933341074,2.91326818926506,1.91306499795494
"1068",69000,1390000,3866,0,0.0561483996621226,0.776616765943987,0.319169669466354
"1146",77000,1390000,3867,0,1.00579813163584,2.53118955955043,0.029628225729775
"1224",85000,1390000,3868,0,3.79752154241654,6.79287744356227,0.387521570298621
"1303",93000,1390000,3869,0,1.17472684262221,3.52485088336003,1.62519230402052
"1382",101000,1390000,3870,0,0.821048324186018,6.04711248856366,1.52374563909222
"1461",109000,1390000,3871,0,1.77637965608495,8.55089121778659,1.84870247653831
"1537",117000,1390000,3872,0,3.23281489030861,2.92640421046227,1.27242479175026
"1613",125000,1390000,3873,0,0.497356996434046,6.7594692313312,2.96513857411394
"1689",133000,1390000,3874,0,1.10172564342884,7.78509407603054,6.03308995615435
"1769",141000,1390000,3875,0,1.57766223115662,4.6376334693729,11.6946981136863
"1850",149000,1390000,3876,0,0.7540225986939,6.98264994608778,7.26692808785105
"1932",157000,1390000,3877,0,1.7300744224506,9.95439927219523,5.23058737387779
"2013",165000,1390000,3878,0,4.26129352680598,9.338111495992,7.76455591585729
"2089",173000,1390000,3879,0,7.49194578185413,7.62014912154291,18.0846752256956
"2163",181000,1390000,3880,0,6.19930421281616,5.25609521064259,7.89608501693878
"2237",189000,1390000,3881,0,1.13912579753921,6.51461980101027,5.01182037833759
"2310",197000,1390000,3882,0,9.25008641758422,6.67399468527176,12.8037682881874
"2381",205000,1390000,3883,0,4.21164481016927,20.4395286593221,24.1139966087012
"2455",213000,1390000,3884,0,2.83792667554187,3.41069285942934,36.4764037970152
"2529",221000,1390000,3885,0,10.037077556385,3.81977108267501,15.2595938588765
