"","x","y","cell","points"
"323",141000,1486000,3375,28
"324",149000,1486000,3376,11
"325",157000,1486000,3378,1
"618",133000,1478000,3581,1
"619",141000,1478000,3582,74
"620",149000,1478000,3583,69
"621",157000,1478000,3585,12
"895",-19000,1470000,3557,19
"896",-11000,1470000,3558,33
"897",-3000,1470000,3560,21
"898",5000,1470000,3561,8
"914",133000,1470000,3581,10
"915",141000,1470000,3582,72
"916",149000,1470000,3583,53
"917",157000,1470000,3585,1
"1191",-19000,1462000,3764,31
"1192",-11000,1462000,3765,74
"1193",-3000,1462000,3767,74
"1194",5000,1462000,3768,74
"1195",13000,1462000,3769,70
"1196",21000,1462000,3770,48
"1197",29000,1462000,3772,33
"1198",37000,1462000,3773,26
"1199",45000,1462000,3774,19
"1200",53000,1462000,3775,5
"1210",133000,1462000,3788,3
"1211",141000,1462000,3789,18
"1212",149000,1462000,3790,5
"1213",157000,1462000,3792,2
"1487",-19000,1454000,3971,24
"1488",-11000,1454000,3972,73
"1489",-3000,1454000,3974,74
"1490",5000,1454000,3975,73
"1491",13000,1454000,3976,70
"1492",21000,1454000,3977,56
"1493",29000,1454000,3979,63
"1494",37000,1454000,3980,67
"1495",45000,1454000,3981,40
"1496",53000,1454000,3982,32
"1497",61000,1454000,3984,33
"1498",69000,1454000,3985,53
"1499",77000,1454000,3986,36
"1500",85000,1454000,3987,27
"1501",93000,1454000,3989,18
"1502",101000,1454000,3990,5
"1783",-19000,1446000,4178,14
"1784",-11000,1446000,4179,74
"1785",-3000,1446000,4181,76
"1786",5000,1446000,4182,74
"1787",13000,1446000,4183,71
"1788",21000,1446000,4184,58
"1789",29000,1446000,4186,54
"1790",37000,1446000,4187,75
"1791",45000,1446000,4188,27
"1792",53000,1446000,4189,29
"1793",61000,1446000,4191,51
"1794",69000,1446000,4192,71
"1795",77000,1446000,4193,54
"1796",85000,1446000,4194,32
"1797",93000,1446000,4196,47
"1798",101000,1446000,4197,69
"1799",109000,1446000,4198,57
"1800",117000,1446000,4199,42
"2079",-19000,1438000,4385,4
"2080",-11000,1438000,4386,73
"2081",-3000,1438000,4388,72
"2082",5000,1438000,4389,76
"2083",13000,1438000,4390,73
"2084",21000,1438000,4391,55
"2085",29000,1438000,4393,66
"2086",37000,1438000,4394,35
"2087",45000,1438000,4395,41
"2088",53000,1438000,4396,70
"2089",61000,1438000,4398,50
"2090",69000,1438000,4399,76
"2091",77000,1438000,4400,74
"2092",85000,1438000,4401,59
"2093",93000,1438000,4403,23
"2094",101000,1438000,4404,68
"2095",109000,1438000,4405,61
"2096",117000,1438000,4406,60
"2097",125000,1438000,4408,5
"2098",133000,1438000,4409,16
"2099",141000,1438000,4410,62
"2100",149000,1438000,4411,24
"2375",-19000,1430000,4592,11
"2376",-11000,1430000,4593,75
"2377",-3000,1430000,4595,72
"2378",5000,1430000,4596,67
"2379",13000,1430000,4597,72
"2380",21000,1430000,4598,71
"2381",29000,1430000,4600,56
"2382",37000,1430000,4601,59
"2383",45000,1430000,4602,74
"2384",53000,1430000,4603,76
"2385",61000,1430000,4605,62
"2386",69000,1430000,4606,73
"2387",77000,1430000,4607,74
"2388",85000,1430000,4608,67
"2389",93000,1430000,4610,49
"2390",101000,1430000,4611,75
"2391",109000,1430000,4612,64
"2392",117000,1430000,4613,62
"2393",125000,1430000,4615,74
"2394",133000,1430000,4616,78
"2395",141000,1430000,4617,75
"2396",149000,1430000,4618,51
"2397",157000,1430000,4620,5
"2671",-19000,1422000,4799,54
"2672",-11000,1422000,4800,65
"2673",-3000,1422000,4802,68
"2674",5000,1422000,4803,74
"2675",13000,1422000,4804,70
"2676",21000,1422000,4805,60
"2677",29000,1422000,4807,63
"2678",37000,1422000,4808,77
"2679",45000,1422000,4809,67
"2680",53000,1422000,4810,64
"2681",61000,1422000,4812,63
"2682",69000,1422000,4813,67
"2683",77000,1422000,4814,70
"2684",85000,1422000,4815,67
"2685",93000,1422000,4817,73
"2686",101000,1422000,4818,70
"2687",109000,1422000,4819,67
"2688",117000,1422000,4820,68
"2689",125000,1422000,4822,75
"2690",133000,1422000,4823,78
