"","x","y","cell","points"
"2691",141000,1422000,4824,73
"2692",149000,1422000,4825,71
"2693",157000,1422000,4827,69
"2694",165000,1422000,4828,7
"2967",-19000,1414000,5006,53
"2968",-11000,1414000,5007,20
"2969",-3000,1414000,5009,58
"2970",5000,1414000,5010,78
"2971",13000,1414000,5011,73
"2972",21000,1414000,5012,49
"2973",29000,1414000,5014,54
"2974",37000,1414000,5015,76
"2975",45000,1414000,5016,73
"2976",53000,1414000,5017,73
"2977",61000,1414000,5019,69
"2978",69000,1414000,5020,67
"2979",77000,1414000,5021,68
"2980",85000,1414000,5022,74
"2981",93000,1414000,5024,72
"2982",101000,1414000,5025,75
"2983",109000,1414000,5026,63
"2984",117000,1414000,5027,64
"2985",125000,1414000,5029,49
"2986",133000,1414000,5030,63
"2987",141000,1414000,5031,67
"2988",149000,1414000,5032,84
"2989",157000,1414000,5034,72
"2990",165000,1414000,5035,28
"3262",-27000,1406000,5005,2
"3263",-19000,1406000,5006,49
"3264",-11000,1406000,5007,72
"3265",-3000,1406000,5009,74
"3266",5000,1406000,5010,74
"3267",13000,1406000,5011,75
"3268",21000,1406000,5012,70
"3269",29000,1406000,5014,71
"3270",37000,1406000,5015,67
"3271",45000,1406000,5016,67
"3272",53000,1406000,5017,79
"3273",61000,1406000,5019,72
"3274",69000,1406000,5020,67
"3275",77000,1406000,5021,66
"3276",85000,1406000,5022,75
"3277",93000,1406000,5024,74
"3278",101000,1406000,5025,74
"3279",109000,1406000,5026,76
"3280",117000,1406000,5027,71
"3281",125000,1406000,5029,67
"3282",133000,1406000,5030,71
"3283",141000,1406000,5031,72
"3284",149000,1406000,5032,74
"3285",157000,1406000,5034,73
"3286",165000,1406000,5035,64
"3287",173000,1406000,5036,45
"3288",181000,1406000,5037,39
"3289",189000,1406000,5039,21
"3558",-27000,1398000,5212,4
"3559",-19000,1398000,5213,64
"3560",-11000,1398000,5214,55
"3561",-3000,1398000,5216,72
"3562",5000,1398000,5217,73
"3563",13000,1398000,5218,72
"3564",21000,1398000,5219,70
"3565",29000,1398000,5221,70
"3566",37000,1398000,5222,66
"3567",45000,1398000,5223,71
"3568",53000,1398000,5224,72
"3569",61000,1398000,5226,69
"3570",69000,1398000,5227,40
"3571",77000,1398000,5228,64
"3572",85000,1398000,5229,78
"3573",93000,1398000,5231,77
"3574",101000,1398000,5232,72
"3575",109000,1398000,5233,78
"3576",117000,1398000,5234,73
"3577",125000,1398000,5236,75
"3578",133000,1398000,5237,72
"3579",141000,1398000,5238,74
"3580",149000,1398000,5239,73
"3581",157000,1398000,5241,73
"3582",165000,1398000,5242,72
"3583",173000,1398000,5243,73
"3584",181000,1398000,5244,78
"3585",189000,1398000,5246,65
"3586",197000,1398000,5247,30
"3587",205000,1398000,5248,19
"3588",213000,1398000,5249,3
"3854",-27000,1390000,5419,10
"3855",-19000,1390000,5420,73
"3856",-11000,1390000,5421,73
"3857",-3000,1390000,5423,73
"3858",5000,1390000,5424,72
"3859",13000,1390000,5425,71
"3860",21000,1390000,5426,70
"3861",29000,1390000,5428,69
"3862",37000,1390000,5429,72
"3863",45000,1390000,5430,65
"3864",53000,1390000,5431,50
"3865",61000,1390000,5433,37
"3866",69000,1390000,5434,68
"3867",77000,1390000,5435,71
"3868",85000,1390000,5436,68
"3869",93000,1390000,5438,68
"3870",101000,1390000,5439,72
"3871",109000,1390000,5440,72
"3872",117000,1390000,5441,77
"3873",125000,1390000,5443,73
"3874",133000,1390000,5444,74
"3875",141000,1390000,5445,75
"3876",149000,1390000,5446,70
"3877",157000,1390000,5448,72
"3878",165000,1390000,5449,74
"3879",173000,1390000,5450,76
"3880",181000,1390000,5451,80
"3881",189000,1390000,5453,76
"3882",197000,1390000,5454,73
"3883",205000,1390000,5455,75
"3884",213000,1390000,5456,71
"3885",221000,1390000,5457,41
"4150",-27000,1382000,5626,29
"4151",-19000,1382000,5627,69
"4152",-11000,1382000,5628,72
"4153",-3000,1382000,5630,75
"4154",5000,1382000,5631,71
"4155",13000,1382000,5632,68
"4156",21000,1382000,5633,70
"4157",29000,1382000,5635,68
"4158",37000,1382000,5636,56
"4159",45000,1382000,5637,67
"4160",53000,1382000,5638,48
"4161",61000,1382000,5640,20
"4162",69000,1382000,5641,32
"4163",77000,1382000,5642,44
"4164",85000,1382000,5643,64
"4165",93000,1382000,5645,67
"4166",101000,1382000,5646,55
"4167",109000,1382000,5647,59
"4168",117000,1382000,5648,74
"4169",125000,1382000,5650,69
"4170",133000,1382000,5651,73
"4171",141000,1382000,5652,76
"4172",149000,1382000,5653,75
"4173",157000,1382000,5655,74
"4174",165000,1382000,5656,75
"4175",173000,1382000,5657,81
"4176",181000,1382000,5658,74
"4177",189000,1382000,5660,73
"4178",197000,1382000,5661,74
"4179",205000,1382000,5662,74
"4180",213000,1382000,5663,73
"4181",221000,1382000,5664,57
"4182",229000,1382000,5666,3
"4183",237000,1382000,5667,3
"4184",245000,1382000,5668,7
"4185",253000,1382000,5669,73
"4186",261000,1382000,5671,67
"4187",269000,1382000,5672,41
"4188",277000,1382000,5673,47
"4189",285000,1382000,5674,16
"4446",-27000,1374000,5833,29
"4447",-19000,1374000,5834,57
"4448",-11000,1374000,5835,60
"4449",-3000,1374000,5837,76
"4450",5000,1374000,5838,71
"4451",13000,1374000,5839,73
"4452",21000,1374000,5840,73
"4453",29000,1374000,5842,65
"4454",37000,1374000,5843,62
"4455",45000,1374000,5844,62
"4456",53000,1374000,5845,23
"4457",61000,1374000,5847,3
"4458",69000,1374000,5848,21
"4459",77000,1374000,5849,49
"4460",85000,1374000,5850,52
"4461",93000,1374000,5852,69
"4462",101000,1374000,5853,33
"4463",109000,1374000,5854,47
"4464",117000,1374000,5855,71
"4465",125000,1374000,5857,76
"4466",133000,1374000,5858,77
"4467",141000,1374000,5859,75
"4468",149000,1374000,5860,72
"4469",157000,1374000,5862,58
"4470",165000,1374000,5863,64
"4471",173000,1374000,5864,80
"4472",181000,1374000,5865,73
"4473",189000,1374000,5867,72
"4474",197000,1374000,5868,73
"4475",205000,1374000,5869,75
"4476",213000,1374000,5870,71
"4477",221000,1374000,5871,78
"4478",229000,1374000,5873,73
"4479",237000,1374000,5874,70
"4480",245000,1374000,5875,75
"4481",253000,1374000,5876,74
"4482",261000,1374000,5878,68
"4483",269000,1374000,5879,68
"4484",277000,1374000,5880,65
"4485",285000,1374000,5881,65
"4486",293000,1374000,5883,31
"4487",301000,1374000,5884,8
"4488",309000,1374000,5885,2
"4743",-19000,1366000,6041,46
"4744",-11000,1366000,6042,72
"4745",-3000,1366000,6044,73
"4746",5000,1366000,6045,74
"4747",13000,1366000,6046,72
"4748",21000,1366000,6047,72
"4749",29000,1366000,6049,61
"4750",37000,1366000,6050,69
"4751",45000,1366000,6051,70
"4752",53000,1366000,6052,61
"4753",61000,1366000,6054,68
"4754",69000,1366000,6055,57
"4755",77000,1366000,6056,58
"4756",85000,1366000,6057,46
"4757",93000,1366000,6059,70
"4758",101000,1366000,6060,34
"4759",109000,1366000,6061,64
"4760",117000,1366000,6062,75
"4761",125000,1366000,6064,61
"4762",133000,1366000,6065,55
"4763",141000,1366000,6066,59
"4764",149000,1366000,6067,58
"4765",157000,1366000,6069,47
"4766",165000,1366000,6070,47
"4767",173000,1366000,6071,57
"4768",181000,1366000,6072,72
"4769",189000,1366000,6074,74
"4770",197000,1366000,6075,71
"4771",205000,1366000,6076,71
"4772",213000,1366000,6077,72
"4773",221000,1366000,6078,74
"4774",229000,1366000,6080,76
"4775",237000,1366000,6081,71
"4776",245000,1366000,6082,75
"4777",253000,1366000,6083,76
"4778",261000,1366000,6085,77
"4779",269000,1366000,6086,72
"4780",277000,1366000,6087,42
"4781",285000,1366000,6088,35
"4782",293000,1366000,6090,67
"4783",301000,1366000,6091,50
"4784",309000,1366000,6092,12
"5038",-27000,1358000,6247,15
"5039",-19000,1358000,6248,73
"5040",-11000,1358000,6249,74
"5041",-3000,1358000,6251,73
"5042",5000,1358000,6252,75
"5043",13000,1358000,6253,73
"5044",21000,1358000,6254,74
"5045",29000,1358000,6256,67
"5046",37000,1358000,6257,73
"5047",45000,1358000,6258,61
"5048",53000,1358000,6259,69
"5049",61000,1358000,6261,68
"5050",69000,1358000,6262,72
"5051",77000,1358000,6263,72
"5052",85000,1358000,6264,76
"5053",93000,1358000,6266,70
"5054",101000,1358000,6267,52
"5055",109000,1358000,6268,66
"5056",117000,1358000,6269,74
"5057",125000,1358000,6271,72
"5058",133000,1358000,6272,75
"5059",141000,1358000,6273,61
"5060",149000,1358000,6274,70
"5061",157000,1358000,6276,47
"5062",165000,1358000,6277,61
"5063",173000,1358000,6278,79
"5064",181000,1358000,6279,75
"5065",189000,1358000,6281,73
"5066",197000,1358000,6282,76
"5067",205000,1358000,6283,75
"5068",213000,1358000,6284,74
"5069",221000,1358000,6285,80
"5070",229000,1358000,6287,75
"5071",237000,1358000,6288,74
"5072",245000,1358000,6289,72
"5073",253000,1358000,6290,72
"5074",261000,1358000,6292,73
"5075",269000,1358000,6293,78
"5076",277000,1358000,6294,87
"5077",285000,1358000,6295,67
"5078",293000,1358000,6297,75
"5079",301000,1358000,6298,66
"5080",309000,1358000,6299,37
"5081",317000,1358000,6300,20
"5334",-27000,1350000,6247,8
"5335",-19000,1350000,6248,73
"5336",-11000,1350000,6249,76
"5337",-3000,1350000,6251,74
"5338",5000,1350000,6252,72
"5339",13000,1350000,6253,74
"5340",21000,1350000,6254,77
"5341",29000,1350000,6256,72
"5342",37000,1350000,6257,72
"5343",45000,1350000,6258,71
"5344",53000,1350000,6259,56
"5345",61000,1350000,6261,58
"5346",69000,1350000,6262,53
"5347",77000,1350000,6263,51
"5348",85000,1350000,6264,60
"5349",93000,1350000,6266,58
"5350",101000,1350000,6267,44
"5351",109000,1350000,6268,74
"5352",117000,1350000,6269,74
"5353",125000,1350000,6271,59
"5354",133000,1350000,6272,23
"5355",141000,1350000,6273,6
"5357",157000,1350000,6276,11
"5358",165000,1350000,6277,37
"5359",173000,1350000,6278,67
"5360",181000,1350000,6279,71
"5361",189000,1350000,6281,75
"5362",197000,1350000,6282,73
"5363",205000,1350000,6283,75
"5364",213000,1350000,6284,75
"5365",221000,1350000,6285,81
"5366",229000,1350000,6287,66
"5367",237000,1350000,6288,75
"5368",245000,1350000,6289,72
"5369",253000,1350000,6290,72
"5370",261000,1350000,6292,74
"5371",269000,1350000,6293,79
"5372",277000,1350000,6294,75
"5373",285000,1350000,6295,71
"5374",293000,1350000,6297,82
"5375",301000,1350000,6298,73
"5376",309000,1350000,6299,66
"5377",317000,1350000,6300,35
"5379",333000,1350000,6303,1
"5380",341000,1350000,6304,2
"5630",-27000,1342000,6454,2
"5631",-19000,1342000,6455,68
"5632",-11000,1342000,6456,73
"5633",-3000,1342000,6458,75
"5634",5000,1342000,6459,73
"5635",13000,1342000,6460,79
"5636",21000,1342000,6461,74
"5637",29000,1342000,6463,74
"5638",37000,1342000,6464,81
"5639",45000,1342000,6465,67
"5640",53000,1342000,6466,75
"5641",61000,1342000,6468,77
"5642",69000,1342000,6469,79
"5643",77000,1342000,6470,64
"5644",85000,1342000,6471,48
"5645",93000,1342000,6473,46
"5646",101000,1342000,6474,39
"5647",109000,1342000,6475,65
"5648",117000,1342000,6476,36
"5649",125000,1342000,6478,19
"5650",133000,1342000,6479,22
"5651",141000,1342000,6480,10
"5652",149000,1342000,6481,4
"5653",157000,1342000,6483,17
"5654",165000,1342000,6484,65
"5655",173000,1342000,6485,78
"5656",181000,1342000,6486,74
"5657",189000,1342000,6488,76
"5658",197000,1342000,6489,74
"5659",205000,1342000,6490,73
"5660",213000,1342000,6491,70
"5661",221000,1342000,6492,80
"5662",229000,1342000,6494,74
"5663",237000,1342000,6495,74
"5664",245000,1342000,6496,75
"5665",253000,1342000,6497,79
"5666",261000,1342000,6499,78
"5667",269000,1342000,6500,75
"5668",277000,1342000,6501,72
"5669",285000,1342000,6502,74
"5670",293000,1342000,6504,82
"5671",301000,1342000,6505,74
"5672",309000,1342000,6506,74
"5673",317000,1342000,6507,55
"5674",325000,1342000,6509,4
"5675",333000,1342000,6510,46
"5676",341000,1342000,6511,58
"5677",349000,1342000,6512,30
"5927",-19000,1334000,6662,59
"5928",-11000,1334000,6663,73
"5929",-3000,1334000,6665,73
"5930",5000,1334000,6666,76
"5931",13000,1334000,6667,72
"5932",21000,1334000,6668,72
"5933",29000,1334000,6670,69
"5934",37000,1334000,6671,74
"5935",45000,1334000,6672,65
"5936",53000,1334000,6673,58
"5937",61000,1334000,6675,68
"5938",69000,1334000,6676,69
"5939",77000,1334000,6677,84
"5940",85000,1334000,6678,54
"5941",93000,1334000,6680,50
"5942",101000,1334000,6681,43
"5943",109000,1334000,6682,14
"5946",133000,1334000,6686,19
"5947",141000,1334000,6687,38
"5948",149000,1334000,6688,71
"5949",157000,1334000,6690,73
"5950",165000,1334000,6691,81
"5951",173000,1334000,6692,79
"5952",181000,1334000,6693,72
"5953",189000,1334000,6695,74
"5954",197000,1334000,6696,73
"5955",205000,1334000,6697,74
"5956",213000,1334000,6698,71
"5957",221000,1334000,6699,75
"5958",229000,1334000,6701,73
"5959",237000,1334000,6702,73
"5960",245000,1334000,6703,72
"5961",253000,1334000,6704,69
"5962",261000,1334000,6706,75
"5963",269000,1334000,6707,70
"5964",277000,1334000,6708,73
"5965",285000,1334000,6709,73
"5966",293000,1334000,6711,75
"5967",301000,1334000,6712,72
"5968",309000,1334000,6713,76
"5969",317000,1334000,6714,70
"5970",325000,1334000,6716,50
"5971",333000,1334000,6717,60
"5972",341000,1334000,6718,66
"5973",349000,1334000,6719,54
"5974",357000,1334000,6721,13
"6223",-19000,1326000,6869,41
"6224",-11000,1326000,6870,73
"6225",-3000,1326000,6872,73
"6226",5000,1326000,6873,73
"6227",13000,1326000,6874,71
"6228",21000,1326000,6875,72
"6229",29000,1326000,6877,69
"6230",37000,1326000,6878,66
"6231",45000,1326000,6879,71
"6232",53000,1326000,6880,71
"6233",61000,1326000,6882,73
"6234",69000,1326000,6883,71
"6235",77000,1326000,6884,57
"6236",85000,1326000,6885,36
"6237",93000,1326000,6887,35
"6238",101000,1326000,6888,73
"6239",109000,1326000,6889,13
"6243",141000,1326000,6894,4
"6244",149000,1326000,6895,71
"6245",157000,1326000,6897,71
"6246",165000,1326000,6898,72
"6247",173000,1326000,6899,81
"6248",181000,1326000,6900,77
"6249",189000,1326000,6902,74
"6250",197000,1326000,6903,77
"6251",205000,1326000,6904,74
"6252",213000,1326000,6905,71
"6253",221000,1326000,6906,82
"6254",229000,1326000,6908,76
"6255",237000,1326000,6909,79
"6256",245000,1326000,6910,72
"6257",253000,1326000,6911,72
"6258",261000,1326000,6913,72
"6259",269000,1326000,6914,50
"6260",277000,1326000,6915,73
"6261",285000,1326000,6916,68
"6262",293000,1326000,6918,71
"6263",301000,1326000,6919,72
"6264",309000,1326000,6920,74
"6265",317000,1326000,6921,74
"6266",325000,1326000,6923,70
"6267",333000,1326000,6924,73
"6268",341000,1326000,6925,74
"6269",349000,1326000,6926,68
"6270",357000,1326000,6928,64
"6271",365000,1326000,6929,37
"6272",373000,1326000,6930,10
"6279",429000,1326000,6939,1
"6280",437000,1326000,6940,8
"6519",-19000,1318000,7076,26
"6520",-11000,1318000,7077,63
"6521",-3000,1318000,7079,68
"6522",5000,1318000,7080,71
"6523",13000,1318000,7081,72
"6524",21000,1318000,7082,67
"6525",29000,1318000,7084,62
"6526",37000,1318000,7085,71
"6527",45000,1318000,7086,75
"6528",53000,1318000,7087,74
"6529",61000,1318000,7089,72
"6530",69000,1318000,7090,58
"6531",77000,1318000,7091,55
"6532",85000,1318000,7092,59
"6533",93000,1318000,7094,66
"6534",101000,1318000,7095,71
"6535",109000,1318000,7096,70
"6536",117000,1318000,7097,64
"6537",125000,1318000,7099,65
"6538",133000,1318000,7100,61
"6539",141000,1318000,7101,57
"6540",149000,1318000,7102,74
"6541",157000,1318000,7104,75
"6542",165000,1318000,7105,74
"6543",173000,1318000,7106,74
"6544",181000,1318000,7107,76
"6545",189000,1318000,7109,74
"6546",197000,1318000,7110,73
"6547",205000,1318000,7111,73
"6548",213000,1318000,7112,76
"6549",221000,1318000,7113,78
"6550",229000,1318000,7115,72
"6551",237000,1318000,7116,70
"6552",245000,1318000,7117,71
"6553",253000,1318000,7118,73
"6554",261000,1318000,7120,79
"6555",269000,1318000,7121,78
"6556",277000,1318000,7122,63
"6557",285000,1318000,7123,44
"6558",293000,1318000,7125,71
"6559",301000,1318000,7126,71
"6560",309000,1318000,7127,73
"6561",317000,1318000,7128,73
"6562",325000,1318000,7130,71
"6563",333000,1318000,7131,76
"6564",341000,1318000,7132,74
"6565",349000,1318000,7133,69
"6566",357000,1318000,7135,72
"6567",365000,1318000,7136,70
"6568",373000,1318000,7137,33
"6569",381000,1318000,7138,1
"6573",413000,1318000,7143,10
"6574",421000,1318000,7145,45
"6575",429000,1318000,7146,52
"6576",437000,1318000,7147,30
"6815",-19000,1310000,7283,21
"6816",-11000,1310000,7284,49
"6817",-3000,1310000,7286,37
"6818",5000,1310000,7287,70
"6819",13000,1310000,7288,76
"6820",21000,1310000,7289,69
"6821",29000,1310000,7291,60
"6822",37000,1310000,7292,61
"6823",45000,1310000,7293,57
"6824",53000,1310000,7294,64
"6825",61000,1310000,7296,63
"6826",69000,1310000,7297,71
"6827",77000,1310000,7298,75
"6828",85000,1310000,7299,65
"6829",93000,1310000,7301,71
"6830",101000,1310000,7302,70
"6831",109000,1310000,7303,68
"6832",117000,1310000,7304,65
"6833",125000,1310000,7306,67
"6834",133000,1310000,7307,72
"6835",141000,1310000,7308,73
"6836",149000,1310000,7309,73
"6837",157000,1310000,7311,72
"6838",165000,1310000,7312,79
"6839",173000,1310000,7313,62
"6840",181000,1310000,7314,53
"6841",189000,1310000,7316,76
"6842",197000,1310000,7317,78
"6843",205000,1310000,7318,74
"6844",213000,1310000,7319,91
"6845",221000,1310000,7320,78
"6846",229000,1310000,7322,76
"6847",237000,1310000,7323,75
"6848",245000,1310000,7324,82
"6849",253000,1310000,7325,71
"6850",261000,1310000,7327,76
"6851",269000,1310000,7328,86
"6852",277000,1310000,7329,74
"6853",285000,1310000,7330,67
"6854",293000,1310000,7332,70
"6855",301000,1310000,7333,63
"6856",309000,1310000,7334,74
"6857",317000,1310000,7335,72
"6858",325000,1310000,7337,68
"6859",333000,1310000,7338,74
"6860",341000,1310000,7339,67
"6861",349000,1310000,7340,59
"6862",357000,1310000,7342,69
"6863",365000,1310000,7343,58
"6864",373000,1310000,7344,45
"6865",381000,1310000,7345,23
"6866",389000,1310000,7347,19
"6867",397000,1310000,7348,23
"6868",405000,1310000,7349,22
"6869",413000,1310000,7350,48
"6870",421000,1310000,7352,64
"6871",429000,1310000,7353,56
"6872",437000,1310000,7354,69
"6873",445000,1310000,7355,3
"6874",453000,1310000,7357,10
"7111",-19000,1302000,7490,29
"7112",-11000,1302000,7491,59
"7113",-3000,1302000,7493,38
"7114",5000,1302000,7494,57
"7115",13000,1302000,7495,69
"7116",21000,1302000,7496,73
"7117",29000,1302000,7498,69
"7118",37000,1302000,7499,64
"7119",45000,1302000,7500,61
"7120",53000,1302000,7501,65
"7121",61000,1302000,7503,71
"7122",69000,1302000,7504,61
"7123",77000,1302000,7505,83
"7124",85000,1302000,7506,70
"7125",93000,1302000,7508,63
"7126",101000,1302000,7509,68
"7127",109000,1302000,7510,83
"7128",117000,1302000,7511,74
"7129",125000,1302000,7513,57
"7130",133000,1302000,7514,65
"7131",141000,1302000,7515,74
"7132",149000,1302000,7516,64
"7133",157000,1302000,7518,72
"7134",165000,1302000,7519,79
"7135",173000,1302000,7520,75
"7136",181000,1302000,7521,75
"7137",189000,1302000,7523,74
"7138",197000,1302000,7524,72
"7139",205000,1302000,7525,75
"7140",213000,1302000,7526,89
"7141",221000,1302000,7527,74
"7142",229000,1302000,7529,65
"7143",237000,1302000,7530,61
"7144",245000,1302000,7531,67
"7145",253000,1302000,7532,74
"7146",261000,1302000,7534,78
"7147",269000,1302000,7535,77
"7148",277000,1302000,7536,69
"7149",285000,1302000,7537,73
"7150",293000,1302000,7539,74
"7151",301000,1302000,7540,70
"7152",309000,1302000,7541,73
"7153",317000,1302000,7542,62
"7154",325000,1302000,7544,47
"7155",333000,1302000,7545,66
"7156",341000,1302000,7546,66
"7157",349000,1302000,7547,62
"7158",357000,1302000,7549,65
"7159",365000,1302000,7550,77
"7160",373000,1302000,7551,70
"7161",381000,1302000,7552,63
"7162",389000,1302000,7554,60
"7163",397000,1302000,7555,65
"7164",405000,1302000,7556,59
"7165",413000,1302000,7557,63
"7166",421000,1302000,7559,61
"7167",429000,1302000,7560,61
"7168",437000,1302000,7561,68
"7169",445000,1302000,7562,62
"7170",453000,1302000,7564,64
"7171",461000,1302000,7565,57
"7172",469000,1302000,7566,54
"7173",477000,1302000,7567,50
"7174",485000,1302000,7569,42
"7175",493000,1302000,7570,33
"7407",-19000,1294000,7697,31
"7408",-11000,1294000,7698,60
"7409",-3000,1294000,7700,10
"7410",5000,1294000,7701,73
"7411",13000,1294000,7702,78
"7412",21000,1294000,7703,80
"7413",29000,1294000,7705,75
"7414",37000,1294000,7706,71
"7415",45000,1294000,7707,68
"7416",53000,1294000,7708,72
"7417",61000,1294000,7710,66
"7418",69000,1294000,7711,63
"7419",77000,1294000,7712,77
"7420",85000,1294000,7713,58
"7421",93000,1294000,7715,72
"7422",101000,1294000,7716,69
"7423",109000,1294000,7717,74
"7424",117000,1294000,7718,70
"7425",125000,1294000,7720,65
"7426",133000,1294000,7721,55
"7427",141000,1294000,7722,63
"7428",149000,1294000,7723,69
"7429",157000,1294000,7725,71
"7430",165000,1294000,7726,79
"7431",173000,1294000,7727,75
"7432",181000,1294000,7728,73
"7433",189000,1294000,7730,75
"7434",197000,1294000,7731,67
"7435",205000,1294000,7732,70
"7436",213000,1294000,7733,83
"7437",221000,1294000,7734,81
"7438",229000,1294000,7736,72
"7439",237000,1294000,7737,68
"7440",245000,1294000,7738,73
"7441",253000,1294000,7739,74
"7442",261000,1294000,7741,78
"7443",269000,1294000,7742,78
"7444",277000,1294000,7743,63
"7445",285000,1294000,7744,70
"7446",293000,1294000,7746,72
"7447",301000,1294000,7747,74
"7448",309000,1294000,7748,69
"7449",317000,1294000,7749,46
"7450",325000,1294000,7751,32
"7451",333000,1294000,7752,59
"7452",341000,1294000,7753,70
"7453",349000,1294000,7754,69
"7454",357000,1294000,7756,74
"7455",365000,1294000,7757,69
"7456",373000,1294000,7758,69
"7457",381000,1294000,7759,60
"7458",389000,1294000,7761,65
"7459",397000,1294000,7762,69
"7460",405000,1294000,7763,72
"7461",413000,1294000,7764,65
"7462",421000,1294000,7766,71
"7463",429000,1294000,7767,64
"7464",437000,1294000,7768,61
"7465",445000,1294000,7769,60
"7466",453000,1294000,7771,60
"7467",461000,1294000,7772,65
"7468",469000,1294000,7773,68
"7469",477000,1294000,7774,72
"7470",485000,1294000,7776,58
"7471",493000,1294000,7777,65
"7472",501000,1294000,7778,24
"7473",509000,1294000,7779,7
"7474",517000,1294000,7781,15
"7475",525000,1294000,7782,4
"7703",-19000,1286000,7697,32
"7704",-11000,1286000,7698,47
"7705",-3000,1286000,7700,56
"7706",5000,1286000,7701,72
"7707",13000,1286000,7702,73
"7708",21000,1286000,7703,74
"7709",29000,1286000,7705,71
"7710",37000,1286000,7706,71
"7711",45000,1286000,7707,70
"7712",53000,1286000,7708,72
"7713",61000,1286000,7710,66
"7714",69000,1286000,7711,72
"7715",77000,1286000,7712,74
"7716",85000,1286000,7713,72
"7717",93000,1286000,7715,70
"7718",101000,1286000,7716,77
