"x","y","cell","Grass","TBDT","TNDT","TNET"
141000,1486000,323,0,0.422159107020114,0.861491380946035,1.04714761685679
149000,1486000,324,0,2.90705954191755,0.627357685803782,9.36415803853197
157000,1486000,325,0,0.188260058526159,0,0.188260058526159
133000,1478000,618,0,0,0.198711219010879,0.198711219010879
141000,1478000,619,0,1.47095374770374,4.63259782397227,2.68842934356813
149000,1478000,620,0,4.67556279683031,6.1342753852499,9.02402984220337
157000,1478000,621,0,2.53775367888807,0.0511059156251201,0.63107237966277
-19000,1470000,895,0,0.207402488155523,0,0
-11000,1470000,896,0,0,0,0
-3000,1470000,897,0,0,0,0
5000,1470000,898,0,0,0,0
133000,1470000,914,0,1.59013249924066,5.74456214422968,2.0552699338303
141000,1470000,915,0,0.519732500709445,3.35708406707257,2.94242288185351
149000,1470000,916,0,1.17454566170934,4.62385589194562,2.21587339181869
157000,1470000,917,0,1.00091035533254,0,0
-19000,1462000,1191,0,0.25829676189386,0,0
-11000,1462000,1192,0,0,0,0
-3000,1462000,1193,0,0,0,0
5000,1462000,1194,0,0.178048653058357,0,0
13000,1462000,1195,0,0.712080077610649,0,0
21000,1462000,1196,0,0.868829703897197,0,0
29000,1462000,1197,0,2.207247642198,1.81512382316787,0
37000,1462000,1198,0,0.0647752767875118,0,0.0568702214232081
45000,1462000,1199,0,0.497774526779971,0.02697581290316,0.0171198108577475
53000,1462000,1200,0,0.402431111701196,0.13040718585418,0
133000,1462000,1210,0,0.316058647296606,0,0
141000,1462000,1211,0,3.14314779767133,10.9683145622446,0.82004045891678
149000,1462000,1212,0,2.59045627415744,1.65414280841798,2.74416678034026
157000,1462000,1213,0,9.52835261346937,0,0
-19000,1454000,1487,0,0.331744608745945,0,0
-11000,1454000,1488,0,0,0,0
-3000,1454000,1489,0,0.186919017388322,0,0
5000,1454000,1490,0,0.000886012551961811,0,0
13000,1454000,1491,0,2.09273026663912,0,0
21000,1454000,1492,0,4.64360359208192,0,0
29000,1454000,1493,0,0.129299835019679,0,0
37000,1454000,1494,0,0,0,0
45000,1454000,1495,0,0.489646909325477,3.54942166706316,0
53000,1454000,1496,0,0,0.30168219034579,0
61000,1454000,1497,0,0,1.46889794014464,0.136572274689772
69000,1454000,1498,0,4.01035840305035,2.81192932059432,3.92307916120924
77000,1454000,1499,0,0.668397497822559,2.64192919967052,0.508879075989852
85000,1454000,1500,0,0.00871749004474366,4.16648110900327,0.288454362168009
93000,1454000,1501,0,0.128983282240926,4.89339305403678,0.325852884766267
101000,1454000,1502,0,4.1334041660597,2.8026536732208,0.365304523779731
-19000,1446000,1783,0,0.412934587484186,0,0
