"x","y","cell","plots"
93000,1390000,3869,65
101000,1390000,3870,71
109000,1390000,3871,72
117000,1390000,3872,77
125000,1390000,3873,69
133000,1390000,3874,74
141000,1390000,3875,72
149000,1390000,3876,67
157000,1390000,3877,71
165000,1390000,3878,74
173000,1390000,3879,75
181000,1390000,3880,80
189000,1390000,3881,76
197000,1390000,3882,73
205000,1390000,3883,75
213000,1390000,3884,70
221000,1390000,3885,41
-27000,1382000,4150,29
-19000,1382000,4151,69
-11000,1382000,4152,72
-3000,1382000,4153,75
5000,1382000,4154,71
13000,1382000,4155,68
21000,1382000,4156,70
29000,1382000,4157,68
37000,1382000,4158,56
45000,1382000,4159,67
53000,1382000,4160,48
61000,1382000,4161,20
69000,1382000,4162,32
77000,1382000,4163,44
85000,1382000,4164,64
93000,1382000,4165,66
101000,1382000,4166,54
109000,1382000,4167,59
117000,1382000,4168,74
125000,1382000,4169,67
133000,1382000,4170,72
141000,1382000,4171,74
149000,1382000,4172,73
157000,1382000,4173,71
165000,1382000,4174,72
173000,1382000,4175,80
181000,1382000,4176,74
189000,1382000,4177,71
197000,1382000,4178,74
205000,1382000,4179,73
213000,1382000,4180,73
221000,1382000,4181,57
229000,1382000,4182,3
237000,1382000,4183,3
245000,1382000,4184,7
253000,1382000,4185,72
261000,1382000,4186,67
269000,1382000,4187,41
277000,1382000,4188,44
285000,1382000,4189,15
-27000,1374000,4446,28
-19000,1374000,4447,57
-11000,1374000,4448,60
-3000,1374000,4449,76
5000,1374000,4450,71
13000,1374000,4451,73
21000,1374000,4452,73
29000,1374000,4453,65
37000,1374000,4454,62
45000,1374000,4455,60
53000,1374000,4456,22
61000,1374000,4457,3
69000,1374000,4458,21
77000,1374000,4459,49
85000,1374000,4460,52
93000,1374000,4461,69
101000,1374000,4462,33
109000,1374000,4463,45
117000,1374000,4464,69
125000,1374000,4465,72
133000,1374000,4466,72
141000,1374000,4467,73
149000,1374000,4468,70
157000,1374000,4469,58
165000,1374000,4470,64
173000,1374000,4471,80
181000,1374000,4472,70
189000,1374000,4473,72
197000,1374000,4474,73
205000,1374000,4475,73
213000,1374000,4476,71
221000,1374000,4477,78
229000,1374000,4478,73
237000,1374000,4479,69
245000,1374000,4480,74
253000,1374000,4481,71
261000,1374000,4482,67
269000,1374000,4483,68
277000,1374000,4484,61
285000,1374000,4485,65
293000,1374000,4486,31
301000,1374000,4487,7
309000,1374000,4488,2
-19000,1366000,4743,46
-11000,1366000,4744,72
-3000,1366000,4745,73
5000,1366000,4746,74
13000,1366000,4747,72
21000,1366000,4748,72
29000,1366000,4749,61
37000,1366000,4750,69
45000,1366000,4751,67
53000,1366000,4752,61
61000,1366000,4753,68
69000,1366000,4754,57
77000,1366000,4755,58
85000,1366000,4756,45
93000,1366000,4757,70
101000,1366000,4758,34
109000,1366000,4759,61
117000,1366000,4760,71
125000,1366000,4761,57
133000,1366000,4762,54
141000,1366000,4763,59
149000,1366000,4764,56
157000,1366000,4765,47
165000,1366000,4766,46
173000,1366000,4767,56
181000,1366000,4768,71
189000,1366000,4769,72
197000,1366000,4770,71
205000,1366000,4771,69
213000,1366000,4772,71
221000,1366000,4773,73
229000,1366000,4774,74
237000,1366000,4775,71
245000,1366000,4776,75
253000,1366000,4777,75
261000,1366000,4778,75
269000,1366000,4779,72
277000,1366000,4780,41
285000,1366000,4781,34
293000,1366000,4782,66
301000,1366000,4783,50
309000,1366000,4784,12
-27000,1358000,5038,14
-19000,1358000,5039,73
-11000,1358000,5040,74
-3000,1358000,5041,73
5000,1358000,5042,75
13000,1358000,5043,73
21000,1358000,5044,74
29000,1358000,5045,67
37000,1358000,5046,73
45000,1358000,5047,58
53000,1358000,5048,63
61000,1358000,5049,67
69000,1358000,5050,72
77000,1358000,5051,69
85000,1358000,5052,75
93000,1358000,5053,69
101000,1358000,5054,47
109000,1358000,5055,65
117000,1358000,5056,73
125000,1358000,5057,72
133000,1358000,5058,75
141000,1358000,5059,61
149000,1358000,5060,70
157000,1358000,5061,45
165000,1358000,5062,61
173000,1358000,5063,77
181000,1358000,5064,74
189000,1358000,5065,73
197000,1358000,5066,74
205000,1358000,5067,73
213000,1358000,5068,73
221000,1358000,5069,79
229000,1358000,5070,75
