"x","y","cell","tree","no tree"
141000,1486000,323,26,2
149000,1486000,324,9,2
157000,1486000,325,1,0
133000,1478000,618,1,0
141000,1478000,619,71,1
149000,1478000,620,68,1
157000,1478000,621,12,0
-19000,1470000,895,9,11
-11000,1470000,896,0,33
-3000,1470000,897,0,21
5000,1470000,898,0,8
133000,1470000,914,10,0
141000,1470000,915,69,0
149000,1470000,916,53,1
157000,1470000,917,1,0
-19000,1462000,1191,10,26
-11000,1462000,1192,0,74
-3000,1462000,1193,0,74
5000,1462000,1194,4,71
13000,1462000,1195,41,47
21000,1462000,1196,29,24
29000,1462000,1197,13,26
37000,1462000,1198,8,20
45000,1462000,1199,10,7
53000,1462000,1200,2,3
133000,1462000,1210,2,1
141000,1462000,1211,15,2
149000,1462000,1212,4,1
157000,1462000,1213,2,0
-19000,1454000,1487,4,18
-11000,1454000,1488,0,73
-3000,1454000,1489,3,70
5000,1454000,1490,3,72
13000,1454000,1491,37,40
21000,1454000,1492,24,40
29000,1454000,1493,6,57
37000,1454000,1494,0,67
45000,1454000,1495,9,30
53000,1454000,1496,10,21
61000,1454000,1497,19,15
69000,1454000,1498,19,28
77000,1454000,1499,23,9
85000,1454000,1500,27,1
93000,1454000,1501,17,1
101000,1454000,1502,4,1
-19000,1446000,1783,3,11
-11000,1446000,1784,5,70
-3000,1446000,1785,2,74
5000,1446000,1786,4,71
13000,1446000,1787,5,68
21000,1446000,1788,10,49
29000,1446000,1789,28,26
37000,1446000,1790,61,14
45000,1446000,1791,18,9
53000,1446000,1792,26,3
61000,1446000,1793,13,33
69000,1446000,1794,7,64
77000,1446000,1795,9,45
85000,1446000,1796,20,12
93000,1446000,1797,34,16
101000,1446000,1798,48,22
109000,1446000,1799,38,18
117000,1446000,1800,41,1
-19000,1438000,2079,0,4
-11000,1438000,2080,2,72
-3000,1438000,2081,2,70
5000,1438000,2082,11,65
13000,1438000,2083,15,58
21000,1438000,2084,11,44
29000,1438000,2085,40,27
37000,1438000,2086,33,2
45000,1438000,2087,41,0
53000,1438000,2088,51,19
61000,1438000,2089,6,44
69000,1438000,2090,10,66
77000,1438000,2091,9,64
85000,1438000,2092,6,53
93000,1438000,2093,7,14
101000,1438000,2094,62,5
109000,1438000,2095,46,14
117000,1438000,2096,45,14
125000,1438000,2097,2,3
133000,1438000,2098,15,1
141000,1438000,2099,62,1
149000,1438000,2100,24,0
-19000,1430000,2375,1,10
-11000,1430000,2376,1,74
-3000,1430000,2377,0,72
5000,1430000,2378,0,67
13000,1430000,2379,3,69
21000,1430000,2380,8,63
29000,1430000,2381,12,45
37000,1430000,2382,15,44
45000,1430000,2383,14,60
53000,1430000,2384,12,64
61000,1430000,2385,12,47
69000,1430000,2386,13,60
77000,1430000,2387,15,59
85000,1430000,2388,22,43
93000,1430000,2389,39,10
101000,1430000,2390,73,1
109000,1430000,2391,48,16
117000,1430000,2392,32,29
125000,1430000,2393,64,8
133000,1430000,2394,77,2
141000,1430000,2395,73,0
149000,1430000,2396,51,1
157000,1430000,2397,5,0
-19000,1422000,2671,7,49
-11000,1422000,2672,0,65
-3000,1422000,2673,0,68
5000,1422000,2674,0,74
13000,1422000,2675,3,65
21000,1422000,2676,8,49
29000,1422000,2677,30,33
37000,1422000,2678,35,42
45000,1422000,2679,44,23
53000,1422000,2680,30,33
61000,1422000,2681,11,50
69000,1422000,2682,10,56
77000,1422000,2683,19,50
85000,1422000,2684,30,35
93000,1422000,2685,57,15
101000,1422000,2686,58,10
109000,1422000,2687,38,27
117000,1422000,2688,28,36
125000,1422000,2689,73,2
133000,1422000,2690,75,0
141000,1422000,2691,70,0
149000,1422000,2692,70,0
157000,1422000,2693,66,0
165000,1422000,2694,6,0
-19000,1414000,2967,6,48
-11000,1414000,2968,0,20
-3000,1414000,2969,0,58
5000,1414000,2970,0,78
13000,1414000,2971,2,72
21000,1414000,2972,0,49
29000,1414000,2973,30,24
37000,1414000,2974,18,61
45000,1414000,2975,24,55
53000,1414000,2976,17,58
61000,1414000,2977,52,14
69000,1414000,2978,49,19
77000,1414000,2979,40,25
85000,1414000,2980,49,23
93000,1414000,2981,66,7
101000,1414000,2982,68,4
109000,1414000,2983,49,7
117000,1414000,2984,60,4
125000,1414000,2985,46,7
133000,1414000,2986,61,3
141000,1414000,2987,64,0
149000,1414000,2988,80,4
157000,1414000,2989,70,2
165000,1414000,2990,26,0
-27000,1406000,3262,2,0
-19000,1406000,3263,8,41
