"","x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
"1779",141000,1486000,323,0,0,0,0,0.0391810584360725,0,0,0.193049024021651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382978048584041,0.854098592835136,0,0.861491380946035,0,0,0,0
"1860",149000,1486000,324,0,0,0,0,0.270390126252719,0,0,0.559757528421946,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63666941566483,8.80440051011003,0,0.627357685803782,0,0,0,0
"1941",157000,1486000,325,0,0,0,0,0.188260058526159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188260058526159,0,0,0,0,0,0
"1698",133000,1478000,618,0,0,0,0,0,0,0,0.198711219010879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198711219010879,0,0,0,0
"1778",141000,1478000,619,0.00103390719650797,0,0,0,0.106366588224142,0,0,0.848942558825995,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34283559386473,1.80162158272004,0,4.56734996729661,0,0,0,0
"1859",149000,1478000,620,0,0.0685991980617082,0,0,1.59305693622956,0,0,2.98516589656414,0,0,0,0.062998454151415,0,0,0,0,0,0,0,0,0,2.94514838611506,5.84315917027894,0,6.04406545311387,0,0,0,0
"1940",157000,1478000,621,0,0,0,0,1.01650696368501,0,0,0,0,0,0,0.100820617141793,0,0,0,0,0,0,0,0,0.097979431458182,1.26536492966892,0.432272331062795,0,0.0511059156251201,0,0,0,0.25588178553414
"212",-19000,1470000,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0848132803455668,0,0,0.110534231736296,0,0,0,0,0,0,0.0011390556444223
"291",-11000,1470000,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"370",-3000,1470000,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"449",5000,1470000,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1697",133000,1470000,914,0,0,0,0,0.0369637846800399,0,0,0.151628935476956,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26048438887034,1.90364099835335,0,5.74456214422968,0,0,0,0.292684325690282
"1777",141000,1470000,915,0,0,0,0,0.273986274629577,0,0,0.475365625144864,0,0,0,0.0849814852769059,0,0,0,0,0,0,0,0,0,0.239247554426413,2.38207577143174,0,3.35708406707257,0,0,0,0.00649867165345413
"1858",149000,1470000,916,0,0.152306728573476,0,0,0.466151919642061,0,0,0.755799979481236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533925774593629,1.41826448041634,0,4.53661332794664,0,0,0,0
"1939",157000,1470000,917,0,0,0,0,0,0,0,0,1.00091035533254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211",-19000,1462000,1191,0,0.0676336084555244,0,0,0,0,0,0,0,0,0.0568682586239348,0,0,0,0,0,0,0,0.0865117871642568,0,0,0.00562233960274753,0,0,0,0,0,0,0
"290",-11000,1462000,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"369",-3000,1462000,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"448",5000,1462000,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17564259017919,0,0,0,0,0,0,0
"527",13000,1462000,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00315534878787168,0,0,0.505043211220705,0,0,0,0,0,0,0.0207752119307623
"605",21000,1462000,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613762572095772,0,0,0.716950352531662,0,0,0,0,0,0,0
"683",29000,1462000,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80592988907109,0,0,1.48510130986462,0,0,0,0
"762",37000,1462000,1198,0,0.00037444612350496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524955890060383,0.0594181170649675,0,0,0,0,0,0,0
"841",45000,1462000,1199,0,0.0514433045643986,0,0,0,0,0,0,0,0,0.00890364064031205,0,0,0,0,0,0,0,0,0,0.0171198108577475,0.437427581575261,0,0,0.02697581290316,0,0,0,0
"920",53000,1462000,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402431111701196,0,0,0.13040718585418,0,0,0,0
"1696",133000,1462000,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316058647296606
"1776",141000,1462000,1211,0,0.246361230868722,0,0,0,0,0,0.20678639030347,0,0,2.76523600787291,0,0,0,0,0,0,0,0,0,0,0.131550558929699,0.61325406861331,0,10.9683145622446,0,0,0,0
"1857",149000,1462000,1212,0,0,0,0,2.59045627415744,0,0,1.69209327426651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05207350607375,0,1.65414280841798,0,0,0,0
"1938",157000,1462000,1213,0,8.78384169592976,0,0,0,0,0,0,0,0,0.744510917539611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210",-19000,1454000,1487,0,0.0365859615209632,0,0,0,0,0,0,0,0,0.257180279602729,0,0,0,0,0,0,0,0.0379783676222529,0,0,0,0,0,0,0,0,0,0
"289",-11000,1454000,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"368",-3000,1454000,1489,0,0.0233282189174434,0,0,0,0,0,0,0,0,0.162319068605124,0,0,0,0,0,0,0,0.00127172986575459,0,0,0,0,0,0,0,0,0,0
"447",5000,1454000,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000430869117734853,0,0,0.000430869117734853,0,0,0,0,0,0,0
"526",13000,1454000,1491,0,0.000241863371507019,0,0,0,0,0,0,0,0,0.702786122445489,0,0,0,0,0,0,0,0.00972464897638748,0,0,1.13734223861222,0,0,0,0,0,0,0
"604",21000,1454000,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556613886397629,0,0,3.82807979746512,0,0,0,0,0,0,0
"682",29000,1454000,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129299835019679,0,0,0,0,0,0,0
"761",37000,1454000,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"840",45000,1454000,1495,0,0,0,0,0.000848091805472558,0,0,0,0,0,0.0241265514585437,0,0,0,0,0,0,0,0,0,0,0.464672266061461,0,0,3.54942166706316,0,0,0,0
"919",53000,1454000,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30168219034579,0,0,0,0
"998",61000,1454000,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128036507521661,0,1.3770918188856,0,0,0,0
"1076",69000,1454000,1498,0,0.314644804129354,0,0,0,0,0,0.314644804129354,0,0,0,0.00582309767091342,0,0,0,0,0,0,0,0,0,3.695713598921,3.60261125940898,0,2.81192932059432,0,0,0,0
"1154",77000,1454000,1499,0,0,0,0,0.000938814088861106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000938814088861106,0.667458683733698,0.507940261900991,0,2.64192919967052,0,0,0,0
"1232",85000,1454000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00839462004308649,0.277770867272898,0,4.012166993855,0,0,0,0
"1311",93000,1454000,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128983282240926,0.325852884766267,0,4.89339305403678,0,0,0,0
"1390",101000,1454000,1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1334041660597,0.365304523779731,0,2.8026536732208,0,0,0,0
"209",-19000,1446000,1783,0,0.161419174323514,0,0,0,0,0,0,0,0,0.200623618203375,0,0,0,0,0,0,0,0.0508917949572972,0,0,0,0,0,0,0,0,0,0
"288",-11000,1446000,1784,0,0.00791390194735178,0,0,0,0,0,0,0,0,0.00791390194735178,0,0,0,0,0,0,0,0.0743952137082763,0,0,0,0,0,0,0,0,0,0
"367",-3000,1446000,1785,0,0,0,0,0,0,0,0,0,0,0.154651518575235,0,0,0,0,0,0,0,0.00209423440820199,0,0,0,0,0,0,0,0,0,0
"446",5000,1446000,1786,0,0,0,0,0,0,0,0,0,0,0.00237925875897997,0,0,0,0,0,0,0,0.000815281254107119,0,0,0.286431737414352,0,0,0,0,0,0,0
"525",13000,1446000,1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48863434176086,0,0,0,0,0,0,0
"603",21000,1446000,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151675113375252,0,0,0,0,0,0,0
"681",29000,1446000,1789,0,0.00139693898014109,0,0,0,0,0,0,0,0,0.109164956816596,0,0,0,0,0,0,0,0.22113088875564,0,0,2.24604894179992,0,0,0,0,0,0,0
"760",37000,1446000,1790,0,0,0,0,0,0,0,0,0,0,0.278655508115874,0,0,0,0,0,0,0,0.235584679044207,0,0,3.24385627659473,0,0,0,0,0,0,0
"839",45000,1446000,1791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.582885012386681,0,0,4.51481747817146,0,0,0,0,0,0,0
"918",53000,1446000,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647408718983389,0,0,1.90983216024883,0,0,0,0,0,0,0
"997",61000,1446000,1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067508809244951,0,0,1.31730575942597,0,0,0.00499195190967937,0,0,0,0.000332064718256813
"1075",69000,1446000,1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283315158047285,0,0,0,0,0,0,0
