"x","y","cell","Grass","Temperate Broadleaf Deciduous Tree","Temperate Needleleaf Deciduous Tree","Temperate Needleleaf Evergreen Tree","NA"
5000,1414000,2970,78,0,0,0,0
13000,1414000,2971,72,2,0,0,0
21000,1414000,2972,49,0,0,0,0
29000,1414000,2973,24,30,0,0,0
37000,1414000,2974,61,18,0,0,0
45000,1414000,2975,55,24,0,0,0
53000,1414000,2976,58,16,2,0,0
61000,1414000,2977,14,35,21,3,0
69000,1414000,2978,19,16,33,10,0
77000,1414000,2979,25,20,23,2,0
85000,1414000,2980,23,29,21,0,0
93000,1414000,2981,7,23,34,23,0
101000,1414000,2982,4,8,20,46,0
109000,1414000,2983,7,2,27,24,0
117000,1414000,2984,4,1,45,18,0
125000,1414000,2985,7,4,36,14,0
133000,1414000,2986,3,7,33,28,0
141000,1414000,2987,0,7,28,39,0
149000,1414000,2988,4,22,32,50,0
157000,1414000,2989,2,17,32,37,0
165000,1414000,2990,0,10,8,13,0
-27000,1406000,3262,0,2,0,0,0
-19000,1406000,3263,41,8,0,0,0
-11000,1406000,3264,72,0,0,0,0
-3000,1406000,3265,69,5,0,0,0
5000,1406000,3266,74,0,0,0,0
13000,1406000,3267,75,0,0,0,0
21000,1406000,3268,53,17,2,0,0
29000,1406000,3269,33,39,1,0,0
37000,1406000,3270,45,21,2,0,0
45000,1406000,3271,23,33,13,3,0
53000,1406000,3272,14,29,44,5,0
61000,1406000,3273,5,39,32,7,0
69000,1406000,3274,12,23,34,4,0
77000,1406000,3275,5,18,40,2,0
85000,1406000,3276,1,29,44,7,0
93000,1406000,3277,4,25,37,22,0
101000,1406000,3278,4,24,31,33,0
109000,1406000,3279,6,16,33,34,0
117000,1406000,3280,0,5,45,25,0
125000,1406000,3281,4,3,40,31,0
133000,1406000,3282,2,1,47,29,0
141000,1406000,3283,1,7,43,37,0
149000,1406000,3284,0,15,39,45,0
157000,1406000,3285,0,19,33,41,0
165000,1406000,3286,1,10,28,40,0
173000,1406000,3287,1,7,16,28,0
181000,1406000,3288,0,20,6,22,0
189000,1406000,3289,0,5,9,15,0
-27000,1398000,3558,1,3,0,0,0
-19000,1398000,3559,55,12,0,0,0
-11000,1398000,3560,54,1,0,0,0
-3000,1398000,3561,71,1,0,0,0
5000,1398000,3562,70,3,0,0,0
13000,1398000,3563,70,4,0,0,0
21000,1398000,3564,41,27,3,0,0
29000,1398000,3565,26,49,1,0,0
37000,1398000,3566,7,49,14,1,0
45000,1398000,3567,4,34,31,14,0
53000,1398000,3568,4,32,43,6,0
61000,1398000,3569,15,16,39,9,0
69000,1398000,3570,28,4,8,0,0
77000,1398000,3571,15,20,26,7,0
85000,1398000,3572,1,21,56,10,0
93000,1398000,3573,1,16,51,15,0
101000,1398000,3574,3,9,52,17,0
109000,1398000,3575,2,9,50,32,0
117000,1398000,3576,1,11,50,21,0
125000,1398000,3577,2,1,49,40,0
133000,1398000,3578,2,3,40,38,0
141000,1398000,3579,1,5,30,50,0
149000,1398000,3580,2,1,56,26,0
157000,1398000,3581,0,11,46,29,0
165000,1398000,3582,0,9,49,26,0
173000,1398000,3583,0,7,46,34,0
181000,1398000,3584,0,10,22,62,0
189000,1398000,3585,0,4,41,38,0
197000,1398000,3586,0,5,10,22,0
205000,1398000,3587,0,10,4,10,0
213000,1398000,3588,0,2,0,3,0
-27000,1390000,3854,4,5,0,0,0
-19000,1390000,3855,64,9,0,0,0
-11000,1390000,3856,73,0,0,0,0
-3000,1390000,3857,71,2,0,0,0
5000,1390000,3858,67,4,0,0,0
13000,1390000,3859,71,0,0,0,0
21000,1390000,3860,63,7,0,0,0
29000,1390000,3861,56,17,0,0,0
37000,1390000,3862,39,29,6,3,0
45000,1390000,3863,39,26,0,0,0
53000,1390000,3864,21,32,1,0,0
61000,1390000,3865,13,6,12,8,0
69000,1390000,3866,51,2,14,8,0
77000,1390000,3867,65,2,1,1,0
85000,1390000,3868,17,8,39,6,0
93000,1390000,3869,4,15,36,22,0
101000,1390000,3870,0,14,60,10,0
109000,1390000,3871,0,18,53,10,0
117000,1390000,3872,0,23,50,18,0
125000,1390000,3873,0,4,61,11,0
133000,1390000,3874,1,13,45,27,0
141000,1390000,3875,0,14,33,42,0
149000,1390000,3876,3,11,29,40,0
157000,1390000,3877,7,16,35,30,0
165000,1390000,3878,3,13,35,40,0
173000,1390000,3879,0,19,27,53,0
181000,1390000,3880,2,14,31,53,0
189000,1390000,3881,0,5,52,38,0
197000,1390000,3882,0,16,28,48,0
205000,1390000,3883,0,13,32,49,0
213000,1390000,3884,0,7,20,54,0
221000,1390000,3885,0,16,12,20,0
-27000,1382000,4150,22,7,0,0,0
-19000,1382000,4151,65,5,0,0,0
-11000,1382000,4152,72,0,0,0,0
-3000,1382000,4153,75,0,0,0,0
5000,1382000,4154,71,0,0,0,0
13000,1382000,4155,68,0,0,0,0
21000,1382000,4156,65,5,0,0,0
29000,1382000,4157,65,3,0,0,0
37000,1382000,4158,49,7,0,0,0
45000,1382000,4159,48,19,0,0,0
53000,1382000,4160,40,9,0,0,0
61000,1382000,4161,11,3,4,3,0
69000,1382000,4162,27,1,5,0,0
77000,1382000,4163,36,7,1,0,0
85000,1382000,4164,48,8,8,1,0
93000,1382000,4165,42,7,17,5,0
101000,1382000,4166,14,3,34,13,0
109000,1382000,4167,7,4,44,17,0
117000,1382000,4168,0,8,60,21,0
125000,1382000,4169,0,1,62,16,0
133000,1382000,4170,0,4,36,39,0
141000,1382000,4171,0,10,42,34,0
149000,1382000,4172,0,5,41,35,0
157000,1382000,4173,0,26,30,36,0
165000,1382000,4174,0,12,51,25,0
173000,1382000,4175,2,12,60,32,0
181000,1382000,4176,0,11,34,46,0
189000,1382000,4177,0,6,40,44,0
197000,1382000,4178,0,7,30,49,0
205000,1382000,4179,0,3,53,28,0
213000,1382000,4180,0,7,40,30,0
221000,1382000,4181,0,16,10,43,0
229000,1382000,4182,0,2,0,1,0
237000,1382000,4183,0,3,0,0,0
245000,1382000,4184,0,4,0,4,0
253000,1382000,4185,0,42,8,39,0
261000,1382000,4186,1,27,20,35,0
269000,1382000,4187,5,19,2,21,0
277000,1382000,4188,1,22,5,27,0
285000,1382000,4189,2,10,0,6,0
-27000,1374000,4446,26,2,0,0,0
-19000,1374000,4447,56,1,0,0,0
-11000,1374000,4448,60,0,0,0,0
-3000,1374000,4449,75,1,0,0,0
5000,1374000,4450,70,1,0,0,0
13000,1374000,4451,73,0,0,0,0
21000,1374000,4452,73,0,0,0,0
29000,1374000,4453,60,5,0,0,0
37000,1374000,4454,55,7,0,0,0
45000,1374000,4455,39,21,0,0,0
53000,1374000,4456,15,8,0,0,0
61000,1374000,4457,3,0,0,0,0
69000,1374000,4458,18,3,0,0,0
77000,1374000,4459,43,6,0,0,0
85000,1374000,4460,42,10,1,0,0
93000,1374000,4461,66,3,0,0,0
101000,1374000,4462,29,3,1,1,0
109000,1374000,4463,37,5,4,1,0
117000,1374000,4464,10,10,44,15,0
125000,1374000,4465,2,7,56,24,0
133000,1374000,4466,0,1,51,39,0
141000,1374000,4467,1,3,63,16,0
149000,1374000,4468,1,8,55,16,0
157000,1374000,4469,4,15,28,22,0
165000,1374000,4470,1,3,52,16,0
173000,1374000,4471,0,4,55,27,0
181000,1374000,4472,0,11,57,11,0
189000,1374000,4473,0,6,51,25,0
197000,1374000,4474,1,19,32,39,0
205000,1374000,4475,0,15,24,51,0
213000,1374000,4476,1,22,19,51,0
221000,1374000,4477,0,28,23,44,0
229000,1374000,4478,0,22,33,37,0
237000,1374000,4479,0,18,28,44,0
245000,1374000,4480,0,16,37,38,0
253000,1374000,4481,0,23,15,49,0
261000,1374000,4482,1,19,31,40,0
269000,1374000,4483,1,18,28,32,0
277000,1374000,4484,11,30,8,26,0
285000,1374000,4485,2,28,5,48,0
293000,1374000,4486,2,14,3,20,0
301000,1374000,4487,0,2,2,6,0
309000,1374000,4488,0,0,0,2,0
-19000,1366000,4743,46,0,0,0,0
-11000,1366000,4744,72,0,0,0,0
-3000,1366000,4745,73,0,0,0,0
5000,1366000,4746,74,0,0,0,0
13000,1366000,4747,71,1,0,0,0
21000,1366000,4748,72,0,0,0,0
29000,1366000,4749,52,12,0,0,0
37000,1366000,4750,63,9,0,0,0
45000,1366000,4751,58,9,0,0,0
53000,1366000,4752,60,1,0,0,0
61000,1366000,4753,68,0,0,0,0
69000,1366000,4754,55,2,0,0,0
77000,1366000,4755,49,9,0,0,0
85000,1366000,4756,33,12,0,0,0
93000,1366000,4757,65,3,2,0,0
101000,1366000,4758,28,5,0,1,0
109000,1366000,4759,30,14,17,4,0
117000,1366000,4760,2,7,57,12,0
125000,1366000,4761,2,0,53,9,0
133000,1366000,4762,2,0,53,2,0
141000,1366000,4763,1,0,58,6,0
149000,1366000,4764,3,0,43,19,0
157000,1366000,4765,17,0,33,8,0
165000,1366000,4766,18,0,33,6,0
173000,1366000,4767,29,0,13,20,0
181000,1366000,4768,0,0,61,14,0
189000,1366000,4769,0,0,69,5,0
197000,1366000,4770,1,2,59,21,0
205000,1366000,4771,0,2,45,33,0
213000,1366000,4772,0,26,29,40,0
221000,1366000,4773,0,25,16,49,0
229000,1366000,4774,0,22,17,61,0
237000,1366000,4775,0,23,17,53,0
245000,1366000,4776,0,16,23,62,0
253000,1366000,4777,0,27,20,47,0
261000,1366000,4778,0,31,13,61,0
269000,1366000,4779,1,24,13,60,0
277000,1366000,4780,1,20,8,29,0
285000,1366000,4781,2,14,8,19,0
293000,1366000,4782,8,31,7,38,0
301000,1366000,4783,5,22,5,34,0
309000,1366000,4784,0,6,0,10,0
-27000,1358000,5038,12,2,0,0,0
-19000,1358000,5039,73,0,0,0,0
-11000,1358000,5040,74,0,0,0,0
-3000,1358000,5041,73,0,0,0,0
5000,1358000,5042,75,0,0,0,0
13000,1358000,5043,73,0,0,0,0
21000,1358000,5044,74,0,0,0,0
29000,1358000,5045,49,19,0,0,0
37000,1358000,5046,54,22,0,0,0
45000,1358000,5047,22,39,0,0,0
53000,1358000,5048,57,7,0,0,0
61000,1358000,5049,65,2,0,0,0
69000,1358000,5050,63,9,0,0,0
77000,1358000,5051,55,14,0,0,0
85000,1358000,5052,60,17,0,0,0
93000,1358000,5053,57,12,0,0,0
101000,1358000,5054,5,26,13,7,0
109000,1358000,5055,5,10,47,18,0
117000,1358000,5056,0,8,61,21,0
125000,1358000,5057,0,0,60,24,0
133000,1358000,5058,0,3,64,19,0
141000,1358000,5059,1,0,59,5,0
149000,1358000,5060,1,8,36,41,0
157000,1358000,5061,18,2,27,13,0
165000,1358000,5062,14,1,43,9,0
173000,1358000,5063,18,0,42,35,0
181000,1358000,5064,0,6,58,16,0
189000,1358000,5065,0,8,42,35,0
197000,1358000,5066,0,8,44,40,0
205000,1358000,5067,0,11,43,39,0
213000,1358000,5068,1,7,46,33,0
221000,1358000,5069,0,31,24,41,0
229000,1358000,5070,0,21,19,56,0
237000,1358000,5071,0,28,13,52,0
245000,1358000,5072,1,25,20,56,0
253000,1358000,5073,0,30,13,49,0
261000,1358000,5074,0,37,5,49,0
269000,1358000,5075,0,21,20,56,0
277000,1358000,5076,9,29,18,65,0
285000,1358000,5077,3,16,5,55,0
293000,1358000,5078,7,32,11,48,0
301000,1358000,5079,5,21,4,54,0
309000,1358000,5080,1,11,5,30,0
317000,1358000,5081,1,11,0,12,0
-27000,1350000,5334,5,3,0,0,0
-19000,1350000,5335,62,10,0,0,0
-11000,1350000,5336,76,0,0,0,0
-3000,1350000,5337,74,0,0,0,0
5000,1350000,5338,72,0,0,0,0
13000,1350000,5339,74,1,0,0,0
21000,1350000,5340,73,3,0,0,0
29000,1350000,5341,63,9,0,0,0
37000,1350000,5342,44,29,0,0,0
45000,1350000,5343,37,34,0,0,0
53000,1350000,5344,16,37,0,0,0
61000,1350000,5345,37,18,0,0,0
69000,1350000,5346,37,13,0,0,0
77000,1350000,5347,29,19,0,0,0
85000,1350000,5348,48,9,1,0,0
93000,1350000,5349,56,1,2,0,0
101000,1350000,5350,2,19,23,5,0
109000,1350000,5351,2,29,48,13,0
117000,1350000,5352,0,19,50,14,0
125000,1350000,5353,0,5,48,11,0
133000,1350000,5354,0,1,18,9,0
