"x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
-11000,1454000,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1454000,1489,0,1.84155315480983,0,0,0,0,0,0,0,0,0.935993593712464,0,0,0,0,0,0,0,0.0120663028379624,0,0,0,0,0,0,0,0,0,0
5000,1454000,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00850331079585166,0,0,0.00850331079585166,0,0,0,0,0,0,0
13000,1454000,1491,0,0.00350973138703518,0,0,0,0,0,0,0,0,5.66108633446843,0,0,0,0,0,0,0,0.145984721057019,0,0,15.1329237819154,0,0,0,0,0,0,0
21000,1454000,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441161266873052,0,0,20.2735942168719,0,0,0,0,0,0,0
29000,1454000,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05726752848781,0,0,0,0,0,0,0
37000,1454000,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45000,1454000,1495,0,0,0,0,0.0102056742994884,0,0,0,0,0,0.281741765036274,0,0,0,0,0,0,0,0,0,0,6.78414064609544,0,0,35.5465861936832,0,0,0,0
53000,1454000,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07912115319522,0,0,0,0
61000,1454000,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97274446368726,0,22.7195317659452,0,0,0,0
69000,1454000,1498,0,1.21044729633818,0,0,0,0,0,1.21044729633818,0,0,0,0.129123935242999,0,0,0,0,0,0,0,0,0,44.6192052329579,34.2092648473774,0,32.4049156588871,0,0,0,0
77000,1454000,1499,0,0,0,0,0.0370554660267987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370554660267987,28.5381176585827,16.6461447090468,0,59.0452415283281,0,0,0,0
85000,1454000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164029648979302,9.07184638595216,0,97.5162413352254,0,0,0,0
93000,1454000,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53544115583051,19.0765263496774,0,156.754850460102,0,0,0,0
101000,1454000,1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5015123535024,20.3784110297908,0,42.1438864528784,0,0,0,0
-19000,1446000,1783,0,0.737418553175427,0,0,0,0,0,0,0,0,1.05451264978019,0,0,0,0,0,0,0,0.411623942327334,0,0,0,0,0,0,0,0,0,0
-11000,1446000,1784,0,0.129426061543754,0,0,0,0,0,0,0,0,0.129426061543754,0,0,0,0,0,0,0,5.54303721914346,0,0,0,0,0,0,0,0,0,0
-3000,1446000,1785,0,0,0,0,0,0,0,0,0,0,0.615567074408799,0,0,0,0,0,0,0,0.0365754377519826,0,0,0,0,0,0,0,0,0,0
5000,1446000,1786,0,0,0,0,0,0,0,0,0,0,0.0116225921204089,0,0,0,0,0,0,0,0.0392433691173776,0,0,1.95809737165432,0,0,0,0,0,0,0
13000,1446000,1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3958686709617,0,0,0,0,0,0,0
21000,1446000,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76412628163367,0,0,0,0,0,0,0
29000,1446000,1789,0,0.0672413253168299,0,0,0,0,0,0,0,0,1.50227099276745,0,0,0,0,0,0,0,2.39146886520209,0,0,21.5457023826651,0,0,0,0,0,0,0
37000,1446000,1790,0,0,0,0,0,0,0,0,0,0,2.8407898716741,0,0,0,0,0,0,0,3.60155575581454,0,0,48.0803283009899,0,0,0,0,0,0,0
45000,1446000,1791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6222137730608,0,0,49.7600451727762,0,0,0,0,0,0,0
53000,1446000,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94242557626904,0,0,29.6075840585321,0,0,0,0,0,0,0
61000,1446000,1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129537346656471,0,0,13.1388325646528,0,0,0.0661190811916589,0,0,0,0.0364076724030485
69000,1446000,1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4159478165237,0,0,0,0,0,0,0
77000,1446000,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44390035498856,0,0,5.87938939077543,0,0,0,0
85000,1446000,1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197479707326159,0,0,58.420005935671,0,0,0,0.0197479707326159
93000,1446000,1797,0,0,0,0,0,0,0,0,0,0,0.000579915183154802,0,0,0,0,0,0,0,0,0,0,1.24517060531747,38.5572612790693,0,140.229707945441,0,0,0,0.759905423098298
101000,1446000,1798,0,0,0,0,4.49740148927686,0,0,19.4644475008943,0,0,0,11.4825023219707,0,0,0,0,0,0,0,0,0,39.8657705658125,35.7191776004154,0,55.6189177639772,0,0,0,0
109000,1446000,1799,0,0.0479976792435506,0,0,0,0,0,3.52835440776936,0,0,0,0,0,0,0,0,0,0,0,0,0.471645078175311,12.3635900616979,9.50053844679924,0,62.201193832948,0,0,0,0
117000,1446000,1800,0,0.00385932394044577,0,0,0,0,0,20.3274929798969,0,0,4.2994686290875,19.6077493637407,0,0,0,0,0,0,0,0,0,130.294988786074,36.1549072649205,0,58.2802283154569,0,0,0,11.8435495018025
-19000,1438000,2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11000,1438000,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101847295370093,0,0,0,0,0,0,0,0,0,0
-3000,1438000,2081,0,0,0,0,0,0,0,0,0,0,0.00135623159171898,0,0,0,0,0,0,0,0.20952589006386,0,0,0,0,0,0,0,0,0,0
5000,1438000,2082,0,0,2.25994402731848,0,0,0,0,0,0,0,2.25994402731848,0,0,0,0,0,0,0,0.272000424342515,0,0,31.1641768758054,0,0,0,0,0,0,0
13000,1438000,2083,0,0,0,0,0,0,0,0,0,0,0.416931209465758,0,0,0,0,0,0,0,0.157198918083739,0,0,3.66352917130934,0,0,0,0,0,0,0
21000,1438000,2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54353125294052,0,0,0,0,0,0,0
29000,1438000,2085,0,0.138401333586836,0,0,0,0,0,0,0,0,0.583841418303311,0,0,0,0,0,0,0,1.56030359896317,0,0,10.979340011199,0,0,0,0,0,0,0
37000,1438000,2086,0,0,0,0,0,0,0,0,0,0,0.569393771481453,0,0,0,0,0,0,0,2.62865605607579,0,0,7.46330929202262,0,0,0,0,0,0,0
45000,1438000,2087,0,0,0,0,0,0,0,0,0,0,0.303902793898095,0,0,0,0,0,0,0,4.64779096667172,0,0,8.54350732953401,0,0,0,0,0,0,0
53000,1438000,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31244528745468,0,0,13.7043243848444,0,0,0,0,0,0,0
61000,1438000,2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08972293878556,0,0,0,0,0,0,0
69000,1438000,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3729187458027,0,0,0,0,0,0,0
77000,1438000,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917636799955777,0,0,7.12025502149613,0,0,0.760298204169864,0,0,0,0
85000,1438000,2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2102420690988,0,0,0,0,0,0,0
93000,1438000,2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53231893217587,0,0,9.10876231924159,0,0,0,0
101000,1438000,2094,0,1.65831695670887,0,0,0.159275090965934,0,0,2.78033854552582,0,0,0.91402806670321,6.79053572055228,0,0,0,0,0,0,0.0584289809848892,0,2.82074326694978,29.8984547815487,11.7186869378887,0,76.4653618774589,0,0,0,0
109000,1438000,2095,0,0.763935629393344,0,0,3.74787943363779,0,0,5.61390899019554,0,0,2.41479021240175,8.69430638707184,0,0,0,0,0,0,0.301563678277478,0,1.37493139677523,3.90939195252989,17.2695916590039,0,50.9616154254767,0,0,0,0
117000,1438000,2096,0,23.7892751908068,0,0,3.85806296215938,0,0,3.63660293602458,0,0,15.1655881190733,2.52786402501336,0,0,0,0,0,0,0,0,3.0344047188697,47.7076796139872,5.06771814965153,0,45.2563152202686,0,0,0,5.34639979924365
125000,1438000,2097,0,1.11835691722845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.8564207636858,0,0,0,0,0,0,0
