"x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
141000,1486000,323,0,0,0,0,0.928076923076923,0,0,1.17230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51961538461538,3.56576923076923,0,4.05423076923077,0,0,0,0
149000,1486000,324,0,0,0,0,0.564444444444444,0,0,1.41111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32555555555555,6.49111111111111,0,1.83444444444444,0,0,0,0
157000,1486000,325,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,0,0,0
133000,1478000,618,0,0,0,0,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62,0,0,0,0
141000,1478000,619,0.108857142857143,0,0,0,0.489857142857143,0,0,1.88685714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,1.651,3.22942857142857,0,9.017,0,0,0,0
149000,1478000,620,0,0.227462686567164,0,0,0.834029850746269,0,0,2.99492537313433,0,0,0,0.18955223880597,0,0,0,0,0,0,0,0,0,3.08970149253731,3.48776119402985,0,8.16970149253731,0,0,0,0
157000,1478000,621,0,0,0,0,4.02166666666667,0,0,0,0,0,0,0.846666666666667,0,0,0,0,0,0,0,0,1.69333333333333,6.0325,1.05833333333333,0,1.5875,0,0,0,0.529166666666667
-19000,1470000,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68375,0,0,6.50875,0,0,0,0,0,0,0.79375
-11000,1470000,896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3000,1470000,897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000,1470000,898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133000,1470000,914,0,0,0,0,0.889,0,0,1.016,0,0,0,0,0,0,0,0,0,0,0,0,0,1.524,3.175,0,9.906,0,0,0,1.524
141000,1470000,915,0,0,0,0,0.570579710144928,0,0,0.625797101449275,0,0,0,0.128840579710145,0,0,0,0,0,0,0,0,0,1.50927536231884,6.36840579710145,0,6.14753623188406,0,0,0,0.0736231884057971
149000,1470000,916,0,0.366346153846154,0,0,0.903653846153846,0,0,1.46538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879230769230769,4.73807692307692,0,6.49653846153846,0,0,0,0
157000,1470000,917,0,0,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19000,1462000,1191,0,3.556,0,0,0,0,0,0,0,0,4.064,0,0,0,0,0,0,0,14.732,0,0,3.048,0,0,0,0,0,0,0
-11000,1462000,1192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3000,1462000,1193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000,1462000,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.86,0,0,0,0,0,0,0
