"","x","y","cell","Grass","Temperate Broadleaf Deciduous Tree","Temperate Needleleaf Deciduous Tree","Temperate Needleleaf Evergreen Tree","NA"
"1",-59000,854000,23682,8,0,0,0,0
"2",-59000,862000,23386,59,0,0,0,0
"3",-59000,870000,23090,49,0,0,0,0
"4",-59000,878000,22794,37,0,0,0,0
"5",-59000,886000,22498,26,0,0,0,0
"6",-59000,894000,22202,10,0,0,0,0
"7",-51000,854000,23683,19,0,0,0,0
"8",-51000,862000,23387,76,0,0,0,0
"9",-51000,870000,23091,74,0,0,0,0
"10",-51000,878000,22795,73,0,0,0,0
"11",-51000,886000,22499,72,0,0,0,0
"12",-51000,894000,22203,74,0,0,0,0
"13",-51000,902000,21907,71,0,0,0,0
"14",-51000,910000,21611,58,0,0,0,0
"15",-51000,918000,21315,46,0,0,0,0
"16",-51000,926000,21019,35,0,0,0,0
"17",-51000,934000,20723,19,0,0,0,0
"18",-51000,942000,20427,6,0,0,0,0
"19",-51000,1078000,15395,0,1,0,0,0
"20",-51000,1094000,14803,1,0,0,0,0
"21",-43000,854000,23684,30,1,0,0,0
"22",-43000,862000,23388,72,2,0,0,0
"23",-43000,870000,23092,73,0,0,0,0
"24",-43000,878000,22796,74,0,0,0,0
"25",-43000,886000,22500,74,0,0,0,0
"26",-43000,894000,22204,75,0,0,0,0
"27",-43000,902000,21908,70,0,0,0,0
"28",-43000,910000,21612,74,0,0,0,0
"29",-43000,918000,21316,73,0,0,0,0
"30",-43000,926000,21020,75,0,0,0,0
"31",-43000,934000,20724,74,0,0,0,0
"32",-43000,942000,20428,74,0,0,0,0
"33",-43000,950000,20132,69,0,0,0,0
"34",-43000,958000,19836,55,0,0,0,0
"35",-43000,966000,19540,43,0,0,0,0
"36",-43000,974000,19244,33,1,0,0,0
"37",-43000,982000,18948,20,0,0,0,0
"38",-43000,990000,18652,9,0,0,0,0
"39",-43000,998000,18356,1,0,0,0,0
"40",-43000,1070000,15692,13,0,0,0,0
"41",-43000,1078000,15396,44,1,0,0,0
"42",-43000,1086000,15100,80,0,0,0,0
"43",-43000,1094000,14804,69,0,0,0,0
"44",-43000,1102000,14508,37,4,0,0,0
"45",-35000,854000,23685,44,0,0,0,0
"46",-35000,862000,23389,75,0,0,0,0
"47",-35000,870000,23093,72,1,0,0,0
"48",-35000,878000,22797,73,0,0,0,0
"49",-35000,886000,22501,75,0,0,0,0
"50",-35000,894000,22205,76,0,0,0,0
"51",-35000,902000,21909,75,0,0,0,0
"52",-35000,910000,21613,75,0,0,0,0
"53",-35000,918000,21317,73,0,0,0,0
"54",-35000,926000,21021,70,0,0,0,0
"55",-35000,934000,20725,74,0,0,0,0
"56",-35000,942000,20429,67,1,0,0,0
"57",-35000,950000,20133,72,0,0,0,0
"58",-35000,958000,19837,68,0,0,0,0
"59",-35000,966000,19541,78,1,0,0,0
"60",-35000,974000,19245,72,0,0,0,0
"61",-35000,982000,18949,78,3,0,0,0
"62",-35000,990000,18653,71,4,0,0,0
"63",-35000,998000,18357,72,1,0,0,0
