"","size","./GoringetalMarkdown.Rmd","./R/base_calculationsv_1.3.R","./R/check_var_use.R","./R/composition.clusters.R","./R/cooccurance_start.R","./R/deprecated/base_calculationsv_1.2.R","./R/figures/fig10_transect_plots.R","./R/figures/fig9_dissimilarities.R","./R/figures/figure2_angles.R","./R/figures/figure3_panel_means.R","./R/figures/figure4_allometry_plot.R","./R/figures/figure6_comp_prep.R","./R/figures/figure6_densbiomass.R","./R/figures/figure8_fiaplss_plots.R","./R/figures/figureX_angles.R","./R/load_data_v0.2.R","./R/lost_and_novel_cluster.R","./R/misc.functionsv1.4.R","./R/natural_earth.R","./R/Other Files/output.composition.R","X21","X22","X23","X24","X25","sum"
"biomdiff",166952,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"bn.test",2976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"can.domain",1741808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"canada",1741808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"check.min",9952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"coast.subset",234064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"comp.grid",1473912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3
"comp.intoplot",7248448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"comp.means",448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"comp.pft",236984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"comp.pts",107464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"comp.sd",448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"comp.table",7250056,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
