PLSS,biomass_b1,biomass_b2,PFT
Alder,-2.2094,2.3867,Temperate Broadlead Deciduous Tree
Ash,-2.48,2.4835,Temperate Broadlead Deciduous Tree
Basswood,-2.48,2.4835,Temperate Broadlead Deciduous Tree
Beech,-2.0127,2.4342,Temperate Broadlead Deciduous Tree
Birch,-1.9123,2.3651,Temperate Broadlead Deciduous Tree
Buckeye,-2.48,2.4835,Temperate Broadlead Deciduous Tree
Cedar/juniper,-2.0336,2.2592,Temperate Needleleaf Evergreen Tree
Cherry,-2.48,2.4835,Temperate Broadlead Deciduous Tree
Dogwood,-2.48,2.4835,Temperate Broadlead Deciduous Tree
Elm,-2.48,2.4835,Temperate Broadlead Deciduous Tree
Fir,-2.5384,2.4814,Temperate Needleleaf Evergreen Tree
Hackberry,-2.48,2.4835,Temperate Broadlead Deciduous Tree
Other hardwood,-2.48,2.4835,Temperate Broadlead Deciduous Tree
Hemlock,-2.5384,2.4814,Temperate Needleleaf Evergreen Tree
Hickory,-2.0127,2.4342,Temperate Broadlead Deciduous Tree
Ironwood,-2.48,2.4835,Temperate Broadlead Deciduous Tree
Maple,-2.48,2.4835,Temperate Broadlead Deciduous Tree
No tree,0,0,Grass
Oak,-2.0127,2.4342,Temperate Broadlead Deciduous Tree
Pine,-2.5356,2.4349,Temperate Needleleaf Evergreen Tree
Poplar/tulip poplar,-2.2094,2.3867,Temperate Broadlead Deciduous Tree
Spruce,-2.0773,2.3323,Temperate Needleleaf Evergreen Tree
Sycamore,-2.48,2.4835,Temperate Broadlead Deciduous Tree
Tamarack,-2.0336,2.2592,Temperate Needleleaf Deciduous Tree
Walnut,-2.48,2.4835,Temperate Broadlead Deciduous Tree
Willow,-2.2094,2.3867,Temperate Broadlead Deciduous Tree
Unknown,0,0,Grass
Poplar,-2.2094,2.3867,Temperate Broadlead Deciduous Tree
Tulip poplar,-2.2094,2.3867,Temperate Broadlead Deciduous Tree
Unknown tree,-2.225522,2.4104,Temperate Broadlead Deciduous Tree
