PointX,PointY,TownRangPM,entry_id,timestamp,reader_initials,surveyor_name,volume,page,year,state,hubtack_county,baseline,meridian,township,townshipdir,rangenum,rangedir,sectiona,sectionb,interiorsection,interiordir,refcorner,traveldir,secondpass,chains,typecorner,cornerid,species,speciescode,verbatim1,L1.tree1,diameter,bearing,degrees,bearingdir,chainstree,species2,speciescode2,verbatim2,L1.tree2,diameter2,bearing2,degrees2,bearingdir2,chainstree2,species3,speciescode3,verbatim3,L1.tree3,bearing3,degrees3,bearingdir3,chainstree3,species4,speciescode4,verbatim4,L1.tree4,diameter4,bearing4,degrees4,bearingdir4,chainstree4,ecotype,ecotypenotes,ecotype2,ecotypenotes2,ecotype3,ecotypenotes3,feature,featurenotes,timbernotes,understorynotes,landnotes,landnotesvb,generalnotes,recheck,reason,fixed
-88.345926,37.76150249,9S8E3,417940,3/19/2013 12:50,cmattiso,Will Rector,13,259,1806,IL,Gallatin ,3,3,9,S,8,E,,,35,S,500100,E,N,80,Section,600100,88888,88888,88888,88888,18,N,88888,E,27,88888,88888,88888,88888,12,N,88888,W,16,,,,No Tree,,,,,,,,No Tree,,,,,,,,,,,,Post,set post corner to sections,,,"GoodSoil,Illegible,",,,Y,clarify trees ,"bad scan, cmattiso"
-88.65421761,37.55554457,11S5E3,416399,2/18/2013 14:32,zvolenec,William Rector ,14,98,1806,IL,Pope,3,3,11,S,5,E,,,31,S,100100,E,Y,78.5,Section,200100,88888,88888,88888,88888,24,N,20,E,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,,,,No Tree,,,,,,,,No Tree,,,,,,,,,,,,,,,,,,,Y,"poor scan, nothing legible",filled in 99999 code jmd
-88.5411684,37.73147719,9S6E3,421353,6/24/2013 16:41,ahamlin,Augustus Stone,62,220,1806,IL,Saline,3,3,9,S,6,E,26,35,,,600200,W,Y,40,(1/4) Section,540200,88888,88888,88888,88888,88888,S,70,E,8,88888,88888,do,88888,88888,N,70,W,13,,,,No Tree,,,,,,,,No Tree,,,,,,,,,,,,,,,,,,,,,
-88.5411684,37.73147719,9S6E3,421506,6/17/2013 16:16,ahamlin,Will Rector,14,12,1806,IL,Saline,3,3,9,S,6,E,,,32,S,300100,W,Y,40,(1/4) Section,240100,88888,88888,88888,88888,16,N,72,W,37,Elm,EL,elm,elm,88888,N,20,E,88888,,,,No Tree,,,,,,,,No Tree,,,,,,,,,,,,,,,,,,bad scan,,,
-88.65421761,37.55554457,11S5E3,415632,2/13/2013 15:28,zvolenec,Jacob Fowler,61,197,1807,IL,Pope,3,3,11,S,5,E,27,28,,,400200,N,N,40,(1/4) Section,400240,88888,88888,88888,88888,12,N,86,E,75,88888,88888,Do,88888,12,N,11,W,51,,,,No Tree,,,,,,,,No Tree,,,,,,,,,,,,,,,,,,thumb over species name,Y,SP2 SPECIES,jmd - illegible
-87.6291848,39.56366252,13N11W2,420335,4/30/2013 16:09,ahamlin,John J Pateet,8,236,1816,IL,Edgar,2,2,13,N,11,W,21,22,,,400300,N,N,40,(1/4) Section,400340,88888,88888,88888,88888,12,S,27,W,22,Black Oak,BO,b oak,b oak,27,N,10,E,33,,,,No Tree,,,,,,,,No Tree,,,,,,,,,,,,,,,,,,,,,
-90.84723441,40.59273836,7N4W4,420208,4/18/2013 16:51,ahamlin,Enoch Moore,269,174,1817,IL,McDonough,4,4,7,N,4,W,,,31,S,100100,E,Y,48.75,(1/4) Section,140100,88888,88888,88888,88888,18,N,45,E,23,88888,88888,do,88888,88888,S,23,E,28,,,,No Tree,,,,,,,,No Tree,,,,,,,,,,,,,,,,,,dont bother rechecking; near invisible - bad scan,,,
-88.19192205,39.21510913,9N9E3,422181,6/22/2013 15:41,mmuelle2,Charles Bent,173,182,1820,IL,Cumberland,3,3,9,N,9,E,10,15,,,500500,W,Y,40,(1/4) Section,440500,88888,88888,88888,88888,19,N,39,W,39,Black Oak,BO,B o,B o,6,S,14,W,46,,,,No Tree,,,,,,,,No Tree,,,,,,,,,,,,,,,,,,,,,
-87.84300262,39.30947798,10N13W2,425679,7/31/2013 23:12,mmuelle2,Bartlett Sims,174,151,1820,IL,Clark,2,2,10,N,13,W,,,25,E,700200,N,N,80,Section,700300,88888,88888,88888,88888,12,S,46,W,543,,,,No Tree,,,,,,,,,No Tree,,,,,,,,No Tree,,,,,,,,,,,,,,,,,,,,"Clarify undergrowth [Fixed]
",amuench
-88.19192205,39.21510913,9N9E3,422127,6/25/2013 12:15,mmuelle2,Charles Bent,173,168,1820,IL,Cumberland,3,3,9,N,9,E,1,2,,,600600,N,N,40,(1/4) Section,600640,88888,88888,88888,88888,88888,88888,88888,88888,88888,,,,No Tree,,,,,,,,,No Tree,,,,,,,,No Tree,,,,,,,,,,,,,,,,,,,Y,clarify type of oak,"not sure, code as regular oak, cmattiso"
