long.,Lat,Source,Point number,Tree Code,Species,Tree,Diameter,N-S Distance,E-W Distance,county
-90.0271,39.30495,Brugam,707,24,Ash,Ashes,15,-36,0,Macoupin
-90.5968,38.96985,Brugam,2570,24,Ash,Ashes,14,-34,23,JerGreene
-89.87852,39.42053,Brugam,276,24,Ash,Ashes,9,-33,-74,Macoupin
-90.22072,39.18965,Brugam,2705,24,Ash,Ashes,16,-32,-90,JerGreene
-90.52662,39.39155,Brugam,7107,24,Ash,Ashes,15,-28,-49,JerGreene
-90.42625,39.24703,Brugam,1636,24,Ash,Ashes,12,-27,0,JerGreene
-90.37948,39.11096,Brugam,2839,24,Ash,Ashes,12,-27,25,JerGreene
-90.60565,39.12963,Brugam,8474,24,Ash,Ashes,7,-27,30,JerGreene
-90.48318,39.08638,Brugam,2843,24,Ash,Ashes,18,-27,58,JerGreene
-90.20222,39.2638,Brugam,2854,24,Ash,Ashes,12,-26,-40,JerGreene
-90.41653,39.15973,Brugam,8457,24,Ash,Ashes,8,-25,-40,JerGreene
-90.18553,39.18677,Brugam,2229,24,Ash,Ashes,14,-22,-106,JerGreene
-90.21155,39.1898,Brugam,4727,24,Ash,Ashes,5,-22,-42,JerGreene
-90.29642,39.13037,Brugam,2684,24,Ash,Ashes,22,-22,36,JerGreene
-90.20208,39.24825,Brugam,2805,24,Ash,Ashes,16,-20,-47,JerGreene
-90.48318,39.08667,Brugam,2842,24,Ash,Ashes,14,-19,-66,JerGreene
-90.427,39.11614,Brugam,2888,24,Ash,Ashes,10,-17,10,JerGreene
-90.48138,39.12347,Brugam,2734,24,Ash,Ashes,9,-17,18,JerGreene
-90.49417,39.14498,Brugam,2688,24,Ash,Ashes,15,-17,41,JerGreene
-90.20215,39.26355,Brugam,2860,24,Ash,Ashes,7,-17,376,JerGreene
-90.58517,39.44888,Brugam,7372,24,Ash,Ashes,7,-16,-31,JerGreene
-90.50062,39.36155,Brugam,7123,24,Ash,Ashes,,-15,18,JerGreene
-90.49235,39.21188,Brugam,2872,24,Ash,Ashes,28,-13,32,JerGreene
-90.17989,38.97225,Brugam,7870,24,Ash,Ashes,18,-11,17,JerGreene
-90.17143,39.3613,Brugam,7144,24,Ash,Ashes,12,-9,4,JerGreene
-90.23018,39.34375,Brugam,5013,24,Ash,Ashes,26,-4,72,JerGreene
-90.18347,39.44825,Brugam,7617,24,Ash,Ashes,18,-2,58,JerGreene
-90.22083,39.18945,Brugam,4728,24,Ash,Ashes,8,1,40,JerGreene
-90.52197,39.40607,Brugam,7111,24,Ash,Ashes,12,4,-64,JerGreene
-90.48725,39.06512,Brugam,2731,24,Ash,Ashes,19,4,48,JerGreene
-90.37437,39.13095,Brugam,1859,24,Ash,Ashes,10,5,-31,JerGreene
-90.55837,39.07205,Brugam,2446,24,Ash,Ashes,5,5,-15,JerGreene
-90.43635,39.11643,Brugam,2889,24,Ash,Ashes,9,6,29,JerGreene
-90.47823,39.1374,Brugam,2729,24,Ash,Ashes,10,6,36,JerGreene
-90.4835,39.16018,Brugam,8442,24,Ash,Ashes,20,7,-78,JerGreene
-90.22077,39.34232,Brugam,3838,24,Ash,Ashes,16,8,-39,JerGreene
-90.38497,39.37533,Brugam,7543,24,Ash,Ashes,12,12,-44,JerGreene
-90.57118,39.1265,Brugam,8426,24,Ash,Ashes,8,13,-17,JerGreene
-90.39883,39.40465,Brugam,7242,24,Ash,Ashes,9,16,32,JerGreene
-90.48713,39.06492,Brugam,2733,24,Ash,Ashes,16,18,35,JerGreene
-90.25827,38.99142,Brugam,2715,24,Ash,Ashes,18,20,15,JerGreene
-90.47542,39.03573,Brugam,2757,24,Ash,Ashes,10,21,-30,JerGreene
-90.57825,39.4634,Brugam,7378,24,Ash,Ashes,6,22,58,JerGreene
-90.54068,39.44878,Brugam,7327,24,Ash,Ashes,10,23,13,JerGreene
-90.41848,39.13042,Brugam,2880,24,Ash,Ashes,24,24,-32,JerGreene
-90.37137,39.0725,Brugam,1987,24,Ash,Ashes,18,25,45,JerGreene
-90.50225,39.32093,Brugam,4378,24,Ash,Ashes,10,27,69,JerGreene
-90.52422,39.36193,Brugam,7102,24,Ash,Ashes,12,33,13,JerGreene
-90.37992,39.09425,Brugam,2841,24,Ash,Ashes,24,33,77,JerGreene
-90.2576,39.07205,Brugam,2619,24,Ash,Ashes,6,36,-38,JerGreene
-90.38595,39.4632,Brugam,7333,24,Ash,Ashes,12,36,-25,JerGreene
-89.73707,39.34787,Brugam,9544,24,Ash,Ashes,10,36,-21,Macoupin
-90.2966,39.15495,Brugam,2690,24,Ash,Ashes,7,38,-40,JerGreene
-90.48357,39.11618,Brugam,2821,24,Ash,Ashes,10,39,-31,JerGreene
-90.20222,39.23232,Brugam,8125,24,Ash,Ashes,20,39,-18,JerGreene
-90.48495,39.10098,Brugam,2800,24,Ash,Ashes,10,40,21,JerGreene
-90.40838,39.43492,Brugam,6174,24,Ash,Ashes,12,41,39,JerGreene
-90.48507,39.08692,Brugam,8402,24,Ash,Ashes,24,46,-13,JerGreene
-90.48282,39.08702,Brugam,8406,24,Ash,Ashes,24,46,-13,JerGreene
-90.3137,39.30007,Brugam,4888,24,Ash,Ashes,6,46,54,JerGreene
-90.14572,38.99893,Brugam,2687,24,Ash,Ashes,17,48,-17,JerGreene
-90.58122,39.08677,Brugam,8391,24,Ash,Ashes,16,48,78,JerGreene
-89.9617,39.20153,Brugam,8794,24,Ash,Ashes,19,49,-33,Macoupin
-90.48368,39.0725,Brugam,8348,24,Ash,Ashes,10,49,-28,JerGreene
-90.50237,39.17475,Brugam,2920,24,Ash,Ashes,9,50,-24,JerGreene
-90.60063,39.17478,Brugam,8452,24,Ash,Ashes,9,50,-24,JerGreene
-90.16483,39.18975,Brugam,2523,24,Ash,Ashes,12,50,-13,JerGreene
-90.48413,39.1896,Brugam,2224,24,Ash,Ashes,20,54,-39,JerGreene
-90.53931,39.16008,Brugam,1871,24,Ash,Ashes,33,56,-7,JerGreene
-90.19287,39.24845,Brugam,2809,24,Ash,Ashes,14,57,-34,JerGreene
-90.04633,39.20412,Brugam,9181,24,Ash,Ashes,12,58,-38,Macoupin
-90.48268,39.13022,Brugam,2829,24,Ash,Ashes,15,59,16,JerGreene
-90.4276,39.4269,Brugam,7259,24,Ash,Ashes,12,60,-19,JerGreene
-90.14597,39.2551,Brugam,1250,24,Ash,Ashes,24,60,44,JerGreene
-90.23933,39.24653,Brugam,1431,24,Ash,Ashes,20,61,30,JerGreene
-90.25785,39.07928,Brugam,2738,24,Ash,Ashes,4,63,20,JerGreene
-90.09432,39.37538,Brugam,853,24,Ash,Ashes,8,64,-116,Macoupin
-90.43733,39.38227,Brugam,7449,24,Ash,Ashes,15,64,-72,JerGreene
-90.43698,38.9698,Brugam,2628,24,Ash,Ashes,10,64,-65,JerGreene
-90.50355,39.2484,Brugam,2867,24,Ash,Ashes,12,65,-62,JerGreene
-90.4305,39.13042,Brugam,2746,24,Ash,Ashes,15,65,-16,JerGreene
-90.48325,39.08662,Brugam,8407,24,Ash,Ashes,26,65,20,JerGreene
-90.4164,39.45578,Brugam,7375,24,Ash,Ashes,7,67,-54,JerGreene
-90.4276,39.1158,Brugam,2724,24,Ash,Ashes,24,68,24,JerGreene
-90.40377,39.19737,Brugam,2020,24,Ash,Ashes,24,69,11,JerGreene
-90.27745,39.10475,Brugam,2626,24,Ash,Ashes,16,70,-43,JerGreene
-90.35107,39.2639,Brugam,8509,24,Ash,Ashes,9,70,132,JerGreene
-90.60508,38.99898,Brugam,2739,24,Ash,Ashes,30,72,23,JerGreene
-90.6079,38.98413,Brugam,2768,24,Ash,Ashes,5,74,97,JerGreene
-90.38933,39.39777,Brugam,7176,24,Ash,Ashes,18,76,-25,JerGreene
-90.51135,39.18193,Brugam,4720,24,Ash,Ashes,12,77,-19,JerGreene
-89.90702,39.47117,Brugam,360,24,Ash,Ashes,12,78,7,Macoupin
-90.3859,39.4485,Brugam,7305,24,Ash,Ashes,15,78,25,JerGreene
-90.29508,39.41317,Brugam,7087,24,Ash,Ashes,18,78,35,JerGreene
-89.8323,39.27732,Brugam,219,24,Ash,Ashes,12,80,-56,Macoupin
-90.3708,38.98492,Brugam,2328,24,Ash,Ashes,18,80,50,JerGreene
-90.5817,39.49982,Brugam,7361,24,Ash,Ashes,12,84,-44,JerGreene
-90.39493,38.96838,Brugam,1880,24,Ash,Ashes,12,85,28,JerGreene
-90.22083,39.2483,Brugam,2900,44,Birch,Birch,8,-71,-72,JerGreene
-90.21087,39.06482,Brugam,2836,44,Birch,Birch,14,-57,36,JerGreene
-90.49382,39.19713,Brugam,2870,44,Birch,Birch,19,-49,23,JerGreene
-90.4276,38.9634,Brugam,7831,44,Birch,Birch,20,-32,-26,JerGreene
-90.21155,39.23393,Brugam,2894,44,Birch,Birch,9,-29,28,JerGreene
-90.40863,39.1747,Brugam,2917,44,Birch,Birch,20,-5,17,JerGreene
-90.49278,39.2116,Brugam,2877,44,Birch,Birch,28,8,51,JerGreene
-90.22065,39.23368,Brugam,2899,44,Birch,Birch,9,28,-24,JerGreene
-90.15525,39.06467,Brugam,2837,44,Birch,Birch,15,31,-25,JerGreene
-90.22065,39.20426,Brugam,2876,44,Birch,Birch,18,53,87,JerGreene
-89.80572,39.30783,Brugam,176,44,Birch,Birch,6,60,-25,Macoupin
-90.56185,39.12622,Brugam,8427,44,Birch,Birch,9,69,5,JerGreene
-90.25885,39.08682,Brugam,8397,44,Birch,Birch,18,69,29,JerGreene
-90.25842,39.08677,Brugam,8398,44,Birch,Birch,18,72,-46,JerGreene
-90.21168,39.24855,Brugam,2901,44,Birch,Birch,8,75,53,JerGreene
-90.49388,39.19718,Brugam,2864,44,Birch,Birch,18,80,-8,JerGreene
-90.18833,39.05045,Brugam,1321,12,Black Jack,Oaks,9,-89,19,JerGreene
-90.35138,39.06497,Brugam,1056,12,Black Jack,Oaks,10,-88,203,JerGreene
-90.52157,39.05065,Brugam,1549,12,Black Jack,Oaks,12,-86,48,JerGreene
-90.16923,38.97723,Brugam,1369,12,Black Jack,Oaks,12,-85,-94,JerGreene
-90.39028,39.35432,Brugam,7139,12,Black Jack,Oaks,7,-85,-22,JerGreene
-90.45612,39.19635,Brugam,993,12,Black Jack,Oaks,8,-85,20,JerGreene
-90.52157,39.03588,Brugam,1612,12,Black Jack,Oaks,20,-85,39,JerGreene
-90.31377,39.15935,Brugam,5047,12,Black Jack,Oaks,12,-84,370,JerGreene
-90.16427,39.15935,Brugam,5047,12,Black Jack,Oaks,12,-84,370,Macoupin
-90.18878,39.16668,Brugam,1015,12,Black Jack,Oaks,12,-84,510,JerGreene
-90.12988,39.21819,Brugam,987,12,Black Jack,Oaks,12,-84,510,Macoupin
-90.08113,39.07122,Brugam,3639,12,Black Jack,Oaks,10,-83,-230,Macoupin
-90.03597,39.18902,Brugam,9185,12,Black Jack,Oaks,14,-82,-352,Macoupin
-90.53082,39.0138,Brugam,1326,12,Black Jack,Oaks,12,-81,-226,JerGreene
-90.52119,39.01398,Brugam,1011,12,Black Jack,Oaks,10,-81,38,JerGreene
-90.52617,38.95362,Brugam,1659,12,Black Jack,Oaks,10,-80,25,JerGreene
-90.11047,39.16727,Brugam,9189,12,Black Jack,Oaks,6,-80,29,Macoupin
-90.40363,39.33393,Brugam,4072,12,Black Jack,Oaks,11,-80,155,JerGreene
-89.94148,39.03525,Brugam,3319,12,Black Jack,Oaks,9,-79,110,Macoupin
-90.08352,39.29122,Brugam,845,12,Black Jack,Oaks,8,-78,-33,Macoupin
-90.45567,39.04317,Brugam,1048,12,Black Jack,Oaks,14,-78,189,JerGreene
-90.27367,38.99425,Brugam,7864,12,Black Jack,Oaks,10,-78,205,JerGreene
-90.165,39.46208,Brugam,6063,12,Black Jack,Oaks,10,-75,203,JerGreene
-90.19308,39.0285,Brugam,1277,12,Black Jack,Oaks,10,-75,306,JerGreene
-90.04538,39.21888,Brugam,8652,12,Black Jack,Oaks,10,-71,140,Macoupin
-90.35608,39.06507,Brugam,1329,12,Black Jack,Oaks,10,-70,-93,JerGreene
-90.32102,39.05065,Brugam,1475,12,Black Jack,Oaks,14,-69,-54,JerGreene
-90.11078,39.17463,Brugam,3710,12,Black Jack,Oaks,8,-68,-76,Macoupin
-90.31925,39.04278,Brugam,7896,12,Black Jack,Oaks,9,-66,-470,JerGreene
-90.1469,39.04278,Brugam,7896,12,Black Jack,Oaks,9,-66,-470,Macoupin
-90.47502,39.13085,Brugam,1559,12,Black Jack,Oaks,20,-66,-11,JerGreene
-90.0555,39.31277,Brugam,781,12,Black Jack,Oaks,8,-66,52,Macoupin
-90.03615,39.29008,Brugam,750,12,Black Jack,Oaks,12,-62,48,Macoupin
-90.23583,39.46888,Brugam,6093,12,Black Jack,Oaks,14,-61,-211,JerGreene
-90.31182,39.0505,Brugam,1472,12,Black Jack,Oaks,13,-61,22,JerGreene
-90.36648,39.10872,Brugam,1234,12,Black Jack,Oaks,10,-61,111,JerGreene
-90.18878,39.05768,Brugam,1026,12,Black Jack,Oaks,14,-59,-17,JerGreene
-90.05532,39.3417,Brugam,785,12,Black Jack,Oaks,8,-58,40,Macoupin
-90.08358,39.33467,Brugam,843,12,Black Jack,Oaks,6,-56,12,Macoupin
-90.52137,39.02845,Brugam,1327,12,Black Jack,Oaks,15,-51,-116,JerGreene
-90.28338,39.1741,Brugam,8102,12,Black Jack,Oaks,10,-51,155,JerGreene
-90.09148,39.14595,Brugam,3674,12,Black Jack,Oaks,16,-50,-124,Macoupin
-90.43572,38.99238,Brugam,1532,12,Black Jack,Oaks,6,-50,-31,JerGreene
-90.3899,39.35422,Brugam,7140,12,Black Jack,Oaks,4,-50,15,JerGreene
-89.94212,39.16585,Brugam,3326,12,Black Jack,Oaks,10,-49,77,Macoupin
-90.35842,39.2178,Brugam,1032,12,Black Jack,Oaks,12,-48,-89,JerGreene
-90.35653,39.06492,Brugam,1330,12,Black Jack,Oaks,6,-47,-210,JerGreene
-89.85733,39.05647,Brugam,3146,12,Black Jack,Oaks,4,-47,-34,Macoupin
-89.82957,39.0201,Brugam,8950,12,Black Jack,Oaks,36,-47,48,Macoupin
-90.21275,39.05035,Brugam,1016,12,Black Jack,Oaks,9,-47,348,JerGreene
-90.23005,39.46957,Brugam,5417,12,Black Jack,Oaks,4,-45,85,JerGreene
-90.46,39.0356,Brugam,7893,12,Black Jack,Oaks,8,-43,96,JerGreene
-90.14603,39.0356,Brugam,7893,12,Black Jack,Oaks,8,-43,96,Macoupin
-90.11067,39.16752,Brugam,3708,12,Black Jack,Oaks,8,-42,-17,Macoupin
-90.3857,39.44873,Brugam,7304,12,Black Jack,Oaks,21,-42,12.4,JerGreene
-90.28338,39.09483,Brugam,8087,12,Black Jack,Oaks,6,-42,52,JerGreene
-89.86773,39.13647,Brugam,3164,12,Black Jack,Oaks,10,-41,90,Macoupin
-90.48168,39.45553,Brugam,7695,12,Black Jack,Oaks,20,-40,-4,JerGreene
-90.20132,39.48383,Brugam,6116,12,Black Jack,Oaks,10,-38,-359,JerGreene
-90.46573,39.02093,Brugam,1091,12,Black Jack,Oaks,8,-38,26,JerGreene
-90.46567,39.02167,Brugam,1222,12,Black Jack,Oaks,9,-36,-198,JerGreene
-90.16035,38.99943,Brugam,1530,12,Black Jack,Oaks,12,-34,52,JerGreene
-90.18828,38.99982,Brugam,7850,12,Black Jack,Oaks,12,-34,62,JerGreene
-90.15308,39.12337,Brugam,1561,12,Black Jack,Oaks,10,-33,-100,JerGreene
-90.22655,39.08662,Brugam,7936,12,Black Jack,Oaks,12,-33,50,JerGreene
-90.15493,39.08662,Brugam,7936,12,Black Jack,Oaks,12,-33,50,Macoupin
-90.34707,39.218,Brugam,1031,12,Black Jack,Oaks,11,-32,80,JerGreene
-90.14237,39.07245,Brugam,1641,12,Black Jack,Oaks,3,-32,98,JerGreene
-90.42775,38.99933,Brugam,1454,12,Black Jack,Oaks,15,-32,221,JerGreene
-90.42663,38.99933,Brugam,7846,12,Black Jack,Oaks,15,-32,221,JerGreene
-90.24503,39.34567,Brugam,4030,12,Black Jack,Oaks,24,-32,265,JerGreene
-90.018,39.30495,Brugam,698,12,Black Jack,Oaks,16,-31,-410,Macoupin
-90.09188,39.16018,Brugam,3673,12,Black Jack,Oaks,10,-30,114,Macoupin
-90.26023,39.15949,Brugam,1269,12,Black Jack,Oaks,12,-24,-222,JerGreene
-89.94398,39.39092,Brugam,451,12,Black Jack,Oaks,18,-23,-9,Macoupin
-89.94353,39.39112,Brugam,8900,12,Black Jack,Oaks,12,-23,-9,Macoupin
-90.05673,39.45593,Brugam,5749,12,Black Jack,Oaks,8,-23,365,Macoupin
-90.30242,39.03535,Brugam,7894,12,Black Jack,Oaks,4,-22,-137,JerGreene
-90.14622,39.03535,Brugam,7894,12,Black Jack,Oaks,4,-22,-137,Macoupin
-90.2084,39.44068,Brugam,6203,12,Black Jack,Oaks,6,-22,-45,JerGreene
-90.35127,39.41917,Brugam,934,12,Black Jack,Oaks,6,-22,15,JerGreene
-90.15177,39.41878,Brugam,934,12,Black Jack,Oaks,6,-22,15,Macoupin
-90.46368,39.05788,Brugam,1621,12,Black Jack,Oaks,6,-19,34,JerGreene
-89.92337,39.12943,Brugam,9336,12,Black Jack,Oaks,3,-17,43,Macoupin
-89.90487,39.13633,Brugam,3239,12,Black Jack,Oaks,12,-17,49,Macoupin
-90.14376,39.47655,Brugam,5504,12,Black Jack,Oaks,25,-16,-65,JerGreene
-90.13532,39.02852,Brugam,3740,12,Black Jack,Oaks,10,-15,65,Macoupin
-90.1185,39.04253,Brugam,3720,12,Black Jack,Oaks,8,-12,285,Macoupin
-90.35835,39.0138,Brugam,7887,12,Black Jack,Oaks,7,-9,53,JerGreene
-90.14615,39.0138,Brugam,7887,12,Black Jack,Oaks,7,-9,53,Macoupin
-90.32108,39.0574,Brugam,1050,12,Black Jack,Oaks,20,-9,176,JerGreene
-90.35145,39.06472,Brugam,1057,12,Black Jack,Oaks,10,-8,-255,JerGreene
-90.46525,39.01393,Brugam,978,12,Black Jack,Oaks,12,-8,160,JerGreene
-90.15518,39.01393,Brugam,978,12,Black Jack,Oaks,12,-8,160,Macoupin
-90.58767,39.37503,Brugam,5541,12,Black Jack,Oaks,8,-6,-8,JerGreene
-90.12288,39.40432,Brugam,9429,12,Black Jack,Oaks,8,-6,136,Macoupin
-90.04363,39.04223,Brugam,3545,12,Black Jack,Oaks,10,-5,-157,Macoupin
-90.04388,39.04248,Brugam,3547,12,Black Jack,Oaks,10,-5,-151,Macoupin
-90.51832,39.0506,Brugam,1620,12,Black Jack,Oaks,10,-5,184,JerGreene
-90.06313,39.146,Brugam,3586,12,Black Jack,Oaks,12,-3,-25,Macoupin
-90.14615,39.10852,Brugam,9573,12,Black Jack,Oaks,10,-2,-32,Macoupin
-90.33848,39.18877,Brugam,992,12,Black Jack,Oaks,8,0,-50,JerGreene
-90.44917,39.32035,Brugam,3902,12,Black Jack,Oaks,18,0,-34,JerGreene
-90.47278,39.15949,Brugam,1514,12,Black Jack,Oaks,8,0,10,JerGreene
-90.35905,39.02855,Brugam,1562,12,Black Jack,Oaks,16,0,16,JerGreene
-90.33805,39.18897,Brugam,991,12,Black Jack,Oaks,8,0,82,JerGreene
-90.46357,39.07255,Brugam,1579,12,Black Jack,Oaks,8,0,169,JerGreene
-90.15512,39.3744,Brugam,5905,12,Black Jack,Oaks,12,3,0,JerGreene
-90.4736,39.1594,Brugam,1515,12,Black Jack,Oaks,20,4,0,JerGreene
-90.3894,39.02827,Brugam,1258,12,Black Jack,Oaks,12,4,238,JerGreene
-90.46548,39.05045,Brugam,1242,12,Black Jack,Oaks,12,6,-324,JerGreene
-90.47303,39.05768,Brugam,1323,12,Black Jack,Oaks,10,7,-816,JerGreene
-90.20262,39.33383,Brugam,8174,12,Black Jack,Oaks,8,8,350,JerGreene
-89.94148,39.02088,Brugam,3314,12,Black Jack,Oaks,11,9,55,Macoupin
-90.52131,39.10861,Brugam,1420,12,Black Jack,Oaks,8,10,254,JerGreene
-90.05662,39.42602,Brugam,770,12,Black Jack,Oaks,7,11,137,Macoupin
-90.3023,39.05768,Brugam,1049,12,Black Jack,Oaks,12,12,-18,JerGreene
-90.42747,39.42675,Brugam,7260,12,Black Jack,Oaks,75,14,9,JerGreene
-90.15677,39.49894,Brugam,5474,12,Black Jack,Oaks,8,15,-27,JerGreene
-90.2364,38.99947,Brugam,7761,12,Black Jack,Oaks,8,16,-18,JerGreene
-90.55831,38.99972,Brugam,7779,12,Black Jack,Oaks,10,21,90,JerGreene
-90.59718,39.48482,Brugam,7679,12,Black Jack,Oaks,10,23,200,JerGreene
-89.82063,39.05642,Brugam,8971,12,Black Jack,Oaks,10,24,70,Macoupin
-90.456,39.16702,Brugam,1014,12,Black Jack,Oaks,8,24,176,JerGreene
-90.31395,39.15963,Brugam,5046,12,Black Jack,Oaks,8,24,176,JerGreene
-90.1644,39.15963,Brugam,5046,12,Black Jack,Oaks,8,24,176,Macoupin
-90.08082,39.07108,Brugam,3642,12,Black Jack,Oaks,8,25,-200,Macoupin
-90.14055,39.47675,Brugam,5503,12,Black Jack,Oaks,30,25,32,JerGreene
-89.90513,39.13678,Brugam,3238,12,Black Jack,Oaks,5,26,-46,Macoupin
-89.82977,39.04898,Brugam,8969,12,Black Jack,Oaks,12,31,290,Macoupin
-90.4277,38.99952,Brugam,1442,12,Black Jack,Oaks,17,32,-124,JerGreene
-90.24598,38.99972,Brugam,7845,12,Black Jack,Oaks,17,32,-124,JerGreene
-90.52592,38.95362,Brugam,1658,12,Black Jack,Oaks,20,32,-52,JerGreene
-90.52125,39.41907,Brugam,7578,12,Black Jack,Oaks,14,32,-31,JerGreene
-90.2952,39.50568,Brugam,5523,12,Black Jack,Oaks,8,32,124,JerGreene
-90.60063,39.41843,Brugam,5608,12,Black Jack,Oaks,8,33,-154,JerGreene
-90.24832,38.98472,Brugam,1343,12,Black Jack,Oaks,10,35,-17,JerGreene
-90.14578,39.10812,Brugam,9574,12,Black Jack,Oaks,6,36,-57,Macoupin
-90.47392,39.05768,Brugam,1356,12,Black Jack,Oaks,10,37,-66,JerGreene
-90.45567,39.15964,Brugam,1190,12,Black Jack,Oaks,12,39,-253,JerGreene
-90.06275,39.146,Brugam,3587,12,Black Jack,Oaks,12,39,-111,Macoupin
-90.09167,39.1457,Brugam,3671,12,Black Jack,Oaks,6,41,96,Macoupin
-90.05562,39.3418,Brugam,786,12,Black Jack,Oaks,8,42,-54,Macoupin
-90.08277,39.23295,Brugam,8703,12,Black Jack,Oaks,8,42,153,Macoupin
-90.27272,39.1747,Brugam,7992,12,Black Jack,Oaks,8,43,-339,JerGreene
-90.48018,39.4766,Brugam,5502,12,Black Jack,Oaks,12,44,52,JerGreene
-90.52215,38.99952,Brugam,1645,12,Black Jack,Oaks,10,44,82,JerGreene
-90.38997,38.99987,Brugam,7857,12,Black Jack,Oaks,10,44,82,JerGreene
-90.40838,39.29312,Brugam,4947,12,Black Jack,Oaks,12,45,-85,JerGreene
-90.4871,39.09443,Brugam,8086,12,Black Jack,Oaks,8,45,-71,JerGreene
-90.20745,39.08672,Brugam,7935,12,Black Jack,Oaks,14,46,78,JerGreene
-90.15525,39.08672,Brugam,7935,12,Black Jack,Oaks,14,46,78,Macoupin
-90.51925,39.00725,Brugam,998,12,Black Jack,Oaks,10,48,26,JerGreene
-90.11825,39.04292,Brugam,3715,12,Black Jack,Oaks,4,49,-100,Macoupin
-90.01748,39.18872,Brugam,8867,12,Black Jack,Oaks,10,51,-210,Macoupin
-90.16053,38.99947,Brugam,1523,12,Black Jack,Oaks,6,52,-12,JerGreene
-90.18833,38.99987,Brugam,7849,12,Black Jack,Oaks,6,52,-12,JerGreene
-90.09167,39.16042,Brugam,3677,12,Black Jack,Oaks,10,53,-161,Macoupin
-90.12327,39.4045,Brugam,5809,12,Black Jack,Oaks,4,53,-72,Macoupin
-89.86787,39.13608,Brugam,3166,12,Black Jack,Oaks,12,53,-24,Macoupin
-90.11027,39.17467,Brugam,3707,12,Black Jack,Oaks,12,55,18,Macoupin
-90.375,39.06507,Brugam,1243,12,Black Jack,Oaks,12,55,561,JerGreene
-90.10088,39.16037,Brugam,3688,12,Black Jack,Oaks,12,56,-357,Macoupin
-89.92323,39.18638,Brugam,9351,12,Black Jack,Oaks,15,57,-47,Macoupin
-90.36648,39.05758,Brugam,1233,12,Black Jack,Oaks,12,57,550,JerGreene
-90.34185,39.10021,Brugam,1006,12,Black Jack,Oaks,8,58,-277,JerGreene
-90.2835,39.10098,Brugam,5033,12,Black Jack,Oaks,8,58,-277,JerGreene
-90.16453,39.10098,Brugam,5033,12,Black Jack,Oaks,8,58,-277,Macoupin
-90.14578,39.09357,Brugam,9568,12,Black Jack,Oaks,10,58,88,Macoupin
-90.45472,39.19635,Brugam,994,12,Black Jack,Oaks,10,59,-102,JerGreene
-90.47353,39.19625,Brugam,1476,12,Black Jack,Oaks,12,60,95,JerGreene
-90.08317,39.29117,Brugam,850,12,Black Jack,Oaks,8,62,53,Macoupin
-90.12715,39.02103,Brugam,3729,12,Black Jack,Oaks,6,63,114,Macoupin
-90.49407,39.30798,Brugam,4988,12,Black Jack,Oaks,24,64,294,JerGreene
-90.4689,39.32025,Brugam,3903,12,Black Jack,Oaks,18,68,-39,JerGreene
-90.0566,39.4263,Brugam,768,12,Black Jack,Oaks,10,69,-103,Macoupin
