long.,Lat,Source,Point number,Tree Code,Species,Tree,Diameter,N-S Distance,E-W Distance,county
-90.34902,39.13058,Brugam,1510,24,Ash,Ashes,10,-83,-24,JerGreene
-90.31363,39.41282,Brugam,7272,24,Ash,Ashes,8,-78,-29,JerGreene
-90.54363,39.072,Brugam,2574,24,Ash,Ashes,12,-77,30,JerGreene
-90.53728,39.1089,Brugam,1830,24,Ash,Ashes,15,-77,61,JerGreene
-90.48325,39.09415,Brugam,2824,24,Ash,Ashes,22,-76,80,JerGreene
-90.33232,39.42063,Brugam,7280,24,Ash,Ashes,12,-71,-41,JerGreene
-90.14603,38.99893,Brugam,2686,24,Ash,Ashes,16,-70,18,JerGreene
-90.42255,39.10088,Brugam,2884,24,Ash,Ashes,20,-70,23,JerGreene
-90.55825,39.18267,Brugam,2122,24,Ash,Ashes,12,-68,59,JerGreene
-90.25767,39.02842,Brugam,2813,24,Ash,Ashes,4,-67,34,JerGreene
-90.48243,39.13042,Brugam,2825,24,Ash,Ashes,18,-63,-60,JerGreene
-90.38945,39.10505,Brugam,2845,24,Ash,Ashes,7,-61,-37,JerGreene
-90.5965,38.97,Brugam,2528,24,Ash,Ashes,11,-57,-23,JerGreene
-90.20177,39.20447,Brugam,2871,24,Ash,Ashes,16,-53,-74,JerGreene
-90.22083,39.14493,Brugam,2909,24,Ash,Ashes,22,-52,30,JerGreene
-90.38602,39.44893,Brugam,7325,24,Ash,Ashes,16,-51,-60,JerGreene
-90.22848,39.05075,Brugam,2822,24,Ash,Ashes,5,-50,5,JerGreene
-90.61653,39.072,Brugam,2885,24,Ash,Ashes,16,-50,5,JerGreene
-90.40857,39.20422,Brugam,4775,24,Ash,Ashes,14,-49,112,JerGreene
-90.57587,39.39048,Brugam,7155,24,Ash,Ashes,10,-46,-62,JerGreene
-90.48257,39.13027,Brugam,2903,24,Ash,Ashes,15,-45,96,JerGreene
-90.42707,39.10123,Brugam,2887,24,Ash,Ashes,18,-43,-19,JerGreene
-90.389,39.11623,Brugam,2073,24,Ash,Ashes,16,-41,-47,JerGreene
-90.33232,39.44903,Brugam,7370,24,Ash,Ashes,9,-40,-54,JerGreene
-89.74132,39.34542,Brugam,67,24,Ash,Ashes,10,-40,12,Macoupin
-90.52417,39.36228,Brugam,7101,24,Ash,Ashes,18,-39,19,JerGreene
